teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsPassingIncompletionsBatted,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingIncompletionsThrownAway
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Red Zone,14,11,11,0.09090909090909091,,0.1111111111111111,-0.5430244221111111,-1,0.09090909090909091,-45,125,11,No,No,4,0.36363636363636365,0.03785909090909089,No,,0.7272727272727273,3,0.2727272727272727,0.7272727272727273,0.7272727272727273,,2.463636363636364,2.5,13.88888888888889,No,No,2,,,
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 4,13,8,8,0.125,1,0.14285714285714285,-0.4793954228571428,4,0.125,-45,99,8,No,No,1,0.125,-0.23508125000000002,No,,0.75,1,0.125,0.75,0.875,,2.6625,3.1,14.142857142857142,No,No,1,0.125,,
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Open,Cover 4,13,16,16,0.1875,1,0.06666666666666667,-0.5045314585333334,-1,0.0625,-45,265,16,No,No,2,0.125,-0.294378125,No,,0.625,6,0.375,0.625,0.8125,,3.00625,2.45,17.666666666666668,No,No,1,,,
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 4,12,12,12,0.16666666666666666,1,0.125,-0.5824556515,4,0.08333333333333333,-45,86,12,No,No,8,0.6666666666666666,0.20524166666666668,No,,0.5,1,0.08333333333333333,0.6666666666666666,0.4166666666666667,,3.25,2.65,10.666666666666666,No,No,3,,,
22,New England,Patriots,True,MIA,AFC,AFC East,Open,Open,Cover 2,13,10,10,0.1,1,0.1,-0.5057153493000001,3,0.1,-45,164,10,Yes,No,3,0.3,-0.16315,No,,0.9,3,0.3,0.9,0.8,0.1,3.2600000000000002,2.5666666666666664,16.4,No,No,,,,
31,Tennessee,Titans,,JAX,AFC,AFC South,Open,Open,Cover 4,11,6,6,,,,-0.6007542868333333,,,-45,93,6,No,Yes,3,0.5,-0.03905000000000003,No,,1,2,0.3333333333333333,1,0.6666666666666666,,3.6999999999999997,3.4,15.5,No,No,,,1,
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Closed,Closed,Cover 1,15,16,16,0.1875,1,,-0.5761640315,,,-45,291,16,No,No,10,0.625,0.17974687500000003,No,,0.8125,6,0.375,0.75,0.625,0.125,3.15625,2.5,18.1875,Yes,Yes,,0.125,1,
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Closed,Closed,Cover 1,15,13,13,0.07692307692307693,1,,-0.6838658977692307,,,-45,137,13,No,No,7,0.5384615384615384,0.16129615384615384,No,,0.7692307692307693,1,0.07692307692307693,0.7692307692307693,0.8461538461538461,,2.7615384615384615,2.242857142857143,10.538461538461538,No,No,,0.07692307692307693,,
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Red Zone,15,18,18,0.3333333333333333,1,0.1875,-0.4344097589375,7,0.16666666666666666,-45,225,18,No,No,5,0.2777777777777778,-0.08685555555555559,No,,0.5555555555555556,4,0.2222222222222222,0.6111111111111112,0.6666666666666666,,2.6888888888888887,1.8399999999999999,14.117647058823529,No,Yes,,0.16666666666666666,,1
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Open,Cover 4,17,14,14,0.07142857142857142,3,0.08333333333333333,-0.5732776008333333,-1,0.07142857142857142,-45,145,14,No,Yes,2,0.14285714285714285,-0.2323178571428572,No,0.14285714285714285,0.7142857142857143,3,0.21428571428571427,0.6428571428571429,0.6428571428571429,0.07142857142857142,2.75,2.8,12.083333333333334,No,No,2,,,
10,Denver,Broncos,True,LAC,AFC,AFC West,Closed,Open,Cover 2,14,10,10,0.3,1,0.2,-0.4365435198,4,0.2,-45,155,10,No,Yes,8,0.8,0.3127,No,,0.6,3,0.3,0.7,0.5,,3.4,2.6625,15.5,No,Yes,,0.2,,
15,Jacksonville,Jaguars,True,TEN,AFC,AFC South,Open,Open,Cover 4,14,22,22,0.18181818181818182,3,0.1,-0.55289825655,8,0.09090909090909091,-45,259,22,No,Yes,7,0.3181818181818182,-0.06012954545454549,No,0.045454545454545456,0.7272727272727273,3,0.13636363636363635,0.6818181818181818,0.6818181818181818,0.045454545454545456,2.768181818181818,2.857142857142857,12.333333333333334,No,No,1,0.045454545454545456,1,
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Closed,Open,Cover 2,15,19,19,0.21052631578947367,1,0.15789473684210525,-0.4447187183157895,26,0.15789473684210525,-45,290,19,No,Yes,7,0.3684210526315789,0.011857894736842097,No,0.05263157894736842,0.7894736842105263,5,0.2631578947368421,0.7368421052631579,0.8421052631578947,,2.642105263157895,2.3714285714285714,15.263157894736842,No,Yes,,0.10526315789473684,,
12,Green Bay,Packers,True,BLT,AFC,AFC North,Closed,Closed,Cover 3,10,7,7,,3,,-0.49287346699999995,,,-45,127,7,No,No,2,0.2857142857142857,-0.06112142857142855,No,,0.8571428571428571,4,0.5714285714285714,0.8571428571428571,0.8571428571428571,,2.585714285714286,3.1500000000000004,18.142857142857142,No,Yes,,,,
3,Baltimore,Ravens,,PIT,AFC,AFC North,Open,Closed,Cover 1,15,11,11,0.09090909090909091,1,0.09090909090909091,-0.42207393936363624,5,0.09090909090909091,-45,268,11,No,No,7,0.6363636363636364,0.17885909090909086,No,,0.8181818181818182,5,0.45454545454545453,0.7272727272727273,0.6363636363636364,,3.227272727272727,2.5,24.363636363636363,No,No,,0.09090909090909091,1,
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Open,Cover 2,15,9,9,0.2222222222222222,3,0.1111111111111111,-0.5091845182222221,4,0.1111111111111111,-45,144,9,Yes,No,3,0.3333333333333333,-0.04663333333333335,No,,0.7777777777777778,3,0.3333333333333333,0.8888888888888888,0.6666666666666666,,2.7777777777777777,2.9333333333333336,16,No,No,,,,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Closed,Cover 3,13,6,6,0.16666666666666666,,0.2,-0.4140895622,4,0.16666666666666666,-45,75,6,Yes,Yes,2,0.3333333333333333,-0.09359166666666667,No,0.16666666666666666,0.5,1,0.16666666666666666,0.6666666666666666,0.6666666666666666,,3.0500000000000003,2.4,15,No,No,1,0.16666666666666666,1,
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Open,Open,Cover 2,14,8,8,0.125,2,0.2,-0.4539396423999999,14,0.125,-45,75,8,No,No,6,0.75,0.340325,No,,0.5,2,0.25,0.5,0.625,,2.95,2.4499999999999997,13.714285714285714,No,No,1,0.125,1,
21,Minnesota,Vikings,True,DET,NFC,NFC North,Open,Open,Cover 2,15,8,8,0.125,,0.14285714285714285,-0.4919266484285714,5,0.125,-45,97,8,Yes,No,4,0.5,0.14423125000000003,No,,0.75,1,0.125,0.75,0.625,,2.6375,2.15,13.857142857142858,No,No,1,0.125,,
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 2,12,13,13,0.46153846153846156,,,-0.6207384355,,,-45,178,13,No,No,4,0.3076923076923077,-0.1583769230769231,No,,0.46153846153846156,2,0.15384615384615385,0.7692307692307693,0.6923076923076923,,3.276923076923077,3.15,14.833333333333334,No,No,,0.23076923076923078,1,1
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,13,10,10,0.1,,,-0.5965837551,,,-45,170,10,No,No,2,0.2,-0.18035,No,,0.7,3,0.3,0.8,0.7,,2.7800000000000002,2.55,17,No,No,,0.1,,
