Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsContested,ReceptionsHero
Nick Vannett,TEN,TE,13,No,Yes,No,6,4,No,No,3,0.75,0.6667,3,0.75,12,15,7,-4,0.8333,0.1667,-1,37.5,2,3,-2.3608,4,5,2.3333,7.4059,7.4059,0.3077,1.2,4.2,2.7,4.2,5.7,4.2,2.7,4.2,4.2,4.2,2.7,5.7,4.2,1,17,,,,,,,,,,,
Brenden Bates,CLV,TE,4,No,No,Yes,4,1,No,No,,,0.25,,,,,,-2,0.75,,-2,39.6,,,-4.8511,,,,1.6098,1.6098,0.25,,,,,,,,,,,,,,,6,0.25,,,,,,,,,,
Rome Odunze,CHI,WR,32,No,No,No,32,1,No,Yes,1,1,0.0312,1,1,19,27,6,-8,,0.2188,-8,118.8,0.5938,19,16.4595,19,27,6,1.863,1.863,0.0312,0.9,1.9,1.4,1.9,1.9,1.9,0.4,0.9,0.9,0.9,0.4,1.9,0.9,,17,0.7812,,,,,,,,,,
Isaiah Davis,NYJ,RB,6,Yes,Yes,No,6,4,No,Yes,4,1,0.6667,3,0.75,22,19,7,12,,,3,87.5,3.6667,5.5,-1.0339,7.3333,6.3333,2.3333,5.6913,5.6913,0.6667,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,13,,1,1,2,,,,,,,
Colby Parkinson,LA,TE,22,Yes,Yes,Yes,17,3,No,Yes,2,0.6667,0.1765,2,0.6667,17,11,1,11,0.8824,0.1176,3.6667,81.3,1,5.6667,-0.6207,8.5,5.5,0.5,4.1516,4.1516,0.1364,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,,17,,,,,,,,,,,
Tyjae Spears,TEN,RB,15,No,No,No,15,13,No,Yes,12,0.9231,0.8667,12,0.9231,101,113,60,-15,0.0667,,-1.1538,99,6.7333,7.7692,1.759,8.4167,9.4167,5,20.5432,20.5432,0.8667,10.1,22.1,16.1,28.1,22.1,25.1,19.1,22.1,22.1,22.1,16.1,22.1,22.1,,12,,,0.9333,4,6,0.5,,,,,
Laviska Shenault,LAC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,
Josh Oliver,MIN,TE,8,Yes,No,Yes,6,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
Nick Chubb,CLV,RB,3,No,Yes,No,3,3,No,Yes,3,1,1,1,0.3333,-4,1,-1,2,,,0.6667,2.8,-1.3333,-1.3333,-7.8329,-4,1,-1,4.4368,4.4368,1,-0.4,0.6,0.1,1.1,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,,8,,,1,,,,1,0.3333,,,
Michael Carter,ARZ,RB,8,Yes,Yes,No,8,6,No,No,6,1,0.75,6,1,23,33,7,-10,,,-1.6667,82.6,2.875,3.8333,-1.9667,3.8333,5.5,1.1667,7.9859,7.9859,0.75,2.3,8.3,5.3,11.3,8.3,8.3,5.3,8.3,8.3,8.3,5.3,8.3,8.3,,3,,,1,1,,,,,,,
Bucky Irving,TB,RB,20,Yes,Yes,No,20,19,No,Yes,18,0.9474,0.95,17,0.8947,117,152,40,-39,,0.15,-2.0526,92.3,5.85,6.1579,0.4779,6.8824,8.9412,2.3529,28.3918,28.3918,0.95,11.7,28.7,20.2,37.2,28.7,31.7,23.2,28.7,28.7,28.7,20.2,28.7,28.7,3,17,0.05,,0.8,5,7,0.4118,1,0.0526,,,
D.J. Moore,CHI,WR,36,No,No,No,36,1,No,Yes,1,1,0.0278,1,1,5,5,,,,0.2222,,87.5,0.1389,5,-1.0386,5,5,,1.4339,1.4339,0.0278,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,17,0.7778,,,,,,,,,,
Zamir White,LV,RB,5,No,No,No,5,5,No,Yes,5,1,1,3,0.6,4,18,9,-20,,,-4,64.6,0.8,0.8,-4.6291,1.3333,6,3,7.1482,7.1482,1,0.4,3.4,1.9,4.9,3.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,,8,,1,1,,1,0.3333,1,0.2,,,
Ameer Abdullah,LV,RB,21,No,Yes,No,20,17,No,Yes,15,0.8824,0.85,14,0.8235,62,83,43,-22,,0.05,-1.2941,101.5,3.1,3.6471,-2.3057,4.4286,5.9286,3.0714,26.165,26.165,0.8095,12.2,26.2,19.2,33.2,26.2,26.2,19.2,26.2,26.2,26.2,19.2,26.2,26.2,2,16,,,0.95,3,4,0.2857,,,1,,
Devin Singletary,NYG,RB,12,No,Yes,No,12,11,No,Yes,10,0.9091,0.9167,9,0.8182,38,50,24,-5,,,-0.4545,43.2,3.1667,3.4545,-2.6202,4.2222,5.5556,2.6667,17.4454,17.4454,0.9167,3.8,12.8,8.3,17.3,12.8,12.8,8.3,12.8,12.8,12.8,8.3,12.8,12.8,,15,,,1,1,2,0.2222,1,0.0909,,,
Isaiah Hodgins,NYG,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,
Foster Moreau,NO,TE,37,Yes,Yes,No,29,4,No,Yes,4,1,0.1379,4,1,29,22,9,7,0.6552,0.2414,1.75,96.9,1,7.25,1.3747,7.25,5.5,2.25,7.5388,7.5388,0.1081,2.9,6.9,4.9,6.9,8.9,6.9,4.9,6.9,6.9,6.9,4.9,8.9,6.9,,17,0.1034,,,1,2,0.5,,,,,
Tyler Allgeier,ATL,RB,12,No,Yes,No,11,8,No,Yes,8,1,0.7273,8,1,54,55,20,-1,,,-0.125,94.8,4.9091,6.75,0.4399,6.75,6.875,2.5,11.8321,11.8321,0.6667,5.4,13.4,9.4,17.4,13.4,13.4,9.4,13.4,13.4,13.4,9.4,13.4,13.4,1,17,,,1,2,4,0.5,,,,,
Jermar Jefferson,DET,RB,1,No,No,No,1,1,No,No,1,1,1,1,1,10,10,3,,,,,108.3,10,10,4.1729,10,10,3,1.5297,1.5297,1,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,2,,,1,1,,,,,,,
Devaughn Vele,DEN,WR,27,Yes,No,No,27,3,No,Yes,3,1,0.1111,3,1,25,21,4,4,,0.7407,1.3333,101.4,0.9259,8.3333,2.663,8.3333,7,1.3333,4.1372,4.1372,0.1111,2.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,13,0.2593,,,2,,,,,,,
Khalil Herbert,CIN,RB,8,No,Yes,No,8,6,Yes,Yes,6,1,0.75,5,0.8333,8,18,6,-13,,,-2.1667,79.2,1,1.3333,-4.5229,1.6,3.6,1.2,9.7394,9.7394,0.75,0.8,5.8,3.3,8.3,5.8,5.8,3.3,5.8,5.8,5.8,3.3,5.8,5.8,1,13,,,1,,,,1,0.1667,,,
Trey Sermon,IND,RB,14,No,Yes,No,14,13,No,Yes,13,1,0.9286,11,0.8462,69,60,18,15,,,1.1538,88.8,4.9286,5.3077,-0.8161,6.2727,5.4545,1.6364,19.0725,19.0725,0.9286,6.9,17.9,12.4,23.4,17.9,17.9,12.4,17.9,17.9,17.9,12.4,17.9,17.9,2,17,,,1,2,2,0.1818,2,0.1538,,,
Josh Downs,IND,WR,20,No,Yes,No,20,1,No,Yes,1,1,0.05,,,,,,-1,,0.85,-1,39.6,,,-6.1699,,,,1.3292,1.3292,0.05,,,,,,,,,,,,,,,14,0.15,,,,,,1,1,,,
Hassan Haskins,LAC,RB,3,No,No,No,2,1,No,No,1,1,0.5,1,1,5,2,1,3,,,3,87.5,2.5,5,-1.5094,5,2,1,1.4234,1.4234,0.3333,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,15,,,1,,,,,,,,
Andrew Ogletree,IND,TE,7,No,Yes,No,6,1,No,Yes,1,1,0.1667,1,1,5,1,1,4,0.6667,0.1667,4,87.5,0.8333,5,-1.0667,5,1,1,1.3129,1.3129,0.1429,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,17,0.1667,,,,,,,,,,
Jaylen Warren,PIT,RB,28,No,Yes,No,27,22,Yes,Yes,21,0.9545,0.8148,20,0.9091,164,156,41,8,0.1111,,0.3636,97.7,6.0741,7.4545,1.477,8.2,7.8,2.05,33.8839,33.8839,0.7857,16.4,36.4,26.4,46.4,36.4,39.4,29.4,36.4,36.4,36.4,26.4,36.4,36.4,2,15,,1,0.8889,9,4,0.2,1,0.0455,,1,
Kendrick Bourne,NE,WR,25,No,No,No,23,,No,Yes,,,,,,,,,,,0.1739,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.8261,,,,,,,,,,
Juwan Johnson,NO,TE,46,Yes,Yes,No,43,2,No,Yes,2,1,0.0465,1,0.5,5,6,,-1,0.3023,0.5581,-0.5,56.3,0.1163,2.5,-2.5952,5,6,,2.8314,2.8314,0.0435,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,17,0.1395,,,,,,,,,,
David Montgomery,DET,RB,21,No,Yes,No,19,17,No,Yes,15,0.8824,0.8947,15,0.8824,144,125,62,25,,,1.4706,102,7.5789,8.4706,2.2531,9.6,8.3333,4.1333,24.5234,24.5234,0.8095,14.4,29.4,21.9,36.9,29.4,32.4,24.9,29.4,29.4,29.4,21.9,29.4,29.4,1,14,,,1,4,8,0.5333,,,,,
Mack Hollins,BUF,WR,29,No,No,No,26,,No,Yes,,,,,,,,,,,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8462,,,,,,,,,,
Tyler Boyd,TEN,WR,31,No,No,No,31,,No,Yes,,,,,,,,,,,0.871,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.129,,,,,,,,,,
Dareke Young,SEA,WR,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,26,No,Yes,No,23,6,No,Yes,5,0.8333,0.2609,5,0.8333,63,60,36,4,0.4348,0.4783,0.6667,110.4,2.7391,10.5,4.8522,12.6,12,7.2,9.1068,9.1068,0.2308,6.3,11.3,8.8,11.3,13.8,11.3,8.8,11.3,11.3,11.3,8.8,13.8,11.3,1,16,0.087,,,1,3,0.6,,,,,
Tanner Conner,MIA,TE,3,No,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,1,,,1,0.6667,,1,79.2,0.3333,1,-4.7754,1,,,1.8493,1.8493,0.3333,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,1,7,0.3333,,,,,,,,,,
Quintin Morris,BUF,TE,7,No,No,No,4,,No,Yes,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
Teagan Quitoriano,HST,TE,5,No,No,No,2,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Ashton Dulin,IND,WR,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.75,,,,,,,,,,
Jauan Jennings,SF,WR,18,Yes,Yes,No,18,1,No,No,1,1,0.0556,,,,,,3,,0.3889,3,39.6,,,-5.4499,,,,1.3216,1.3216,0.0556,,,,,,,,,,,,,,,15,0.6111,,,,,,,,,,
Jamison Crowder,WAS,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.25,,,,,,,,,,
KaVontae Turpin,DAL,WR,11,No,No,No,11,2,No,Yes,2,1,0.1818,2,1,11,17,3,-6,,1,-3,89.6,1,5.5,0.3353,5.5,8.5,1.5,3.6716,3.6716,0.1818,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,1,17,,,,,,,,,,,
Marquise Brown,KC,WR,3,No,Yes,No,3,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Jalen Nailor,MIN,WR,16,Yes,No,Yes,16,,No,Yes,,,,,,,,,,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5625,,,,,,,,,,
John Metchie,HST,WR,14,No,Yes,No,14,,No,No,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.5,,,,,,,,,,
Kenneth Gainwell,PHI,RB,14,No,Yes,No,14,11,No,Yes,10,0.9091,0.7857,9,0.8182,55,65,36,-10,,0.0714,-0.9091,87.5,3.9286,5,-1.0184,6.1111,7.2222,4,15.6005,15.6005,0.7857,5.5,14.5,10,19,14.5,14.5,10,14.5,14.5,14.5,10,14.5,14.5,,17,,1,0.9286,3,4,0.4444,,,,,
Tyler Badie,DEN,RB,2,Yes,No,Yes,2,2,No,Yes,2,1,1,2,1,1,1,,,,,,79.2,0.5,0.5,-5.7963,0.5,0.5,,3.102,3.102,1,0.1,2.1,1.1,3.1,2.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,1,3,,,1,,,,,,,,
Jordan Mims,NO,RB,5,Yes,Yes,No,5,5,No,Yes,5,1,1,4,0.8,22,27,12,-3,,,-0.6,85,4.4,4.4,-1.51,5.5,6.75,3,8.8225,8.8225,1,2.2,6.2,4.2,8.2,6.2,6.2,4.2,6.2,6.2,6.2,4.2,6.2,6.2,1,9,,,1,2,1,0.25,,,,,
Jalen Brooks,DAL,WR,13,No,No,No,13,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,
Kevin Austin,NO,WR,11,Yes,Yes,No,11,,No,Yes,,,,,,,,,,,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8182,,,,,,,,,,
J.K. Dobbins,LAC,RB,24,No,No,No,20,16,No,No,16,1,0.8,15,0.9375,60,71,14,-11,,0.05,-0.6875,82.3,3,3.75,-2.2472,4,4.7333,0.9333,26.8652,26.8652,0.6667,6,21,13.5,28.5,21,21,13.5,21,21,21,13.5,21,21,4,13,,1,0.95,2,1,0.0667,,,,,
Emari Demercado,ARZ,RB,15,No,No,No,14,11,No,Yes,10,0.9091,0.7857,10,0.9091,67,59,5,12,,,1.0909,92,4.7857,6.0909,-0.1478,6.7,5.9,0.5,16.8684,16.8684,0.7333,6.7,16.7,11.7,21.7,16.7,16.7,11.7,16.7,16.7,16.7,11.7,16.7,16.7,4,13,0.0714,,0.9286,3,1,0.1,,,,,
Equanimeous St. Brown,NO,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Samaje Perine,KC,RB,15,Yes,No,No,15,12,No,Yes,12,1,0.8,12,1,79,90,29,-11,0.1333,0.0667,-0.9167,94.1,5.2667,6.5833,0.5845,6.5833,7.5,2.4167,18.3678,18.3678,0.8,7.9,19.9,13.9,25.9,19.9,19.9,13.9,19.9,19.9,19.9,13.9,19.9,19.9,,17,,,0.8,4,5,0.4167,,,,,
Myles Gaskin,MIN,RB,1,No,Yes,No,1,1,No,Yes,1,1,1,1,1,11,13,2,-2,,1,-2,112.5,11,11,4.802,11,13,2,1.7831,1.7831,1,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,4,,,,,,,,,,,
Jordan Whittington,LA,WR,8,Yes,Yes,Yes,8,2,No,Yes,2,1,0.25,2,1,28,28,6,,,0.5,,118.8,3.5,14,7.9614,14,14,3,3.191,3.191,0.25,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,15,0.5,,,2,,,,,,,
Josh Whyle,TEN,TE,17,No,Yes,No,12,4,No,No,4,1,0.3333,4,1,19,22,14,-3,0.6667,0.25,-0.75,86.5,1.5833,4.75,-0.8438,4.75,5.5,3.5,5.5418,5.5418,0.2353,1.9,5.9,3.9,5.9,7.9,5.9,3.9,5.9,5.9,5.9,3.9,7.9,5.9,,17,0.0833,,,1,1,0.25,,,,,
Travis Etienne,JAX,RB,28,No,Yes,No,26,24,No,Yes,20,0.8333,0.9231,19,0.7917,132,132,47,3,,,0.125,89.6,5.0769,5.5,-0.6161,6.9474,6.9474,2.4737,36.512,36.512,0.8571,13.2,32.2,22.7,41.7,32.2,35.2,25.7,32.2,32.2,32.2,22.7,32.2,32.2,3,15,,1,1,6,6,0.3158,,,,,
Ronnie Rivers,LA,RB,5,Yes,Yes,Yes,4,4,No,Yes,3,0.75,1,3,0.75,23,38,2,-19,,,-4.75,88.5,5.75,5.75,0.2831,7.6667,12.6667,0.6667,6.6081,6.6081,0.8,2.3,5.3,3.8,6.8,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,,6,,,1,1,1,0.3333,,,,,
Amari Cooper,BUF,WR,25,No,No,No,25,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,
Darius Slayton,NYG,WR,24,No,Yes,No,24,1,No,Yes,1,1,0.0417,,,,,,-2,,0.2917,-2,39.6,,,-5.4991,,,,1.6959,1.6959,0.0417,,,,,,,,,,,,,,,16,0.7083,,,,,,1,1,,,
Jake Ferguson,DAL,TE,15,No,No,No,15,2,No,Yes,2,1,0.1333,2,1,8,9,3,-1,0.4,0.6,-0.5,83.3,0.5333,4,-1.3133,4,4.5,1.5,2.7404,2.7404,0.1333,0.8,2.8,1.8,2.8,3.8,2.8,1.8,2.8,2.8,2.8,1.8,3.8,2.8,,14,,,,,,,,,,,
Davante Adams,NYJ,WR,45,Yes,Yes,No,45,,No,Yes,,,,,,,,,,,0.2889,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.7111,,,,,,,,,,
Dare Ogunbowale,HST,RB,18,No,Yes,No,17,13,No,No,10,0.7692,0.7647,10,0.7692,110,83,21,31,,0.1176,2.3846,101.4,6.4706,8.4615,1.8959,11,8.3,2.1,18.6706,18.6706,0.7222,11,21,16,26,21,24,19,21,21,21,16,21,21,1,17,,,0.8824,4,2,0.2,,,,,
Nico Collins,HST,WR,27,No,Yes,No,26,,No,No,,,,,,,,,,,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.8462,,,,,,,,,,
Jerry Jeudy,CLV,WR,40,No,No,Yes,40,1,No,No,1,1,0.025,1,1,17,13,10,4,,0.3,4,118.8,0.425,17,10.9502,17,13,10,1.5506,1.5506,0.025,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,17,0.7,,,1,1,1,,,,,
Marquez Valdes-Scantling,NO,WR,29,Yes,Yes,No,29,,No,Yes,,,,,,,,,,,0.2414,,,,,,,,,1.587,1.587,,,,,,,,,,,,,,,,14,0.7586,,,,,,,,,,
Jake Bobo,SEA,WR,12,Yes,Yes,Yes,11,,No,Yes,,,,,,,,,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8182,,0.0909,,,,,,,,
Brevyn Spann-Ford,DAL,TE,9,No,No,No,8,2,No,Yes,1,0.5,0.25,1,0.5,7,9,1,-1,0.25,0.75,-0.5,58.3,0.875,3.5,-1.8133,7,9,1,2.8207,2.8207,0.2222,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,17,,,,1,1,1,,,,,
Tyler Higbee,LA,TE,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,
Connor Heyward,PIT,TE,9,No,Yes,No,8,2,No,No,2,1,0.25,2,1,6,3,,3,0.375,,1.5,79.2,0.75,3,-3.0727,3,1.5,,2.6604,2.6604,0.2222,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,,16,,,0.625,,,,,,,,
Parris Campbell,PHI,WR,6,No,No,No,6,,No,Yes,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.1667,,,,,,,,,,
Adonai Mitchell,IND,WR,11,No,Yes,No,11,,No,Yes,,,,,,,,,,,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7273,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,28,No,Yes,No,28,,No,No,,,,,,,,,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9286,,,,,,,,,,
Jamari Thrash,CLV,WR,6,No,No,Yes,6,,No,No,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1667,,,,,,,,,,
Saquon Barkley,PHI,RB,25,Yes,Yes,No,22,17,No,Yes,17,1,0.7727,16,0.9412,97,114,55,-13,,0.0455,-0.7647,90.4,4.4091,5.7059,-0.3484,6.0625,7.125,3.4375,26.8154,26.8154,0.68,9.7,25.7,17.7,33.7,25.7,25.7,17.7,25.7,25.7,25.7,17.7,25.7,25.7,4,16,,,0.9545,4,7,0.4375,1,0.0588,,,
Evan Engram,JAX,TE,11,Yes,No,No,10,3,No,Yes,3,1,0.3,3,1,19,23,6,-4,0.5,0.3,-1.3333,93.1,1.9,6.3333,1.1512,6.3333,7.6667,2,4.4146,4.4146,0.2727,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,,9,0.2,,,,,,,,,,
Miles Sanders,CAR,RB,13,No,Yes,No,11,7,No,Yes,6,0.8571,0.6364,6,0.8571,15,25,10,-11,,0.1818,-1.5714,79.2,1.3636,2.1429,-3.8527,2.5,4.1667,1.6667,10.4365,10.4365,0.5385,1.5,7.5,4.5,10.5,7.5,7.5,4.5,7.5,7.5,7.5,4.5,7.5,7.5,1,11,,,0.8182,,,,,,,,
Charlie Jones,CIN,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
Rasheen Ali,BLT,RB,1,No,No,Yes,1,1,No,No,1,1,1,,,,,,,,,,39.6,,,-5.8271,,,,1.5315,1.5315,1,,,,,,,,,,,,,,,5,,,1,,,,1,1,,,
Will Dissly,LAC,TE,20,No,No,No,19,8,No,No,7,0.875,0.4211,7,0.875,58,46,27,12,0.7368,0.1579,1.5,96.9,3.0526,7.25,1.3232,8.2857,6.5714,3.8571,11.1842,11.1842,0.4,5.8,12.8,9.3,12.8,16.3,12.8,9.3,12.8,12.8,12.8,9.3,16.3,12.8,,15,0.0526,,0.0526,2,2,0.2857,,,,,
KhaDarel Hodge,ATL,WR,5,No,Yes,No,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.75,,,,,,,,,,
Tommy Tremble,CAR,TE,24,No,Yes,No,21,2,No,Yes,1,0.5,0.0952,1,0.5,7,5,-1,2,0.5238,0.3333,1,58.3,0.3333,3.5,-2.3295,7,5,-1,2.5126,2.5126,0.0833,-0.3,0.7,0.2,0.7,1.2,0.7,-0.8,-0.3,-0.3,-0.3,-0.8,1.2,-0.3,,12,0.0952,,0.0476,,,,,,,,
Jonathan Mingo,DAL,WR,31,No,No,No,30,4,No,Yes,4,1,0.1333,4,1,15,21,9,-6,,0.4667,-1.5,82.3,0.5,3.75,-1.9658,3.75,5.25,2.25,6.265,6.265,0.129,1.5,5.5,3.5,5.5,5.5,5.5,3.5,5.5,5.5,5.5,3.5,5.5,5.5,,17,0.5333,,,,2,0.5,,,,,
Cooper Kupp,LA,WR,17,No,Yes,No,17,,No,Yes,,,,,,,,,,,0.5882,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.4118,,,,,,,,,,
Adam Trautman,DEN,TE,31,Yes,No,No,16,1,No,Yes,1,1,0.0625,1,1,13,10,,3,0.75,0.125,3,118.8,0.8125,13,6.6782,13,10,,1.5384,1.5384,0.0323,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,,17,0.125,,,1,,,,,,,
D'Andre Swift,CHI,RB,20,No,No,No,19,14,No,Yes,13,0.9286,0.7368,13,0.9286,68,71,19,-3,,0.0526,-0.2143,86.9,3.5789,4.8571,-1.1156,5.2308,5.4615,1.4615,19.0748,19.0748,0.7,6.8,19.8,13.3,26.3,19.8,19.8,13.3,19.8,19.8,19.8,13.3,19.8,19.8,,17,0.0526,,0.8947,4,1,0.0769,,,,,
Robbie Chosen,MIA,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Ja'Marr Chase,CIN,WR,54,No,Yes,No,54,2,Yes,Yes,2,1,0.037,2,1,3,6,2,-3,,0.2407,-1.5,79.2,0.0556,1.5,-3.247,1.5,3,1,2.8695,2.8695,0.037,0.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,,17,0.7407,,0.0185,1,,,,,,,
Ben Sims,GB,TE,9,No,No,No,7,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
DeAndre Carter,CHI,WR,5,No,Yes,Yes,5,,No,Yes,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.2,,,,,,,,,,
Hunter Long,LA,TE,5,Yes,Yes,Yes,3,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
Kayshon Boutte,NE,WR,31,No,No,No,31,,No,Yes,,,,,,,,,,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.9677,,,,,,,,,,
Blake Watson,DEN,RB,1,No,No,No,1,1,No,Yes,1,1,1,,,,,,2,,,2,39.6,,,-6.3947,,,,1.4082,1.4082,1,,,,,,,,,,,,,,,2,,1,1,,,,,,,,
