Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero
Colby Parkinson,LA,TE,30,Yes,No,No,6,2,No,Yes,2,1,0.3333,1,0.5,9,14,2,-11,,2,2,1,-5.5,62.5,1.5,4.5,-1.2451,9,14,2,4.4533,4.4533,0.0667,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,17,,1,,,,0.1667,,,,1,0.5,0.8333,
Rome Odunze,CHI,WR,89,No,No,No,18,7,No,Yes,7,1,0.3889,7,1,48,63,26,-15,0.5556,7,7,1,-2.1429,95.2,2.6667,6.8571,1.4895,6.8571,9,3.7143,13.5732,13.5732,0.0787,4.8,11.8,8.3,11.8,11.8,11.8,8.3,11.8,11.8,11.8,8.3,11.8,11.8,17,,3,,2,0.2857,0.4444,2,,,,,,
Trey Sermon,IND,RB,6,Yes,No,No,1,1,No,No,1,1,1,1,1,,7,1,-7,,1,1,1,-7,79.2,,,-4.5287,,7,1,2.0105,2.0105,0.1667,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,17,1,,,1,1,,1,,,,,,
Josh Downs,IND,WR,27,Yes,No,No,18,10,No,No,10,1,0.5556,10,1,85,118,42,-33,0.3333,10,10,1,-3.3,135.4,4.7222,8.5,3.6035,8.5,11.8,4.2,14.8371,14.8371,0.3704,14.5,24.5,19.5,24.5,24.5,24.5,19.5,24.5,24.5,24.5,19.5,24.5,24.5,14,,2,1,3,0.3,0.6667,,,,,,,
Devaughn Vele,DEN,WR,41,Yes,No,No,6,3,No,Yes,2,0.6667,0.5,2,0.6667,12,14,9,-10,0.5,3,3,1,-3.3333,74.3,2,4,-0.6927,6,7,4.5,5.6551,5.6551,0.0732,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,13,,,,1,0.5,0.5,,,,,,,
Tyler Allgeier,ATL,RB,6,No,No,No,2,2,No,Yes,2,1,1,2,1,8,22,5,-14,,2,2,1,-7,83.3,4,4,-0.809,4,11,2.5,2.8616,2.8616,0.3333,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,17,1,,,1,0.5,,,,,,,,
Foster Moreau,NO,TE,32,No,No,No,3,2,No,Yes,2,1,0.6667,2,1,21,27,5,-6,,2,2,1,-3,110.4,7,10.5,4.6348,10.5,13.5,2.5,5.2398,5.2398,0.0625,2.1,4.1,3.1,4.1,5.1,4.1,3.1,4.1,4.1,4.1,3.1,5.1,4.1,17,,1,,,,0.3333,1,,,,,0.6667,
Devin Singletary,NYG,RB,23,Yes,No,No,14,11,No,Yes,10,0.9091,0.7857,10,0.9091,64,116,31,-61,,11,11,1,-5.5455,53,4.5714,5.8182,0.4165,6.4,11.6,3.1,17.2786,17.2786,0.4783,6.4,16.4,11.4,21.4,16.4,16.4,11.4,16.4,16.4,16.4,11.4,16.4,16.4,15,0.9286,3,,2,0.2,0.0714,,,,,,,
Zamir White,LV,RB,7,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,
Ameer Abdullah,LV,RB,14,No,No,Yes,8,4,No,Yes,4,1,0.5,4,1,21,46,6,-25,0.25,4,4,1,-6.25,88.5,2.625,5.25,-0.0901,5.25,11.5,1.5,5.9111,5.9111,0.2857,2.1,6.1,4.1,8.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,16,0.625,2,,1,0.25,0.125,,,,,,,
Jauan Jennings,SF,WR,31,No,No,No,9,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
Quintin Morris,BUF,TE,14,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,5,8,2,-3,,1,1,1,-3,87.5,2.5,5,-0.8652,5,8,2,1.5583,1.5583,0.0714,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,16,,1,,,,0.5,,,,,,0.5,
Ashton Dulin,IND,WR,5,Yes,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,1,,,,,,,
Ja'Tavion Sanders,CAR,TE,19,No,No,No,5,1,No,Yes,1,1,0.2,1,1,4,7,,-3,,1,1,1,-3,83.3,0.8,4,-1.8652,4,7,,1.858,1.858,0.0526,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,16,,,,,,0.8,,,,,,0.2,
Dareke Young,SEA,WR,3,Yes,No,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
Mack Hollins,BUF,WR,51,Yes,No,No,5,,No,Yes,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.2,,,,,,,
Juwan Johnson,NO,TE,27,No,No,No,5,4,No,Yes,4,1,0.8,4,1,13,30,5,-17,0.2,4,4,1,-4.25,80.2,2.6,3.25,-2.5956,3.25,7.5,1.25,6.6598,6.6598,0.1481,1.3,5.3,3.3,5.3,7.3,5.3,3.3,5.3,5.3,5.3,3.3,7.3,5.3,17,,,,1,0.25,0.6,1,,,,,0.2,
David Montgomery,DET,RB,16,Yes,No,Yes,10,10,No,Yes,10,1,1,10,1,108,155,55,-47,,10,10,1,-4.7,111.7,10.8,10.8,5.2366,10.8,15.5,5.5,15.9907,15.9907,0.625,10.8,20.8,15.8,25.8,20.8,23.8,18.8,20.8,20.8,20.8,15.8,20.8,20.8,14,1,5,,2,0.2,,,,,,,,
Tyler Boyd,TEN,WR,34,No,No,No,15,9,No,Yes,9,1,0.6,9,1,36,63,19,-27,0.4,9,9,1,-3,83.3,2.4,4,-0.9636,4,7,2.1111,14.1162,14.1162,0.2647,3.6,12.6,8.1,12.6,12.6,12.6,8.1,12.6,12.6,12.6,8.1,12.6,12.6,16,,2,,,,0.6,1,,,,,,
Andrew Ogletree,IND,TE,15,Yes,No,No,4,1,No,No,1,1,0.25,1,1,8,11,,-3,0.25,1,1,1,-3,100,2,8,2.1348,8,11,,1.6569,1.6569,0.0667,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,17,,1,,,,0.25,,,,,,0.5,
Jaylen Warren,PIT,RB,19,Yes,No,No,12,8,No,Yes,7,0.875,0.6667,7,0.875,53,86,34,-38,,8,8,1,-4.75,94.3,4.4167,6.625,0.9646,7.5714,12.2857,4.8571,11.9396,11.9396,0.4211,5.3,12.3,8.8,15.8,12.3,12.3,8.8,12.3,12.3,12.3,8.8,12.3,12.3,15,0.8333,2,,2,0.2857,0.0833,,,,,,0.0833,
Kendrick Bourne,NE,WR,27,Yes,No,No,6,3,No,Yes,3,1,0.5,3,1,6,13,1,-7,0.8333,3,3,1,-2.3333,79.2,1,2,-3.313,2,4.3333,0.3333,5.0107,5.0107,0.1111,0.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,12,,,,,,0.1667,,,,,,,
Hassan Haskins,LAC,RB,8,Yes,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
Jordan Mims,NO,RB,8,No,No,No,7,4,No,Yes,3,0.75,0.5714,2,0.5,25,26,,-8,0.2857,4,4,1,-2,69.8,3.5714,6.25,0.1993,12.5,13,,6.2334,6.2334,0.5,2.5,4.5,3.5,5.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,9,0.5714,1,,,,0.1429,,,,,,,
Tyler Badie,DEN,RB,1,No,No,Yes,1,1,No,No,1,1,1,1,1,-3,3,,-6,,1,1,1,-6,79.2,-3,-3,-8.0893,-3,3,,1.3913,1.3913,1,-1.3,-0.3,-0.8,0.2,-0.3,-0.3,-1.8,-1.3,-1.3,-1.3,-1.8,-0.3,-1.3,3,1,,,,,,,,,,,,
Jalen Brooks,DAL,WR,21,No,No,No,11,1,No,Yes,1,1,0.0909,1,1,,2,2,-2,0.8182,1,1,1,-2,79.2,,,-5.4991,,2,2,1.5483,1.5483,0.0476,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,14,,,,,,0.1818,,,,,,,
Kevin Austin,NO,WR,18,No,No,No,6,1,No,Yes,,,0.1667,,,,,,,0.5,1,1,1,,39.6,,,-6.0386,,,,1.3899,1.3899,0.0556,,,,,,,,,,,,,,8,,,,,,0.5,,,,,,,
Kenneth Gainwell,PHI,RB,7,Yes,No,No,3,2,No,Yes,1,0.5,0.6667,1,0.5,5,9,5,-10,,2,2,1,-5,56.3,1.6667,2.5,-2.8296,5,9,5,2.6593,2.6593,0.2857,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,17,0.6667,,,,,0.3333,,,,,,,
Jalen Nailor,MIN,WR,32,No,No,No,6,,No,Yes,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.3333,,,,,,,
John Metchie,HST,WR,23,No,No,No,5,3,No,No,3,1,0.6,3,1,11,19,4,-8,0.6,3,3,1,-2.6667,81.9,2.2,3.6667,-1.4602,3.6667,6.3333,1.3333,4.7781,4.7781,0.1304,1.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,13,,1,,,,0.4,1,,,,,,
Marquise Brown,KC,WR,3,No,No,No,3,2,No,Yes,2,1,0.6667,2,1,7,15,1,-8,0.6667,2,2,1,-4,81.3,2.3333,3.5,-0.9851,3.5,7.5,0.5,3.3038,3.3038,0.6667,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2,,,,,,0.3333,1,,,,,,
KaVontae Turpin,DAL,WR,22,No,No,No,18,14,No,Yes,14,1,0.7778,12,0.8571,116,142,39,-30,0.2222,14,14,1,-2.1429,101.2,6.4444,8.2857,3.0634,9.6667,11.8333,3.25,20.5653,20.5653,0.6364,11.6,23.6,17.6,23.6,23.6,26.6,20.6,23.6,23.6,23.6,17.6,23.6,23.6,17,,6,,3,0.25,0.7778,,,,2,0.1429,,
Jamison Crowder,WAS,WR,10,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,5,8,,-3,,1,1,1,-3,87.5,1.6667,5,0.0592,5,8,,1.6139,1.6139,0.1,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,6,,,,,,1,,,,,,,
Jerry Jeudy,CLV,WR,52,No,No,Yes,26,7,No,Yes,7,1,0.2692,6,0.8571,54,67,8,-18,0.5769,7,7,1,-2.5714,98.8,2.0769,7.7143,2.4395,9,11.1667,1.3333,12.1142,12.1142,0.1346,5.4,11.4,8.4,11.4,11.4,11.4,8.4,11.4,11.4,11.4,8.4,11.4,11.4,17,,2,,2,0.3333,0.3462,1,,,1,0.1429,0.0769,
Dare Ogunbowale,HST,RB,15,No,No,No,13,4,No,No,4,1,0.3077,4,1,35,48,7,-13,,4,4,1,-3.25,103.1,2.6923,8.75,2.7682,8.75,12,1.75,7.4396,7.4396,0.2667,3.5,7.5,5.5,9.5,7.5,7.5,5.5,7.5,7.5,7.5,5.5,7.5,7.5,17,1,1,,,,,,,,,,,
Nico Collins,HST,WR,34,No,No,No,25,18,No,No,18,1,0.72,18,1,117,174,70,-57,0.52,18,18,1,-3.1667,93.8,4.68,6.5,1.574,6.5,9.6667,3.8889,29.3237,29.3237,0.5294,11.7,29.7,20.7,29.7,29.7,32.7,23.7,29.7,29.7,29.7,20.7,29.7,29.7,12,0.04,5,,4,0.2222,0.44,2,,,,,,
Jake Ferguson,DAL,TE,37,No,No,No,14,6,No,Yes,6,1,0.4286,6,1,19,44,17,-25,0.2857,6,6,1,-4.1667,79.9,1.3571,3.1667,-2.3194,3.1667,7.3333,2.8333,8.8393,8.8393,0.1622,1.9,7.9,4.9,7.9,10.9,7.9,4.9,7.9,7.9,7.9,4.9,10.9,7.9,14,,1,,4,0.6667,0.3571,1,,,,,0.3571,
Davante Adams,NYJ,WR,54,Yes,No,No,27,14,No,Yes,12,0.8571,0.5185,11,0.7857,49,73,32,-33,0.2593,14,14,1,-2.3571,81.3,1.8148,3.5,-1.7072,4.4545,6.6364,2.9091,21.4212,21.4212,0.2593,4.9,15.9,10.4,15.9,15.9,15.9,10.4,15.9,15.9,15.9,10.4,15.9,15.9,14,0.037,2,,5,0.4545,0.7037,3,1,,,,,
Ronnie Rivers,LA,RB,7,Yes,No,No,3,1,No,Yes,1,1,0.3333,1,1,6,14,3,-8,,1,1,1,-8,91.7,2,6,1.4713,6,14,3,1.1129,1.1129,0.1429,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,0.6667,,,,,0.3333,,,,,,,
Amari Cooper,BUF,WR,33,No,No,Yes,14,1,No,Yes,1,1,0.0714,1,1,2,4,4,-2,0.9286,1,1,1,-2,79.2,0.1429,2,-3.4991,2,4,4,1.6481,1.6481,0.0303,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,14,,,,,,0.0714,,,,,,,
Darius Slayton,NYG,WR,57,Yes,No,No,13,,No,Yes,,,,,,,,,,0.8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.1538,,,,,,,
Josh Whyle,TEN,TE,11,No,No,No,4,2,No,No,1,0.5,0.5,1,0.5,8,10,3,-5,0.25,2,2,1,-2.5,60.4,2,4,-1.3581,8,10,3,3.0209,3.0209,0.1818,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,17,,,,,,,1,,,,,0.75,
Travis Etienne,JAX,RB,27,Yes,No,No,15,11,No,No,8,0.7273,0.7333,8,0.7273,19,59,15,-50,,11,11,1,-4.5455,75.2,1.2667,1.7273,-3.8214,2.375,7.375,1.875,17.8363,17.8363,0.4074,1.9,9.9,5.9,13.9,9.9,9.9,5.9,9.9,9.9,9.9,5.9,9.9,9.9,15,0.8667,1,,,,0.1333,1,,,,,,
Jordan Whittington,LA,WR,16,Yes,No,No,8,4,No,Yes,4,1,0.5,4,1,43,60,5,-17,0.5,4,4,1,-4.25,111.5,5.375,10.75,6.3463,10.75,15,1.25,5.7707,5.7707,0.25,4.3,8.3,6.3,8.3,8.3,8.3,6.3,8.3,8.3,8.3,6.3,8.3,8.3,15,,3,,,,0.5,,,,,,,
Samaje Perine,KC,RB,13,Yes,No,No,10,8,No,Yes,8,1,0.8,6,0.75,36,60,17,-29,0.1,8,8,1,-3.625,83.3,3.6,4.5,-1.1752,6,10,2.8333,15.0011,15.0011,0.6154,3.6,9.6,6.6,12.6,9.6,9.6,6.6,9.6,9.6,9.6,6.6,9.6,9.6,17,0.9,2,,1,0.1667,,1,1,1,1,0.125,,
Cody Thompson,TB,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,4,Yes,No,No,4,2,No,Yes,1,0.5,0.5,1,0.5,6,11,,-8,,2,2,1,-4,56.3,1.5,3,-2.9951,6,11,,3.1317,3.1317,0.5,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,13,1,,,,,,,,,,,,
J.K. Dobbins,LAC,RB,21,Yes,No,Yes,18,8,No,Yes,8,1,0.4444,7,0.875,21,56,18,-43,0.1111,8,8,1,-5.375,79.2,1.1667,2.625,-2.6906,3,8,2.5714,13.3455,13.3455,0.381,2.1,9.1,5.6,12.6,9.1,9.1,5.6,9.1,9.1,9.1,5.6,9.1,9.1,13,0.7778,2,,1,0.1429,0.1111,1,,,1,0.125,,
KhaDarel Hodge,ATL,WR,13,No,No,No,4,3,No,Yes,3,1,0.75,3,1,36,41,9,-5,0.5,3,3,1,-1.6667,116.7,9,12,6.5072,12,13.6667,3,4.1058,4.1058,0.2308,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,16,,2,,4,1.3333,0.5,,,,,,,
Will Dissly,LAC,TE,25,Yes,No,Yes,11,9,No,Yes,9,1,0.8182,9,1,86,117,28,-31,,9,9,1,-3.4444,106.5,7.8182,9.5556,3.8117,9.5556,13,3.1111,14.1297,14.1297,0.36,8.6,17.6,13.1,17.6,22.1,17.6,13.1,17.6,17.6,17.6,13.1,22.1,17.6,15,,4,,2,0.2222,0.1818,1,,,,,0.8182,
Rasheen Ali,BLT,RB,1,No,No,Yes,1,1,No,Yes,,,1,,,,,,-7,,1,1,1,-7,39.6,,,-4.5287,,,,1.0897,1.0897,1,,,,,,,,,,,,,,5,1,,,,,,,,,,,,
Miles Sanders,CAR,RB,17,No,No,No,9,8,No,Yes,7,0.875,0.8889,7,0.875,16,48,21,-42,0.3333,8,8,1,-5.25,39.6,1.7778,2,-3.2376,2.2857,6.8571,3,11.6869,11.6869,0.4706,1.6,8.6,5.1,12.1,8.6,8.6,5.1,8.6,8.6,8.6,5.1,8.6,8.6,11,0.3333,1,,2,0.2857,0.3333,1,,,,,,
Charlie Jones,CIN,WR,2,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,
Saquon Barkley,PHI,RB,22,No,No,No,8,7,No,Yes,6,0.8571,0.875,6,0.8571,47,74,38,-30,,7,7,1,-4.2857,94.6,5.875,6.7143,1.0033,7.8333,12.3333,6.3333,11.0263,11.0263,0.3182,4.7,10.7,7.7,13.7,10.7,10.7,7.7,10.7,10.7,10.7,7.7,10.7,10.7,16,0.625,2,,2,0.3333,0.375,1,,,,,,
Evan Engram,JAX,TE,23,Yes,No,No,14,8,No,Yes,8,1,0.5714,8,1,18,39,12,-21,0.2857,8,8,1,-2.625,79.2,1.2857,2.25,-3.3001,2.25,4.875,1.5,12.2249,12.2249,0.3478,1.8,9.8,5.8,9.8,13.8,9.8,5.8,9.8,9.8,9.8,5.8,13.8,9.8,9,,,,1,0.125,0.5,1,,,,,0.2143,
Jamari Thrash,CLV,WR,9,No,No,Yes,3,1,No,Yes,1,1,0.3333,,,,,,-2,0.3333,1,1,1,-2,39.6,,,-5.4991,,,,1.4365,1.4365,0.125,,,,,,,,,,,,,,9,,,,,,0.6667,,,,1,1,,
Adonai Mitchell,IND,WR,19,Yes,No,No,9,3,No,No,3,1,0.3333,3,1,11,20,4,-9,0.7778,3,3,1,-3,81.9,1.2222,3.6667,-1.4234,3.6667,6.6667,1.3333,4.3309,4.3309,0.1579,2.06,5.06,3.56,5.06,5.06,5.06,3.56,5.06,5.06,5.06,3.56,5.3,5.3,17,,1,,,,0.2222,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,36,No,No,No,7,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,
Connor Heyward,PIT,TE,8,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5,,,,,,,,,,,0.5,
Brevyn Spann-Ford,DAL,TE,12,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.25,,,,,,0.75,
Tyler Higbee,LA,TE,3,Yes,No,No,2,2,No,Yes,1,0.5,1,1,0.5,13,18,7,-9,,2,2,1,-4.5,70.8,6.5,6.5,1.1451,13,18,7,4.4066,4.4066,0.6667,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,3,,1,,,,,1,,,,,1,
Jake Bobo,SEA,WR,22,Yes,No,No,8,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,26,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,-1,1,1,-2,0.7778,1,1,1,-2,79.2,-0.1111,-1,-6.4991,-1,1,1,1.8575,1.8575,0.0385,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,14,,,,1,1,0.2222,1,,,,,,
Kayshon Boutte,NE,WR,40,Yes,No,No,15,,No,Yes,,,,,,,,,,0.9333,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.0667,,,,,,,
Ben Sims,GB,TE,8,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,1,
DeAndre Carter,CHI,WR,11,Yes,No,No,6,2,No,Yes,2,1,0.3333,2,1,13,17,11,-4,0.3333,2,2,1,-2,93.8,2.1667,6.5,1.0009,6.5,8.5,5.5,2.9237,2.9237,0.1818,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,13,,1,,1,0.5,0.6667,,,,,,,
