Name,Team,POS,RTE,TGT,AY,REC,YDS,YAC
Jayden Reed,GB,WR,18,4,17,3,41,34
Devin Neal,NO,RB,38,8,-26,8,48,74
Oronde Gadsden,LAC,TE,60,11,110,8,110,35
Kyle Pitts,ATL,TE,71,12,58,10,69,37
Dante Pettis,NO,WR,32,4,12,4,80,68
Brayden Willis,SF,TE,2,,,,,
Albert Okwuegbunam,LV,TE,4,,,,,
Raheim Sanders,CLV,RB,3,,,,,
Tyler Warren,IND,TE,88,26,161,17,205,127
Will Mallory,IND,TE,1,,,,,
DJ Giddens,IND,RB,3,1,-5,,,
Chris Rodriguez,WAS,RB,11,,,,,
Olamide Zaccheaus,CHI,WR,36,7,32,5,30,8
Theo Wease,MIA,WR,4,1,2,1,8,6
Jalen Tolbert,DAL,WR,27,1,-3,1,,3
Drake London,ATL,WR,41,16,145,14,149,29
Alec Pierce,IND,WR,80,14,250,10,221,38
LaJohntay Wester,BLT,WR,1,,,,,
Jaylin Lane,WAS,WR,14,1,11,,,
Bo Melton,GB,WR,5,,,,,
Tez Johnson,TB,WR,38,7,100,4,27,23
Christian McCaffrey,SF,RB,93,29,65,26,251,176
Sterling Shepard,TB,WR,55,5,52,4,83,55
Khalil Shakir,BUF,WR,41,13,10,10,67,85
Chris Blair,ATL,WR,2,,,,,
Mitchell Tinsley,CIN,WR,11,2,13,,,
Brycen Tremayne,CAR,WR,25,7,51,6,55,17
Jaxon Smith-Njigba,SEA,WR,97,46,590,35,589,163
Jalen Cropper,DAL,WR,1,,,,,
Sam LaPorta,DET,TE,25,2,15,2,19,4
Jackson Hawes,BUF,TE,8,,,,,
Dee Eskridge,MIA,WR,9,,,,,
AJ Dillon,PHI,RB,2,,,,,
Ross Dwelley,DET,TE,4,,,,,
Rashod Bateman,BLT,WR,33,1,4,1,7,3
Grant Calcaterra,PHI,TE,25,3,20,2,18,1
Josh Jacobs,GB,RB,22,7,-2,6,45,47
Cade Stover,HST,TE,11,4,1,2,10,11
Stephen Carlson,CHI,TE,1,,,,,
Jaylen Waddle,MIA,WR,54,16,192,13,175,53
Tee Higgins,CIN,WR,54,12,220,8,143,26
Scott Miller,PIT,WR,13,3,2,2,5,8
Jeremy McNichols,WAS,RB,26,3,-5,3,6,11
Jerome Ford,CLV,RB,16,5,-17,5,13,30
George Pickens,DAL,WR,92,25,325,19,289,81
Pharaoh Brown,ARZ,TE,3,1,1,1,1,
Chris Olave,NO,WR,127,33,399,21,244,94
Rico Dowdle,CAR,RB,54,7,-24,7,68,92
Ricky Pearsall,SF,WR,47,11,151,8,91,29
Jake Tonges,SF,TE,52,9,24,6,44,41
Ben Skowronek,PIT,WR,7,1,4,,,
Beaux Collins,NYG,WR,8,1,38,,,
Roman Wilson,PIT,WR,18,4,52,2,28,1
Trey Benson,ARZ,RB,14,4,2,4,27,25
Julius Chestnut,TEN,RB,2,,,,,
Wan'Dale Robinson,NYG,WR,72,18,95,14,98,95
Ryan Flournoy,DAL,WR,39,11,127,8,113,45
Mike Gesicki,CIN,TE,24,5,45,5,58,13
Nikko Remigio,KC,WR,2,,,,,
Deebo Samuel,WAS,WR,52,15,62,12,113,68
Devin Duvernay,CHI,WR,1,,,,,
Tory Horton,SEA,WR,28,1,5,1,7,2
Travis Kelce,KC,TE,79,12,43,9,92,51
Cole Kmet,CHI,TE,49,5,48,4,50,15
Tyreek Hill,MIA,WR,15,2,16,2,24,8
Demarcus Robinson,SF,WR,49,10,138,6,70,17
Kaleb Johnson,PIT,RB,2,,,,,
Rhamondre Stevenson,NE,RB,35,5,,4,12,16
Brenton Strange,JAX,TE,46,8,31,5,52,32
Derius Davis,LAC,WR,10,1,6,1,7,1
Kylen Granson,PHI,TE,17,2,16,2,17,1
Konata Mumpfield,LA,WR,32,7,71,4,31,1
Kimani Vidal,LAC,RB,29,5,-3,3,59,61
RJ Harvey,DEN,RB,40,6,9,5,45,35
Mason Tipton,NO,WR,47,5,94,1,7,1
Savion Williams,GB,WR,6,2,31,2,37,6
David Njoku,CLV,TE,36,8,44,6,75,46
Brock Bowers,LV,TE,63,12,81,8,91,45
Jalin Hyatt,NYG,WR,13,2,56,1,14,-1
Terrance Ferguson,LA,TE,25,5,107,2,33,1
Brock Wright,DET,TE,13,2,6,2,16,10
Brandin Cooks,BUF,WR,58,11,105,9,91,25
A.J. Brown,PHI,WR,75,18,223,9,108,44
Luke McCaffrey,WAS,WR,11,4,82,3,65,17
Samori Toure,NO,WR,2,1,9,,,
Ryan Miller,TB,WR,9,3,55,2,34,
Rashid Shaheed,SEA,WR,90,19,217,13,182,82
Gunnar Helm,TEN,TE,36,5,32,5,49,17
Justin Jefferson,MIN,WR,62,18,129,11,79,45
Greg Dulcich,MIA,TE,21,3,37,3,50,13
Johnny Mundt,JAX,TE,26,6,52,3,32,24
Durham Smythe,CHI,TE,12,2,4,1,2,4
Xavier Legette,CAR,WR,73,18,179,9,95,18
Alex Bachman,LV,WR,3,,,,,
Dalevon Campbell,CAR,WR,3,,,,,
Austin Trammell,JAX,WR,4,,,,,
Malik Turner,SF,WR,1,,,,,
Ray Davis,BUF,RB,5,1,-1,1,13,14
JuJu Smith-Schuster,KC,WR,51,7,38,7,80,42
DeeJay Dallas,JAX,RB,2,,,,,
Tony Pollard,TEN,RB,41,7,16,6,34,19
Drake Dabney,GB,TE,3,,,,,
Ladd McConkey,LAC,WR,75,13,85,11,119,50
Romeo Doubs,GB,WR,57,14,222,11,147,26
Ko Kieft,TB,TE,1,,,,,
Lucas Krull,DEN,TE,7,2,12,2,15,3
Tyler Johnson,NYJ,WR,20,1,3,1,7,4
Chig Okonkwo,TEN,TE,54,10,7,10,113,106
Ke'Shawn Williams,CIN,WR,2,,,,,
Nick Kallerup,SEA,TE,1,,,,,
Treylon Burks,WAS,WR,23,5,38,3,20,12
James Cook,BUF,RB,24,5,3,5,43,40
Michael Bandy,DEN,WR,2,,,,,
Isaiah Likely,BLT,TE,22,1,5,,,
George Kittle,SF,TE,56,12,49,11,100,66
Zaire Mitchell-Paden,NO,TE,1,1,9,1,14,5
Dalton Schultz,HST,TE,71,14,55,10,83,56
Hayden Rucci,MIA,TE,1,,,,,
Keenan Allen,LAC,WR,66,16,141,11,110,31
Anthony Gould,IND,WR,8,,,,,
CeeDee Lamb,DAL,WR,78,21,301,11,104,34
Noah Fant,CIN,TE,17,4,15,4,24,9
Kene Nwangwu,NYJ,RB,4,,,,,
Travis Vokolek,ARZ,TE,1,,,,,
Nick Vannett,LA,TE,2,,,,,
Rome Odunze,CHI,WR,42,15,293,8,166,52
Brenden Bates,CLV,TE,4,1,12,1,19,7
Jacory Croskey-Merritt,WAS,RB,12,,,,,
Isaiah Davis,NYJ,RB,22,8,18,5,22,29
Colby Parkinson,LA,TE,60,9,31,6,64,46
Isaiah Bond,CLV,WR,43,3,69,,,
Josh Oliver,MIN,TE,16,3,-4,3,21,25
Nick Chubb,HST,RB,15,2,1,2,7,6
Michael Carter,ARZ,RB,58,11,22,8,78,79
Tyjae Spears,TEN,RB,25,6,-11,6,36,47
Keaton Mitchell,BLT,RB,8,3,-14,2,7,15
DJ Moore,CHI,WR,66,12,210,7,126,35
Bucky Irving,TB,RB,28,7,-13,6,40,65
David Sills,ATL,WR,42,5,34,3,29,19
Zamir White,LV,RB,3,2,-4,,,
Ameer Abdullah,IND,RB,6,2,2,2,12,10
Trayveon Williams,CLV,RB,15,3,-10,3,19,29
Isaiah Hodgins,NYG,WR,17,1,,1,8,8
Devin Singletary,NYG,RB,18,4,16,4,36,20
Gage Larvadain,CLV,WR,19,2,12,2,14,2
Tyler Allgeier,ATL,RB,19,4,-8,4,3,11
KeAndre Lambert-Smith,LAC,WR,12,4,52,3,35,12
Foster Moreau,NO,TE,14,3,7,2,25,17
Josh Downs,IND,WR,52,11,69,9,76,37
Khalil Herbert,NYJ,RB,1,,,,,
Quinshon Judkins,CLV,RB,25,7,3,6,35,32
Tetairoa McMillan,CAR,WR,100,14,137,11,103,7
Devaughn Vele,NO,WR,65,9,139,7,84,13
Andrew Ogletree,IND,TE,11,,,,,
Jaylen Warren,PIT,RB,20,5,-19,5,27,46
Kendrick Bourne,SF,WR,64,12,88,9,99,41
Hassan Haskins,LAC,RB,2,1,-3,1,2,5
Jack Bech,LV,WR,36,1,2,,,
Dareke Young,SEA,WR,3,1,8,,,
Mack Hollins,NE,WR,34,12,202,7,60,
Juwan Johnson,NO,TE,130,22,190,17,194,66
David Montgomery,DET,RB,22,3,-4,3,39,43
Tanner Conner,MIA,TE,12,2,12,1,8,2
Quintin Morris,JAX,TE,12,1,11,1,11,
Ja'Tavion Sanders,CAR,TE,46,11,57,10,69,32
Jahdae Walker,CHI,WR,7,3,41,2,36,5
Moliki Matavao,NO,TE,2,,,,,
Tahj Washington,MIA,WR,6,1,43,,,
Jauan Jennings,SF,WR,74,11,158,5,52,9
Teagan Quitoriano,ATL,TE,3,,,,,
Ashton Dulin,IND,WR,16,2,23,1,11,5
KaVontae Turpin,DAL,WR,34,3,-6,2,18,25
John Metchie,NYJ,WR,38,7,45,4,16,8
Jalen Nailor,MIN,WR,36,2,16,1,12,1
Marquise Brown,KC,WR,66,15,193,11,132,24
Kenneth Gainwell,PIT,RB,53,15,-5,13,56,61
Bhayshul Tuten,JAX,RB,14,1,2,,,
Casey Washington,ATL,WR,12,,,,,
Kevin Austin,NO,WR,42,11,58,5,65,40
Tyler Badie,DEN,RB,22,7,-24,4,33,54
Jalen Brooks,ARZ,WR,18,3,34,2,31,2
J.K. Dobbins,DEN,RB,20,2,-9,1,-2,1
Emari Demercado,ARZ,RB,24,4,9,3,33,33
Josh Whyle,GB,TE,12,,,,,
Travis Etienne,JAX,RB,43,7,1,5,32,37
Jordan Whittington,LA,WR,25,3,7,1,3,-1
Bam Knight,ARZ,RB,28,8,7,7,57,55
Jaret Patterson,LAC,RB,8,1,-1,1,1,2
Samaje Perine,CIN,RB,18,2,-5,2,2,7
Efton Chism,NE,WR,6,,,,,
Elijah Arroyo,SEA,TE,27,7,74,5,79,36
Darius Slayton,NYG,WR,50,3,19,3,42,23
Quentin Skinner,NYJ,WR,2,,,,,
Jerry Jeudy,CLV,WR,80,10,125,4,44,
Dare Ogunbowale,HST,RB,6,1,5,,,
Nico Collins,HST,WR,61,17,248,8,154,48
Jake Ferguson,DAL,TE,73,10,43,9,62,40
Davante Adams,LA,WR,51,14,200,5,55,11
Pat Bryant,DEN,WR,42,9,104,5,88,28
Marquez Valdes-Scantling,PIT,WR,42,7,119,2,15,
Adonai Mitchell,NYJ,WR,41,14,134,10,123,6
Nick Westbrook-Ikhine,MIA,WR,17,2,13,2,14,1
Dylan Sampson,CLV,RB,30,4,-18,4,27,45
Brevyn Spann-Ford,DAL,TE,14,2,4,1,2,1
Tyler Higbee,LA,TE,30,3,29,2,32,7
Jawhar Jordan,HST,RB,8,2,,2,12,12
Connor Heyward,PIT,TE,3,1,4,1,6,2
Jake Bobo,SEA,WR,8,,,,,
Saquon Barkley,PHI,RB,44,11,-21,8,54,65
Evan Engram,DEN,TE,58,22,58,15,110,84
Jamari Thrash,CLV,WR,12,,,,,
Matthew Golden,GB,WR,39,8,118,4,19,13
KhaDarel Hodge,ATL,WR,4,3,64,,,
Will Dissly,LAC,TE,9,2,2,2,19,17
Rasheen Ali,BLT,RB,5,2,-1,2,20,21
Miles Sanders,DAL,RB,2,1,-5,1,3,8
Charlie Jones,CIN,WR,2,,,,,
Jonathan Mingo,DAL,WR,12,2,27,,,
Cooper Kupp,SEA,WR,75,9,56,5,43,26
Tommy Tremble,CAR,TE,52,6,22,4,36,29
Ja'Marr Chase,CIN,WR,59,18,107,14,201,149
D'Andre Swift,CHI,RB,39,3,-14,3,13,18
Adam Trautman,DEN,TE,35,4,33,4,41,8
Trevor Etienne,CAR,RB,2,1,-3,1,2,5
Ben Sims,MIN,TE,5,,,,,
Tahj Brooks,CIN,RB,3,1,-2,,,
Robbie Chosen,WAS,WR,2,1,26,,,
Kayshon Boutte,NE,WR,36,7,153,5,94,1
Hunter Long,JAX,TE,12,2,11,2,18,7
Sal Cannella,CLV,TE,2,,,,,
Chris Brooks,GB,RB,13,3,-9,3,22,31
Christian Watson,GB,WR,39,9,217,7,169,23
George Holani,SEA,RB,1,,,,,
Tom Kennedy,DET,WR,5,,,,,
Anthony Firkser,DET,TE,22,1,4,1,4,
Justice Hill,BLT,RB,12,2,6,2,50,44
Tyler Conklin,LAC,TE,15,4,22,3,32,7
James Conner,ARZ,RB,7,2,-10,2,5,15
Shedrick Jackson,LV,WR,1,,,,,
Kyle Williams,NE,WR,22,6,165,3,56,14
Jonathan Taylor,IND,RB,79,14,-14,12,67,84
Troy Franklin,DEN,WR,79,18,225,11,101,48
Laquon Treadwell,IND,WR,2,,,,,
Tyler Goodson,IND,RB,2,,,,,
Jordan Mason,MIN,RB,12,2,-10,2,9,19
Malik Washington,MIA,WR,48,9,36,7,61,45
Tre Tucker,LV,WR,92,16,195,9,157,80
Michael Pittman,IND,WR,87,18,179,16,165,42
Greg Dortch,ARZ,WR,37,4,17,4,20,10
Courtland Sutton,DEN,WR,96,15,208,10,141,43
Javonte Williams,DAL,RB,42,7,-24,6,37,57
Tip Reiman,ARZ,TE,8,1,-1,1,2,3
Tyrell Shavers,BUF,WR,11,1,7,,,
Zach Ertz,WAS,TE,32,9,48,8,66,28
Darnell Washington,PIT,TE,27,3,15,2,9,11
Audric Estime,NO,RB,30,3,-6,3,16,22
Davis Allen,LA,TE,40,2,6,2,11,5
Charlie Kolar,BLT,TE,8,1,10,1,10,
Hunter Henry,NE,TE,51,5,41,4,36,4
Dalton Kincaid,BUF,TE,18,7,30,6,78,50
Jakobi Meyers,JAX,WR,91,19,182,14,144,44
Zavier Scott,MIN,RB,6,2,-2,2,6,8
Jahmyr Gibbs,DET,RB,54,20,31,16,178,167
Cody White,SEA,WR,7,1,8,1,21,13
Ian Thomas,LV,TE,16,1,-4,1,5,9
Zay Flowers,BLT,WR,48,14,121,12,132,45
Tay Martin,WAS,WR,2,,,,,
Gabe Davis,BUF,WR,11,1,22,,,
Michael Wilson,ARZ,WR,129,26,351,17,227,45
Simi Fehoko,ARZ,WR,4,,,,,
Xavier Hutchinson,HST,WR,58,9,82,7,78,34
T.J. Hockenson,MIN,TE,43,12,61,8,60,28
Stone Smartt,NYJ,TE,7,3,14,3,14,
Jakobie Keeney-James,GB,WR,2,,,,,
Tim Patrick,JAX,WR,23,5,31,4,34,13
Brian Thomas,JAX,WR,63,13,145,8,140,31
DeAndre Hopkins,BLT,WR,17,1,6,1,7,1
Josh Reynolds,NYJ,WR,16,3,24,1,9,4
Noah Gray,KC,TE,37,2,16,1,19,14
Chimere Dike,TEN,WR,56,15,63,12,86,49
Michael Mayer,LV,TE,37,11,28,8,44,39
Tyrone Tracy,NYG,RB,25,3,,2,11,13
Marvin Harrison,ARZ,WR,69,19,305,10,178,38
Ben Yurosek,MIN,TE,3,1,,1,5,5
Devin Culp,TB,TE,6,,,,,
Jelani Woods,NYJ,TE,4,2,10,1,4,2
Mo Alie-Cox,IND,TE,25,2,16,,,
Ollie Gordon,MIA,RB,9,2,-5,2,6,11
Bryce Oliver,TEN,WR,3,,,,,
Austin Hooper,NE,TE,20,1,6,1,9,3
Justin Watson,HST,WR,1,,,,,
Rashee Rice,KC,WR,35,9,39,7,70,37
Ty Chandler,MIN,RB,1,,,,,
Britain Covey,PHI,WR,7,2,10,1,8,3
Jaylen Wright,MIA,RB,2,,,,,
Lil'Jordan Humphrey,DEN,WR,20,2,47,1,17,6
Keon Coleman,BUF,WR,28,5,119,2,47,2
Tyler Lockett,LV,WR,47,8,76,4,44,18
Jordan Addison,MIN,WR,52,14,139,9,78,22
De'Von Achane,MIA,RB,50,10,-9,8,79,89
Mike Evans,TB,WR,26,11,193,5,104,10
Xavier Smith,LA,WR,29,4,85,3,54,12
Kenneth Walker,SEA,RB,35,9,-6,7,63,72
Brashard Smith,KC,RB,21,13,-28,10,91,120
Sean Tucker,TB,RB,11,3,-13,3,4,17
John FitzPatrick,GB,TE,15,1,,1,8,8
Jordan Watkins,SF,WR,4,1,18,,,
Tank Bigsby,PHI,RB,14,2,,2,33,33
Treyton Welch,NO,TE,1,,,,,
Nate Adkins,DEN,TE,9,3,14,2,21,7
Tre Harris,LAC,WR,47,7,11,7,70,59
Luke Schoonmaker,DAL,TE,23,4,8,4,37,29
Cedrick Wilson,MIA,WR,13,6,55,4,37,24
Darius Cooper,PHI,WR,18,4,24,3,17,3
Jack Stoll,NO,TE,9,2,7,2,14,7
Russell Gage,SF,WR,4,,,,,
Shane Zylstra,DET,TE,8,,,,,
Malik Heath,GB,WR,6,,,,,
Jalen Royals,KC,WR,4,1,-2,1,2,4
Jayden Higgins,HST,WR,51,8,130,5,115,44
Skyy Moore,SF,WR,15,2,53,1,10,
David Martin-Robinson,TEN,TE,5,1,14,,,
Woody Marks,HST,RB,34,2,-4,2,5,9
James Proche,TEN,WR,15,2,18,2,18,
Xavier Restrepo,TEN,WR,4,2,3,1,12,22
Puka Nacua,LA,WR,94,30,272,25,315,145
Nyheim Hines,NO,RB,1,,,,,
Luke Musgrave,GB,TE,29,3,12,3,12,
Aaron Jones,MIN,RB,24,6,-24,6,35,59
Luke Farrell,SF,TE,27,,,,,
Christian Kirk,HST,WR,46,8,32,5,24,10
E.J. Jenkins,PHI,TE,1,,,,,
Jalen McMillan,TB,WR,8,1,5,1,5,
Mitchell Evans,CAR,TE,32,8,34,7,81,52
Jahan Dotson,PHI,WR,78,9,170,6,112,16
DeVonta Smith,PHI,WR,83,16,156,10,81,32
D'Ernest Johnson,NE,RB,1,,,,,
Theo Johnson,NYG,TE,45,7,73,4,38,22
Giovanni Ricci,DET,TE,1,,,,,
Jameson Williams,DET,WR,74,18,304,12,198,49
Jimmy Horn,CAR,WR,12,3,-10,3,14,24
Brian Robinson,SF,RB,16,5,2,3,10,14
Alvin Kamara,NO,RB,43,9,8,8,46,42
Tucker Fisk,LAC,TE,5,,,,,
Gunner Olszewski,NYG,WR,7,2,42,,,
Tai Felton,MIN,WR,4,1,-2,1,10,12
Eric Saubert,SEA,TE,10,1,8,1,9,1
Ray-Ray McCloud,NYG,WR,21,,,,,
Cade Otton,TB,TE,67,10,40,8,80,49
DeMario Douglas,NE,WR,30,3,2,3,30,28
Xavier Weaver,ARZ,WR,33,2,5,2,10,5
Carter Runyon,LV,TE,1,,,,,
Malik Nabers,NYG,WR,15,6,120,5,105,12
Colson Yankoff,WAS,TE,6,1,5,,,
Dylan Laube,LV,RB,3,1,1,1,4,3
Jason Brownlee,KC,WR,2,,,,,
Taysom Hill,NO,TE,17,5,33,4,39,34
Blake Corum,LA,RB,23,7,5,4,19,24
Julian Hill,MIA,TE,14,3,13,2,24,13
Tyquan Thornton,KC,WR,36,5,163,1,10,5
Evan Hull,NO,RB,8,,,,,
Breece Hall,NYJ,RB,30,3,3,3,30,27
Trent Sherfield,ARZ,WR,8,1,6,,,
DK Metcalf,PIT,WR,61,13,126,10,116,65
Mark Andrews,BLT,TE,25,8,62,5,21,5
Thomas Fidone,NYG,TE,2,,,,,
Parker Washington,JAX,WR,70,19,244,12,174,43
Braxton Berrios,HST,WR,6,1,-8,1,-1,7
Travis Hunter,JAX,WR,30,7,94,4,69,29
Kendre Miller,NO,RB,7,1,-1,1,8,9
