Name,Team,POS,RTE,TGT,AY,REC,YDS,YAC
Josh Whyle,GB,TE,2,1,5,1,2,
Travis Etienne,JAX,RB,6,2,-4,2,26,30
Jordan Whittington,LA,WR,8,,,,,
Bam Knight,ARZ,RB,1,,,,,
Samaje Perine,CIN,RB,1,,,,,
Efton Chism,NE,WR,1,1,6,1,30,24
Elijah Arroyo,SEA,TE,5,,,,,
Darius Slayton,NYG,WR,8,3,60,,,
Jerry Jeudy,CLV,WR,16,2,26,1,8,-1
Nico Collins,HST,WR,19,6,48,3,30,10
Jake Ferguson,DAL,TE,17,1,2,1,1,
Davante Adams,LA,WR,29,15,110,7,28,
Pat Bryant,DEN,WR,10,2,5,2,11,6
Marquez Valdes-Scantling,PIT,WR,3,,,,,
Adonai Mitchell,NYJ,WR,4,1,10,,,
Nick Westbrook-Ikhine,MIA,WR,7,,,,,
Dylan Sampson,CLV,RB,1,,,,,
Jawhar Jordan,HST,RB,2,1,-5,1,-4,1
Connor Heyward,PIT,TE,1,1,17,,,
Tyler Higbee,LA,TE,11,4,11,3,15,11
Brevyn Spann-Ford,DAL,TE,5,,,,,
Jake Bobo,SEA,WR,1,,,,,
Saquon Barkley,PHI,RB,13,2,12,1,10,9
Evan Engram,DEN,TE,11,1,-1,1,20,21
Keleki Latu,BUF,TE,2,,,,,
Jamari Thrash,CLV,WR,4,,,,,
Matthew Golden,GB,WR,4,1,6,,,
Will Dissly,LAC,TE,7,,,,,
Rasheen Ali,BLT,RB,5,1,,1,30,30
Charlie Jones,CIN,WR,1,1,40,,,
Jonathan Mingo,DAL,WR,1,,,,,
Cooper Kupp,SEA,WR,9,3,28,2,17,
Tommy Tremble,CAR,TE,3,,,,,
Ja'Marr Chase,CIN,WR,14,2,14,1,4,1
D'Andre Swift,CHI,RB,13,1,4,1,55,51
Adam Trautman,DEN,TE,4,1,10,1,2,
Robbie Chosen,WAS,WR,3,1,9,,,
Kayshon Boutte,NE,WR,15,2,67,1,16,
Hunter Long,JAX,TE,1,,,,,
Chris Brooks,GB,RB,2,1,-1,,,
Christian Watson,GB,WR,7,2,29,2,24,2
Anthony Firkser,DET,TE,5,,,,,
Justice Hill,BLT,RB,4,,,,,
Tyler Conklin,LAC,TE,5,,,,,
James Conner,ARZ,RB,2,,,,,
Shedrick Jackson,LV,WR,1,,,,,
Kyle Williams,NE,WR,5,1,5,,,
Jonathan Taylor,IND,RB,8,,,,,
Troy Franklin,DEN,WR,17,5,9,4,26,28
Laquon Treadwell,IND,WR,1,,,,,
Tim Jones,JAX,WR,1,,,,,
Jordan Mason,MIN,RB,1,,,,,
Tre Tucker,LV,WR,22,1,34,1,26,
Michael Pittman,IND,WR,19,4,15,2,6,7
Malik Washington,MIA,WR,10,1,20,,,
Greg Dortch,ARZ,WR,6,,,,,
Tip Reiman,ARZ,TE,3,,,,,
Javonte Williams,DAL,RB,7,3,-2,1,4,4
Courtland Sutton,DEN,WR,19,4,58,1,15,
Tyrell Shavers,BUF,WR,9,,,,,
Zach Ertz,WAS,TE,17,1,6,,,
Darnell Washington,PIT,TE,8,2,6,1,2,
Davis Allen,LA,TE,7,3,25,2,12,5
Charlie Kolar,BLT,TE,4,2,10,2,13,5
Hunter Henry,NE,TE,19,6,41,2,13,1
Dalton Kincaid,BUF,TE,10,2,35,,,
Jakobi Meyers,JAX,WR,31,9,69,5,39,14
Jahmyr Gibbs,DET,RB,6,2,7,2,16,9
Cody White,SEA,WR,2,,,,,
Ian Thomas,LV,TE,3,,,,,
Zay Flowers,BLT,WR,35,10,75,6,109,64
Gabe Davis,BUF,WR,8,2,14,1,2,
Michael Wilson,ARZ,WR,12,4,44,2,10,2
Xavier Hutchinson,HST,WR,16,2,40,,,
T.J. Hockenson,MIN,TE,4,,,,,
Stone Smartt,NYJ,TE,1,,,,,
Tim Patrick,JAX,WR,14,3,53,2,27,2
Brian Thomas,JAX,WR,17,3,65,1,46,32
DeAndre Hopkins,BLT,WR,19,2,30,1,6,-1
Josh Reynolds,NYJ,WR,7,1,6,,,
Noah Gray,KC,TE,5,,,,,
Tyrone Tracy,NYG,RB,3,,,,,
Michael Mayer,LV,TE,7,1,,1,2,2
Marvin Harrison,ARZ,WR,8,2,22,2,19,-1
Devin Culp,TB,TE,1,,,,,
Chimere Dike,TEN,WR,9,2,21,1,3,3
Mo Alie-Cox,IND,TE,8,1,10,1,5,
Bryce Oliver,TEN,WR,1,,,,,
Austin Hooper,NE,TE,5,1,,,,
Justin Watson,HST,WR,1,,,,,
Rashee Rice,KC,WR,6,4,9,3,8,12
Lil'Jordan Humphrey,DEN,WR,9,2,26,,,
Keon Coleman,BUF,WR,17,6,63,4,39,19
Tyler Lockett,LV,WR,14,2,6,,,
Jordan Addison,MIN,WR,8,3,17,1,5,-1
De'Von Achane,MIA,RB,8,2,9,1,11,18
Mike Evans,TB,WR,3,3,30,2,22,6
Xavier Smith,LA,WR,2,,,,,
Kenneth Walker,SEA,RB,3,1,2,1,14,12
Brashard Smith,KC,RB,1,,,,,
John FitzPatrick,GB,TE,4,,,,,
Treyton Welch,NO,TE,1,,,,,
Tre Harris,LAC,WR,9,2,40,1,12,
Luke Schoonmaker,DAL,TE,12,1,2,1,11,9
Cedrick Wilson,MIA,WR,1,1,3,1,7,4
Darius Cooper,PHI,WR,4,,,,,
Jack Stoll,NO,TE,2,,,,,
Russell Gage,SF,WR,1,,,,,
Shane Zylstra,DET,TE,7,1,12,,,
Malik Heath,GB,WR,3,,,,,
Jalen Royals,KC,WR,2,,,,,
Jayden Higgins,HST,WR,10,1,7,1,8,1
Skyy Moore,SF,WR,1,,,,,
David Martin-Robinson,TEN,TE,2,,,,,
Woody Marks,HST,RB,6,1,-2,,,
James Proche,TEN,WR,4,,,,,
Puka Nacua,LA,WR,17,6,18,6,40,23
Luke Musgrave,GB,TE,5,1,-2,,,
Aaron Jones,MIN,RB,3,1,-1,1,14,15
Luke Farrell,SF,TE,4,1,10,,,
Christian Kirk,HST,WR,13,3,3,1,-3,1
Jalen McMillan,TB,WR,1,,,,,
Mitchell Evans,CAR,TE,1,,,,,
Jahan Dotson,PHI,WR,31,4,51,1,40,5
DeVonta Smith,PHI,WR,36,13,98,9,76,10
D'Ernest Johnson,NE,RB,1,,,,,
Theo Johnson,NYG,TE,15,4,25,2,8,6
Giovanni Ricci,DET,TE,3,1,2,,,
Jameson Williams,DET,WR,28,3,18,2,40,38
Jimmy Horn,CAR,WR,2,,,,,
Brian Robinson,SF,RB,1,,,,,
Alvin Kamara,NO,RB,1,,,,,
Gunner Olszewski,NYG,WR,2,,,,,
Ray-Ray McCloud,NYG,WR,3,1,7,1,14,7
Cade Otton,TB,TE,6,1,11,,,
DeMario Douglas,NE,WR,8,3,23,2,5,-1
Xavier Weaver,ARZ,WR,5,1,24,,,
Malik Nabers,NYG,WR,4,,,,,
Jason Brownlee,KC,WR,1,,,,,
Taysom Hill,NO,TE,1,,,,,
Blake Corum,LA,RB,1,,,,,
Julian Hill,MIA,TE,1,,,,,
Tyquan Thornton,KC,WR,6,1,12,1,5,
Breece Hall,NYJ,RB,4,2,-6,1,42,48
Trent Sherfield,ARZ,WR,1,,,,,
DK Metcalf,PIT,WR,13,3,31,,,
Mark Andrews,BLT,TE,29,4,35,1,2,
Parker Washington,JAX,WR,16,5,73,4,98,44
