Name,Team,POS,RTE,TGT,REC,AY,YAC,YDS
Darius Slayton,NYG,WR,94,17,6,273,22,81
J.K. Dobbins,DEN,RB,6,1,1,-5,4,-1
Emari Demercado,ARZ,RB,22,1,,1,,
Elijah Mitchell,KC,RB,1,,,,,
Efton Chism,NE,WR,6,1,1,13,,10
Brandon Smith,NYJ,WR,2,,,,,
Rasheen Ali,BLT,RB,17,,,,,
Miles Sanders,DAL,RB,3,,,,,
Charlie Jones,CIN,WR,2,,,,,
KhaDarel Hodge,ATL,WR,13,3,1,33,1,8
Will Dissly,LAC,TE,17,7,4,37,35,48
Jamari Thrash,CLV,WR,41,4,4,21,14,35
Matthew Golden,GB,WR,55,7,5,120,22,94
Saquon Barkley,PHI,RB,45,7,6,58,82,109
Evan Engram,DEN,TE,43,6,3,38,10,27
Brevyn Spann-Ford,DAL,TE,5,,,,,
Tyler Higbee,LA,TE,47,9,5,23,35,39
Keleki Latu,BUF,TE,6,,,,,
Jake Bobo,SEA,WR,4,,,,,
Adonai Mitchell,NYJ,WR,53,22,7,407,2,86
Dylan Sampson,CLV,RB,25,6,5,-9,64,56
Nick Westbrook-Ikhine,MIA,WR,25,,,,,
Marquez Valdes-Scantling,PIT,WR,42,9,2,120,,20
Pat Bryant,DEN,WR,33,3,2,21,20,28
Hunter Long,JAX,TE,19,3,2,5,8,11
Sal Cannella,CLV,TE,3,2,1,10,4,6
Kayshon Boutte,NE,WR,75,8,6,119,13,100
Tahj Brooks,CIN,RB,1,,,,,
Robbie Chosen,WAS,WR,14,3,1,57,,13
Ben Sims,MIN,TE,3,,,,,
D'Andre Swift,CHI,RB,40,8,5,-7,132,97
Adam Trautman,DEN,TE,14,2,2,3,21,24
Trevor Etienne,CAR,RB,1,,,,,
Ja'Marr Chase,CIN,WR,104,30,17,254,65,152
Tommy Tremble,CAR,TE,43,6,3,27,18,27
Jonathan Mingo,DAL,WR,2,,,,,
Cooper Kupp,SEA,WR,64,13,7,158,34,105
Kyle Williams,NE,WR,33,6,3,76,59,85
James Conner,ARZ,RB,2,1,1,-2,6,4
Tyler Conklin,LAC,TE,19,4,2,6,14,15
Shedrick Jackson,LV,WR,3,2,1,39,,11
Anthony Firkser,DET,TE,25,2,2,-1,3,2
Justice Hill,BLT,RB,27,4,2,4,15,4
George Holani,SEA,RB,1,,,,,
Tom Kennedy,DET,WR,4,,,,,
Chris Brooks,GB,RB,15,2,1,9,15,16
Christian Watson,GB,WR,57,15,8,250,38,143
Davis Allen,LA,TE,34,10,6,33,38,27
Zach Ertz,WAS,TE,77,17,9,117,15,67
Audric Estime,NO,RB,12,2,2,9,29,38
Darnell Washington,PIT,TE,21,6,3,23,32,42
Charlie Kolar,BLT,TE,23,1,1,13,4,17
Coleman Owen,IND,WR,1,1,,3,,
Cam Akers,SEA,RB,2,1,,-7,,
Courtland Sutton,DEN,WR,68,21,14,264,66,241
Javonte Williams,DAL,RB,42,2,1,-8,6,2
Greg Dortch,ARZ,WR,26,4,4,,37,37
Malik Washington,MIA,WR,38,7,5,35,40,63
Tip Reiman,ARZ,TE,1,,,,,
Michael Pittman,IND,WR,99,17,14,123,50,131
Tyrell Shavers,BUF,WR,49,8,6,104,52,98
Tim Jones,JAX,WR,4,1,1,4,11,15
Tyler Goodson,IND,RB,3,1,,,,
Jordan Mason,MIN,RB,29,,,,,
Tre Tucker,LV,WR,119,22,11,264,58,151
Jonathan Taylor,IND,RB,56,5,3,20,66,63
Brian Thomas,JAX,WR,74,14,8,260,18,161
DeAndre Hopkins,BLT,WR,59,14,9,212,29,153
Josh Reynolds,NYJ,WR,23,4,3,43,1,23
Noah Gray,KC,TE,42,12,8,44,30,39
Chimere Dike,TEN,WR,65,15,8,217,42,105
Troy Franklin,DEN,WR,62,18,8,290,13,51
Tim Patrick,JAX,WR,37,4,2,74,5,48
Laquon Treadwell,IND,WR,2,,,,,
T.J. Hockenson,MIN,TE,80,7,6,36,31,44
Stone Smartt,NYJ,TE,8,3,2,11,8,17
Simi Fehoko,ARZ,WR,3,,,,,
Xavier Hutchinson,HST,WR,72,11,9,105,45,121
Michael Wilson,ARZ,WR,87,25,14,363,36,240
Ian Thomas,LV,TE,13,1,1,10,2,12
Zay Flowers,BLT,WR,114,33,23,378,128,337
Zavier Scott,MIN,RB,7,3,2,19,11,6
Jahmyr Gibbs,DET,RB,68,17,14,38,121,126
Cody White,SEA,WR,12,2,1,13,3,9
Hunter Henry,NE,TE,87,14,10,98,59,112
Myles Price,MIN,WR,1,,,,,
Dalton Kincaid,BUF,TE,56,14,9,190,35,144
Jakobi Meyers,JAX,WR,112,25,17,240,53,191
Tay Martin,WAS,WR,4,,,,,
Gabe Davis,BUF,WR,36,5,4,17,15,30
Jaylen Wright,MIA,RB,4,2,1,-7,15,13
Rashee Rice,KC,WR,62,14,6,107,38,48
Ty Chandler,MIN,RB,4,1,,-4,,
Britain Covey,PHI,WR,10,,,,,
Austin Hooper,NE,TE,26,3,3,49,9,58
Justin Watson,HST,WR,9,2,1,35,2,15
Ollie Gordon,MIA,RB,7,1,1,-2,22,20
Bryce Oliver,TEN,WR,3,1,1,5,3,8
Mo Alie-Cox,IND,TE,13,1,,13,,
Tyrone Tracy,NYG,RB,67,11,8,27,99,101
Michael Mayer,LV,TE,44,10,7,71,40,77
Ben Yurosek,MIN,TE,2,,,,,
Devin Culp,TB,TE,5,,,,,
Treyton Welch,NO,TE,1,,,,,
Jelani Woods,NYJ,TE,2,,,,,
Marvin Harrison,ARZ,WR,49,16,10,144,31,112
Xavier Gipson,PHI,WR,2,1,1,-5,8,3
Cedrick Wilson,MIA,WR,4,,,,,
Jordan Watkins,SF,WR,3,1,1,19,,19
Chase Edmonds,WAS,RB,1,,,,,
Tank Bigsby,PHI,RB,9,,,,,
John FitzPatrick,GB,TE,25,6,4,13,16,23
Brashard Smith,KC,RB,23,7,2,14,10,10
Sean Tucker,TB,RB,9,3,2,13,25,34
Xavier Smith,LA,WR,32,10,8,139,67,124
Kenneth Walker,SEA,RB,26,2,2,-10,27,17
De'Von Achane,MIA,RB,29,6,3,15,9,3
Mike Evans,TB,WR,46,15,8,169,9,71
Tyler Lockett,LV,WR,69,7,4,43,15,43
Jordan Addison,MIN,WR,74,11,6,166,8,85
Lil'Jordan Humphrey,DEN,WR,34,2,1,31,1,6
Keon Coleman,BUF,WR,72,17,9,221,8,78
David Martin-Robinson,TEN,TE,4,1,1,,6,6
Travis Homer,CHI,RB,1,,,,,
Jayden Higgins,HST,WR,66,15,6,191,17,88
Skyy Moore,SF,WR,11,2,2,31,8,39
Malik Heath,GB,WR,23,3,3,7,22,29
Jalen Royals,KC,WR,7,1,,21,,
Shane Zylstra,DET,TE,18,,,,,
Darius Cooper,PHI,WR,19,3,2,44,7,23
Jack Stoll,NO,TE,3,,,,,
Russell Gage,SF,WR,4,,,,,
Nate Adkins,DEN,TE,4,1,,-1,,
Tre Harris,LAC,WR,59,8,5,53,35,46
Luke Schoonmaker,DAL,TE,12,,,,,
Jameson Williams,DET,WR,105,25,15,267,164,316
Jahan Dotson,PHI,WR,71,6,2,97,1,21
DeVonta Smith,PHI,WR,81,19,9,259,35,105
D'Ernest Johnson,NE,RB,1,,,,,
Theo Johnson,NYG,TE,101,16,12,134,99,199
Jalen McMillan,TB,WR,13,4,4,13,43,56
Mitchell Evans,CAR,TE,16,1,1,8,,2
Nyheim Hines,NO,RB,1,,,,,
Luke Musgrave,GB,TE,34,5,5,54,19,73
Aaron Jones,MIN,RB,28,5,4,-17,35,24
Luke Farrell,SF,TE,7,,,,,
Christian Kirk,HST,WR,50,8,4,71,18,31
Puka Nacua,LA,WR,90,32,26,313,127,371
Woody Marks,HST,RB,35,5,4,2,75,68
James Proche,TEN,WR,16,2,1,46,-1,5
Xavier Restrepo,TEN,WR,3,,,,,
Taysom Hill,NO,TE,7,,,,,
Colson Yankoff,WAS,TE,6,1,1,,4,4
Dylan Laube,LV,RB,3,1,,3,,
Jason Brownlee,KC,WR,4,,,,,
Malik Nabers,NYG,WR,16,7,5,93,25,71
James Mitchell,CAR,TE,2,1,1,-3,12,9
Cade Otton,TB,TE,107,16,10,73,47,75
DeMario Douglas,NE,WR,41,11,9,185,90,227
Xavier Weaver,ARZ,WR,31,3,2,50,10,29
Eric Saubert,SEA,TE,5,,,,,
Ray-Ray McCloud,NYG,WR,20,2,,33,,
Tucker Fisk,LAC,TE,7,1,,4,,
Tai Felton,MIN,WR,4,1,1,7,2,9
Jimmy Horn,CAR,WR,14,2,2,11,14,25
Brian Robinson,SF,RB,9,,,,,
Alvin Kamara,NO,RB,24,3,3,-12,40,28
Travis Hunter,JAX,WR,30,7,4,70,17,68
Gunner Olszewski,NYG,WR,21,6,5,57,43,70
Kendre Miller,NO,RB,5,,,,,
Thomas Fidone,NYG,TE,2,,,,,
Braxton Berrios,HST,WR,5,2,2,12,2,14
DK Metcalf,PIT,WR,76,15,8,286,31,166
Mark Andrews,BLT,TE,86,21,17,186,64,208
Parker Washington,JAX,WR,73,17,9,208,42,130
Evan Hull,NO,RB,3,,,,,
Breece Hall,NYJ,RB,34,7,7,-18,59,41
Trent Sherfield,ARZ,WR,6,,,,,
Tyquan Thornton,KC,WR,69,14,7,325,28,114
Julian Hill,MIA,TE,4,1,1,-1,20,19
Dameon Pierce,KC,RB,1,,,,,
Blake Corum,LA,RB,19,,,,,
Charlie Woerner,ATL,TE,17,,,,,
Mason Kinsey,TEN,WR,10,2,2,44,4,48
Omarion Hampton,LAC,RB,50,4,4,-13,36,23
Josh Palmer,BUF,WR,78,12,8,102,48,117
Antonio Gibson,NE,RB,3,,,,,
Chris Moore,WAS,WR,45,8,4,143,36,115
Tutu Atwell,LA,WR,36,5,2,77,62,92
CJ Dippre,NE,TE,1,,,,,
David Moore,CAR,WR,5,,,,,
Amon-Ra St. Brown,DET,WR,100,30,17,272,107,216
Isaiah Williams,NYJ,WR,46,4,3,11,18,23
Braelon Allen,NYJ,RB,3,1,,,,
Josiah Deguara,ARZ,TE,9,,,,,
Adam Thielen,PIT,WR,64,9,5,106,17,64
Elijah Higgins,ARZ,TE,32,1,,16,,
Jonnu Smith,PIT,TE,49,8,5,54,10,7
Harrison Bryant,HST,TE,4,2,1,8,1,2
Tylan Wallace,BLT,WR,20,3,2,31,7,25
Mason Taylor,NYJ,TE,54,9,5,35,2,9
Emanuel Wilson,GB,RB,17,,,,,
Quentin Johnston,LAC,WR,121,22,15,269,67,220
Cameron Latu,PHI,TE,2,,,,,
Ja'Corey Brooks,WAS,WR,1,,,,,
Chris Manhertz,NYG,TE,3,,,,,
Blake Whiteheart,CLV,TE,17,1,1,2,2,4
Garrett Wilson,NYJ,WR,32,9,5,116,8,66
Corey Kiner,ARZ,RB,2,1,,2,,
Jeff Wilson,MIA,RB,1,,,,,
Kameron Johnson,TB,WR,8,3,2,32,12,34
Dyami Brown,JAX,WR,29,5,3,56,2,32
Luther Burden,CHI,WR,38,10,8,77,75,132
Elic Ayomanor,TEN,WR,77,16,9,201,28,115
Andre Baccellia,ARZ,WR,6,,,,,
Ty Johnson,BUF,RB,59,7,5,,37,46
Van Jefferson,TEN,WR,53,12,7,152,11,73
Kareem Hunt,KC,RB,66,4,3,-1,37,31
Derrick Henry,BLT,RB,29,5,3,8,50,58
Robert Tonyan,KC,TE,2,,,,,
Zach Charbonnet,SEA,RB,26,1,1,-4,,-4
Chuba Hubbard,CAR,RB,32,4,2,-4,6,4
Jared Wayne,HST,WR,2,,,,,
AJ Barner,SEA,TE,53,10,10,42,40,82
Rachaad White,TB,RB,70,7,6,-19,38,9
Elijah Moore,BUF,WR,23,5,3,50,20,48
Malachi Corley,CLV,WR,16,2,2,8,21,29
Xavier Worthy,KC,WR,88,22,11,251,57,180
Darren Waller,MIA,TE,17,3,2,20,4,13
Pat Freiermuth,PIT,TE,68,11,5,92,34,66
Isiah Pacheco,KC,RB,29,2,1,3,8,8
Calvin Austin,PIT,WR,61,18,8,280,36,129
Ronnie Bell,NO,WR,3,,,,,
Bijan Robinson,ATL,RB,78,12,9,48,102,104
LeQuint Allen,JAX,RB,26,,,,,
Jaleel McLaughlin,DEN,RB,2,,,,,
Colston Loveland,CHI,TE,64,15,11,133,30,115
Jeremy Ruckert,NYJ,TE,23,3,2,20,1,16
Kalif Raymond,DET,WR,35,7,6,40,53,89
Darnell Mooney,ATL,WR,92,20,6,286,33,107
Isaac TeSlaa,DET,WR,59,5,1,79,,12
Allen Lazard,NYJ,WR,15,3,2,23,2,13
Hunter Renfrow,CAR,WR,32,6,4,40,7,21
Andrei Iosivas,CIN,WR,95,11,6,120,29,117
Jaylin Noel,HST,WR,44,9,7,70,16,38
Zay Jones,ARZ,WR,29,4,2,65,2,15
Ashton Jeanty,LV,RB,64,12,10,19,69,79
Kyle Monangai,CHI,RB,31,3,,-7,,
Ben Sinnott,WAS,TE,19,1,1,2,2,4
Stefon Diggs,NE,WR,87,23,19,188,113,266
Austin Ekeler,WAS,RB,15,1,1,-8,23,15
Devontez Walker,BLT,WR,13,3,2,85,,32
Dylan Drummond,ATL,WR,9,1,,2,,
Drew Sample,CIN,TE,26,3,2,-1,14,14
Daniel Bellinger,NYG,TE,52,7,4,60,32,51
Najee Harris,LAC,RB,1,,,,,
Chase Brown,CIN,RB,53,7,5,15,19,30
Curtis Samuel,BUF,WR,18,3,3,2,18,20
Tanner Hudson,CIN,TE,20,5,4,59,12,45
Kyren Williams,LA,RB,55,7,5,53,14,57
Payne Durham,TB,TE,6,,,,,
Will Shipley,PHI,RB,12,2,2,-10,21,11
Tucker Kraft,GB,TE,56,20,15,70,178,241
Cam Skattebo,NYG,RB,22,4,4,-6,36,30
Dont'e Thornton,LV,WR,48,10,3,148,16,39
John Bates,WAS,TE,24,2,1,-1,3,5
Trey McBride,ARZ,TE,97,21,13,220,36,122
Dontayvion Wicks,GB,WR,51,16,9,239,4,103
Dawson Knox,BUF,TE,76,12,8,73,46,67
Kyle Pitts,ATL,TE,98,27,19,257,123,258
Noah Brown,WAS,WR,13,1,,7,,
Emeka Egbuka,TB,WR,107,26,8,275,37,98
TreVeyon Henderson,NE,RB,32,2,2,3,17,20
Jayden Reed,GB,WR,27,7,6,74,8,52
Devin Neal,NO,RB,11,2,1,-5,,2
Oronde Gadsden,LAC,TE,91,16,9,127,22,73
Dante Pettis,NO,WR,9,1,1,-3,21,18
Chris Godwin,TB,WR,68,11,6,115,30,70
Dalen Cambre,NYG,WR,2,,,,,
Terry McLaurin,WAS,WR,52,12,3,143,1,25
Harold Fannin,CLV,TE,101,23,15,198,91,188
Dallas Goedert,PHI,TE,71,10,7,82,36,62
Roschon Johnson,CHI,RB,1,,,,,
Cedric Tillman,CLV,WR,75,10,6,127,35,107
Arian Smith,NYJ,WR,38,2,1,21,,-4
Marvin Mims,DEN,WR,30,6,6,57,55,107
Calvin Ridley,TEN,WR,29,2,2,43,17,60
Jacoby Jones,WAS,WR,1,1,1,3,22,25
Raheem Mostert,LV,RB,12,2,2,-1,17,16
Jalen Coker,CAR,WR,55,13,9,145,36,140
LaJohntay Wester,BLT,WR,6,,,,,
Jaylin Lane,WAS,WR,52,13,6,232,12,126
Bo Melton,GB,WR,5,2,1,60,6,34
Jalen Tolbert,DAL,WR,46,6,1,78,,5
Drake London,ATL,WR,76,18,5,287,11,99
Alec Pierce,IND,WR,87,22,11,406,32,224
Olamide Zaccheaus,CHI,WR,53,8,4,52,29,36
Theo Wease,MIA,WR,4,,,,,
DJ Giddens,IND,RB,5,1,,,,
Chris Rodriguez,WAS,RB,12,1,,14,,
Albert Okwuegbunam,LV,TE,8,1,1,-5,10,5
Tyler Warren,IND,TE,80,14,8,100,32,75
Raheim Sanders,CLV,RB,3,,,,,
AJ Dillon,PHI,RB,3,,,,,
Brittain Brown,CHI,RB,3,,,,,
Ross Dwelley,DET,TE,4,1,,1,,
Dee Eskridge,MIA,WR,7,1,,6,,
Sam LaPorta,DET,TE,40,5,3,43,7,37
Phil Mafah,DAL,RB,1,1,1,-6,16,10
Jackson Hawes,BUF,TE,16,3,3,20,24,44
Jaxon Smith-Njigba,SEA,WR,75,30,24,354,107,372
Mitchell Tinsley,CIN,WR,32,10,3,155,9,39
Brycen Tremayne,CAR,WR,20,1,,16,,
Sterling Shepard,TB,WR,83,15,13,119,19,113
Khalil Shakir,BUF,WR,116,26,20,131,129,178
Tez Johnson,TB,WR,70,8,3,97,8,16
Christian McCaffrey,SF,RB,80,15,12,52,83,91
Pharaoh Brown,ARZ,TE,2,,,,,
Rico Dowdle,CAR,RB,28,3,3,-8,45,37
Chris Olave,NO,WR,76,25,14,304,31,152
Jerome Ford,CLV,RB,45,6,4,-4,25,23
George Pickens,DAL,WR,98,28,21,359,177,420
Ricky Pearsall,SF,WR,49,10,8,137,24,134
Jeremy McNichols,WAS,RB,33,4,4,11,45,56
Jaylen Waddle,MIA,WR,39,13,7,120,27,67
Tee Higgins,CIN,WR,76,27,18,389,49,266
Josh Jacobs,GB,RB,30,3,2,6,1,10
Cade Stover,HST,TE,11,1,1,3,2,5
Scott Miller,PIT,WR,22,2,1,31,1,7
Grant Calcaterra,PHI,TE,18,5,4,24,28,40
Rashod Bateman,BLT,WR,72,12,5,117,14,75
Clyde Edwards-Helaire,KC,RB,1,,,,,
Mike Gesicki,CIN,TE,40,7,2,40,2,7
Nikko Remigio,KC,WR,3,,,,,
Deebo Samuel,WAS,WR,88,20,12,166,109,171
Devin Duvernay,CHI,WR,5,2,1,7,,2
Ryan Flournoy,DAL,WR,40,9,6,97,75,143
Julius Chestnut,TEN,RB,3,1,,5,,
Wan'Dale Robinson,NYG,WR,121,22,14,179,93,176
Roman Wilson,PIT,WR,35,5,2,108,8,57
Trey Benson,ARZ,RB,9,,,,,
Jake Tonges,SF,TE,26,5,3,55,9,31
Ben Skowronek,PIT,WR,9,,,,,
Beaux Collins,NYG,WR,9,2,,8,,
Savion Williams,GB,WR,8,,,,,
Kimani Vidal,LAC,RB,48,1,1,-5,20,15
RJ Harvey,DEN,RB,17,4,2,23,18,21
Mason Tipton,NO,WR,21,2,2,7,4,11
Deven Thompkins,ATL,WR,2,1,1,16,3,19
Kylen Granson,PHI,TE,17,2,1,31,6,6
Konata Mumpfield,LA,WR,33,6,1,86,,5
Derius Davis,LAC,WR,7,,,,,
Brenton Strange,JAX,TE,57,12,10,95,56,141
Kaleb Johnson,PIT,RB,2,,,,,
Rhamondre Stevenson,NE,RB,53,12,10,109,128,182
Tory Horton,SEA,WR,25,5,2,83,6,27
Travis Kelce,KC,TE,135,23,14,194,107,157
Cole Kmet,CHI,TE,42,6,4,47,38,57
Tyreek Hill,MIA,WR,7,1,1,10,-1,9
Xavier Legette,CAR,WR,67,11,7,194,4,104
Demarcus Robinson,SF,WR,58,8,4,86,1,44
Johnny Mundt,JAX,TE,20,2,1,5,22,21
Durham Smythe,CHI,TE,7,1,1,4,,4
Greg Dulcich,MIA,TE,12,3,3,5,44,49
Rashid Shaheed,SEA,WR,75,19,14,192,41,160
Gunnar Helm,TEN,TE,41,8,6,38,19,39
Justin Jefferson,MIN,WR,103,29,14,446,34,157
Ryan Miller,TB,WR,3,,,,,
Brock Wright,DET,TE,18,2,2,1,21,22
Brandin Cooks,BUF,WR,58,4,1,92,1,6
A.J. Brown,PHI,WR,68,24,15,309,51,211
Luke McCaffrey,WAS,WR,20,3,,54,,
Terrance Ferguson,LA,TE,41,5,3,73,11,66
Samori Toure,NO,WR,3,2,1,28,,3
David Njoku,CLV,TE,67,6,5,40,23,43
Brock Bowers,LV,TE,77,20,11,130,76,122
Jalin Hyatt,NYG,WR,26,4,3,23,2,17
Nick Kallerup,SEA,TE,4,1,,7,,
Tyler Johnson,NYJ,WR,24,,,,,
Chig Okonkwo,TEN,TE,66,10,5,36,14,24
Ke'Shawn Williams,CIN,WR,3,,,,,
Ray Davis,BUF,RB,12,2,1,6,3,2
DeeJay Dallas,JAX,RB,4,,,,,
Tony Pollard,TEN,RB,33,1,,1,,
Ladd McConkey,LAC,WR,149,37,20,387,132,300
JuJu Smith-Schuster,KC,WR,96,9,5,52,23,33
Romeo Doubs,GB,WR,101,21,9,268,57,136
Malik Turner,SF,WR,3,,,,,
Alex Bachman,LV,WR,3,2,1,11,3,9
Dalevon Campbell,CAR,WR,1,,,,,
Austin Trammell,JAX,WR,15,5,1,77,1,18
Noah Fant,CIN,TE,33,3,3,9,4,12
CeeDee Lamb,DAL,WR,67,27,19,334,83,297
George Kittle,SF,TE,58,16,12,113,32,125
Zaire Mitchell-Paden,NO,TE,3,1,,8,,
Dalton Schultz,HST,TE,89,19,13,147,59,132
Keenan Allen,LAC,WR,130,32,20,219,66,177
Anthony Gould,IND,WR,1,,,,,
Isaiah Likely,BLT,TE,44,5,3,35,41,54
Jared Wiley,KC,TE,2,1,1,-4,8,4
Michael Bandy,DEN,WR,2,1,1,5,11,16
Treylon Burks,WAS,WR,27,8,2,141,11,42
James Cook,BUF,RB,51,7,5,38,76,96
