teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTouchdownsTotal
11,Detroit,Lions,,MIN,NFC,NFC North,Open,Open,Cover 2,16,33,33,1,1,22,0.6666666666666666,0.8787878787878788,0.1390713147878787,46,0.21212121212121213,260,7.878787878787879,0.3,7.7272727272727275,269,,No,No,12,0.36363636363636365,-0.022254545454545478,Yes,0.06060606060606061,1,0.030303030303030304,0.030303030303030304,0.696969696969697,0.09090909090909091,2.812121212121212,2.4833333333333334,8.151515151515152,98,No,Yes,14,1,0.030303030303030304,2
13,Houston,Texans,True,IND,AFC,AFC South,Open,Open,Cover 2,16,24,24,1,2,14,0.5833333333333334,0.8333333333333334,0.14821404925000015,57,0.25,180,7.5,0.3111111111111111,4.583333333333333,215,,No,No,9,0.375,0.012222916666666675,No,,1,0.041666666666666664,0.08333333333333333,0.75,0.041666666666666664,2.670833333333333,2.4444444444444446,8.958333333333334,61.1,No,Yes,8,2,0.041666666666666664,1
6,Chicago,Bears,True,GB,NFC,NFC North,Open,Closed,Cover 3,14,27,27,1,,25,0.9259259259259259,1,0.2781229295555555,3,0.07407407407407407,392,14.518518518518519,0.35459183673469385,18.22222222222222,256,,No,No,3,0.1111111111111111,-0.18835555555555553,No,0.037037037037037035,6,0.2222222222222222,0.1111111111111111,0.7037037037037037,0.037037037037037035,2.311111111111111,2.5,9.481481481481481,158.3,No,Yes,15,,,5
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Cover 3,15,18,18,1,,15,0.8333333333333334,1,0.25155743222222215,39,0.16666666666666666,176,9.777777777777779,0.4659090909090909,9.777777777777779,133,,No,Yes,4,0.2222222222222222,-0.17307777777777777,Yes,0.05555555555555555,2,0.1111111111111111,,0.3888888888888889,0.2222222222222222,2.8666666666666667,2.95,7.388888888888889,107.4,No,Yes,8,,,
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 4,17,18,18,1,,12,0.6666666666666666,0.8888888888888888,0.164099204,21,0.2222222222222222,160,8.88888888888889,0.2375,8.88888888888889,151,,No,Yes,5,0.2777777777777778,-0.020730555555555547,No,,1,0.05555555555555555,0.05555555555555555,0.7777777777777778,,2.3055555555555554,2.38,8.38888888888889,94.7,Yes,Yes,10,,,
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Open,Open,Cover 0,17,29,29,1,2,17,0.5862068965517241,0.896551724137931,0.1796470594137931,57,0.3103448275862069,229,7.896551724137931,0.31004366812227074,6.344827586206897,267,2,Yes,No,9,0.3103448275862069,-0.055610344827586214,No,,3,0.10344827586206896,0.034482758620689655,0.6551724137931034,0.10344827586206896,2.6965517241379313,2.3111111111111113,9.206896551724139,69.5,Yes,Yes,11,1,0.034482758620689655,
24,New York,Giants,True,DAL,NFC,NFC East,Open,Closed,Cover 1,16,39,39,1,1,31,0.7948717948717948,0.9487179487179487,0.23055070451282045,56,0.15384615384615385,363,9.307692307692308,0.33884297520661155,8.153846153846153,341,1,Yes,No,6,0.15384615384615385,-0.17333846153846152,No,0.05128205128205128,4,0.10256410256410256,0.05128205128205128,0.8717948717948718,0.02564102564102564,2.471794871794872,3.1166666666666667,8.743589743589743,94.8,No,Yes,20,1,,
29,San Francisco,49ers,True,SEA,NFC,NFC West,Open,Open,Red Zone,15,33,33,1,3,22,0.6666666666666666,0.8181818181818182,0.14262837230303038,82,0.15151515151515152,246,7.454545454545454,0.23170731707317074,8.06060606060606,377,1,No,No,9,0.2727272727272727,-0.12414090909090911,No,0.030303030303030304,6,0.18181818181818182,0.06060606060606061,0.7575757575757576,0.06060606060606061,2.875757575757576,2.911111111111111,11.424242424242424,98.8,No,Yes,11,,,1
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Closed,Cover 3,17,30,30,1,3,25,0.8333333333333334,0.9333333333333333,0.27018196510000003,36,0.1,393,13.1,0.25699745547073793,15.766666666666667,370,2,No,No,11,0.36666666666666664,-0.010808333333333368,No,0.03333333333333333,7,0.23333333333333334,0.13333333333333333,0.7333333333333333,0.06666666666666667,2.763333333333333,2.463636363636364,12.333333333333334,158.3,Yes,Yes,19,,0.03333333333333333,4
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Open,Closed,Cover 1,15,19,19,1,,12,0.631578947368421,0.8947368421052632,0.1313159362105264,43,0.2631578947368421,170,8.947368421052632,0.6588235294117647,10,120,,No,No,4,0.21052631578947367,-0.09065526315789475,No,,2,0.10526315789473684,,0.7368421052631579,0.10526315789473684,2.3210526315789473,2.45,6.315789473684211,109.5,Yes,Yes,8,,,1
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 6,16,37,37,1,1,29,0.7837837837837838,0.8378378378378378,0.13194033602702704,31,0.05405405405405406,333,9,0.2822822822822823,9,353,1,No,Yes,10,0.2702702702702703,-0.07856351351351352,No,,6,0.16216216216216217,0.05405405405405406,0.6486486486486487,0.05405405405405406,2.597297297297297,2.44,9.54054054054054,104.2,No,Yes,17,,,
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Closed,Closed,Cover 3,17,35,35,1,3,22,0.6285714285714286,0.8857142857142857,0.12202249831428569,49,0.2571428571428571,280,8,0.7142857142857143,7.857142857142857,226,,No,Yes,6,0.17142857142857143,-0.21089285714285713,No,0.02857142857142857,3,0.08571428571428572,,0.6571428571428571,0.11428571428571428,2.7914285714285714,2.9166666666666665,6.457142857142857,94.9,No,Yes,15,1,,2
8,Cleveland,Browns,,CIN,AFC,AFC North,Closed,Closed,Cover 3,15,18,18,1,1,14,0.7777777777777778,0.8333333333333334,0.14815323261111113,-1,0.05555555555555555,198,11,0.35353535353535354,12.11111111111111,187,,No,Yes,6,0.3333333333333333,-0.10413333333333336,No,,4,0.2222222222222222,,0.6111111111111112,0.16666666666666666,3.111111111111111,2.6,10.38888888888889,131,No,Yes,9,,,1
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Closed,Cover 3,14,22,22,1,,15,0.6818181818181818,0.9090909090909091,0.13522159300000003,22,0.22727272727272727,172,7.818181818181818,0.47674418604651164,8.727272727272727,127,,No,No,7,0.3181818181818182,-0.024061363636363634,No,,,,,0.7727272727272727,0.09090909090909091,2.559090909090909,2.8285714285714287,5.7727272727272725,106.6,No,Yes,9,,0.045454545454545456,1
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,16,23,23,1,1,15,0.6521739130434783,0.782608695652174,0.06035165030434786,12,0.13043478260869565,177,7.695652173913044,0.4180790960451977,8.565217391304348,211,,No,Yes,9,0.391304347826087,0.05025434782608696,No,0.08695652173913043,2,0.08695652173913043,,0.6521739130434783,0.08695652173913043,2.552173913043478,2.677777777777778,9.173913043478262,103,No,Yes,7,,,1
31,Tennessee,Titans,,JAX,AFC,AFC South,Open,Closed,Cover 1,17,20,20,1,,17,0.85,0.85,0.06689122284999993,,,147,7.35,0.6326530612244898,8.35,119,1,No,Yes,4,0.2,-0.1605125,No,,1,0.05,0.05,0.55,0.2,2.665,2.5250000000000004,5.95,114,Yes,Yes,8,,,1
22,New England,Patriots,True,MIA,AFC,AFC East,Open,Closed,Cover 3,15,24,24,1,1,19,0.7916666666666666,0.9166666666666666,0.15670813054166666,29,0.125,208,8.666666666666666,0.6057692307692307,8.458333333333334,156,,No,No,6,0.25,-0.06480000000000001,Yes,,2,0.08333333333333333,,0.7083333333333334,,2.4,2.4499999999999997,6.5,113.2,No,Yes,11,1,,2
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Closed,Closed,Cover 3,14,17,17,1,,15,0.8823529411764706,1,0.2524303469411765,19,0.11764705882352941,203,11.941176470588236,0.46798029556650245,11.941176470588236,127,1,No,Yes,6,0.35294117647058826,0.01683235294117648,Yes,,2,0.11764705882352941,0.058823529411764705,0.7058823529411765,0.11764705882352941,2.523529411764706,2.1666666666666665,7.470588235294118,116.4,No,Yes,10,,,
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Cover 4,15,28,28,1,2,21,0.75,0.8571428571428571,0.08965047867857145,8,0.10714285714285714,189,6.75,0.3386243386243386,8.178571428571429,187,1,No,Yes,11,0.39285714285714285,0.06881607142857142,No,0.03571428571428571,3,0.10714285714285714,0.03571428571428571,0.6785714285714286,0.14285714285714285,2.4535714285714287,2.4727272727272727,6.678571428571429,116.5,Yes,Yes,8,,,2
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Red Zone,15,33,33,1,,23,0.696969696969697,0.8787878787878788,0.14643747833333332,17,0.18181818181818182,198,6,0.5,5.848484848484849,198,,No,No,4,0.12121212121212122,-0.13661060606060607,No,0.09090909090909091,4,0.12121212121212122,0.030303030303030304,0.696969696969697,0.06060606060606061,2.06969696969697,2.425,6,92.7,No,Yes,13,1,,2
14,Indianapolis,Colts,,HST,AFC,AFC South,Open,Open,Cover 2,17,26,26,1,3,19,0.7307692307692307,0.8076923076923077,0.07519613026923078,26,0.07692307692307693,160,6.153846153846154,0.29375,8.461538461538462,197,,No,No,3,0.11538461538461539,-0.2226365384615385,No,0.07692307692307693,4,0.15384615384615385,,0.8076923076923077,0.11538461538461539,2.534615384615385,2.733333333333333,7.576923076923077,127.1,No,Yes,12,,,3
10,Denver,Broncos,True,LAC,AFC,AFC West,Closed,Open,Cover 2,16,27,27,1,3,17,0.6296296296296297,0.7037037037037037,-0.010193265296296161,19,0.07407407407407407,183,6.777777777777778,0.3333333333333333,6.592592592592593,259,1,Yes,No,9,0.3333333333333333,-0.023633333333333322,No,,2,0.07407407407407407,0.07407407407407407,0.7777777777777778,,2.644444444444445,2.4222222222222225,9.592592592592593,92.1,No,Yes,12,1,,2
