name,pos,team,n_situations,trend_metric,trend_2024,trend_2025,trend_delta,rec_vs_man,rec_vs_zone,rec_yprr,rec_deep_routes,rec_short_routes,rec_yac,rec_adot,rec_drop,rec_qbr,rec_epa_route_pro,rec_epa_tgt_pro,rec_sep_pro,rec_croe_pro,rec_yacoe_pro,rec_deep,rec_slot,rec_wide,rec_vman_ftn,rec_vzone_ftn,rec_sep,rec_contested,rec_rz,rec_dvoa,rec_success,rec_rz_vol,rec_man_qbr,rb_elusive,rb_breakaway,rb_yco,rb_grade_run,rb_rec_yprr,rb_explosive,rb_inside_zone,rb_outside_zone,rb_gap,rb_mtf_rate,rb_epa_att_pro,rb_ryoe_att_pro,rb_success_pro,rb_yaco_att_pro,rb_rec_epa_pro,rb_rec_sep_pro,qb_btt,qb_twp,qb_acc,qb_grade,qb_p2s,qb_adot,qb_ttt,qb_pressure,qb_pressure_grade,qb_pa,qb_pa_grade,qb_clean,qb_blitz,qb_deep,qb_deep_grade,qb_epa_db_pro,qb_cpoe_pro
,,,,,,,,vs Man coverage (YPRR),vs Zone coverage (YPRR),Overall YPRR,Deep routes (yds/route),Short routes (yds/route),Yards after catch / reception,Avg depth of target (aDOT),Drop rate (lower=better),QB rating when targeted,Rec EPA / route (NFL Pro),Rec EPA / target (NFL Pro),Avg separation (NFL Pro NGS),Catch rate over expected (CROE),YAC over expected / rec (NFL Pro),Deep ball (yds/deep target),From slot (yds/route),Out wide (yds/route),"vs Man (yds/man route, FTN)","vs Zone (yds/zone route, FTN)",Separation (step sep at catch pt),Contested catch rate,Red zone TD rate (TD/target),Overall efficiency (DVOA),Success rate,Red zone targets (volume),vs Man (QB rating when targeted),Elusiveness (PFF elusive rating),Breakaway run rate,Yards after contact / attempt,Rushing grade,Receiving YPRR (as RB),Explosive run rate,Inside zone (yds/carry),Outside zone (yds/carry),Gap/Power scheme (yds/carry),Missed tackles forced /carry,Rush EPA / attempt (NFL Pro),RYOE / attempt (NFL Pro),Rush success rate (NFL Pro),Yards after contact / att (NFL Pro),"Receiving EPA / route (NFL Pro, RB)","Receiving separation (NFL Pro, RB)",Big-time throw rate,Turnover-worthy play rate (lower=better),Accuracy %,Overall passing grade,Pressure-to-sack rate (lower=better),Avg depth of target,Time to throw,Under pressure (YPA),Under pressure (grade),Play-action (YPA),Play-action grade,Clean pocket (YPA),vs Blitz (YPA),Deep ball accuracy %,Deep ball grade,EPA / dropback (NFL Pro),Completion % over expected (CPOE)
A.J. Brown,WR,NE,26,YPRR,2.61,1.96,-0.65,93.8,70.9,82.5,68.0,87.1,29.9,50.5,71.3,61.4,63.0,57.5,6.8,82.2,80.8,53.6,93.4,82.0,95.3,67.0,83.2,50.6,42.9,55.2,87.5,68.8,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,WR,NYJ,26,YPRR,1.51,1.46,-0.05,35.7,63.2,51.8,72.0,31.7,12.4,92.1,5.0,2.0,1.4,1.4,45.2,4.1,78.1,21.7,7.5,58.6,32.7,56.9,21.5,60.9,17.1,1.0,28.1,41.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce,WR,IND,26,YPRR,1.82,2.1,0.28,65.2,85.5,86.0,91.0,84.2,50.5,99.0,92.1,86.1,90.4,94.5,2.7,90.4,86.3,87.0,65.1,83.8,64.5,87.2,57.0,40.2,94.3,96.9,68.8,50.0,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,WR,DET,26,YPRR,2.35,2.48,0.13,89.3,93.2,96.5,36.0,96.0,76.3,12.9,67.3,81.2,80.8,67.1,58.9,57.5,49.3,33.3,85.8,95.5,82.2,93.6,100.0,32.2,65.7,69.8,97.9,100.0,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,WR,CIN,25,YPRR,0.84,0.79,-0.05,17.0,10.3,4.4,18.0,11.9,26.8,29.7,12.9,40.6,28.8,34.2,23.3,23.3,17.8,65.2,9.4,20.7,31.8,0.9,36.4,1.1,21.4,30.2,37.5,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr.,WR,JAX,26,YPRR,2.45,1.45,-1.0,61.6,53.0,48.2,71.0,15.8,34.0,89.1,9.9,42.6,42.5,45.2,31.5,13.7,35.6,14.5,30.2,55.9,77.6,35.8,57.9,19.5,20.0,35.4,66.7,34.4,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Austin III,WR,NYG,20,YPRR,1.41,1.15,-0.26,52.7,16.2,25.4,33.0,45.5,47.4,40.6,34.7,20.8,,,,,,7.2,23.6,29.7,67.3,13.8,16.8,42.5,,20.8,25.0,16.7,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley,WR,TEN,15,YPRR,1.86,1.89,0.03,64.3,84.6,78.9,55.0,,,76.2,6.9,9.9,,,,,,,64.2,75.7,57.0,82.6,25.2,,,42.7,6.2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Tillman,WR,CLE,17,YPRR,1.22,0.85,-0.37,25.0,12.8,6.1,59.0,27.7,22.7,47.5,61.4,16.8,,,,,,,71.7,1.8,30.8,7.3,29.9,,,19.8,7.3,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeeDee Lamb,WR,DAL,26,YPRR,2.27,2.37,0.1,99.1,77.8,95.6,94.0,49.5,54.6,61.4,25.7,54.5,64.4,56.2,49.3,69.9,56.2,98.6,88.7,91.9,100.0,62.4,86.9,48.3,15.7,68.8,86.5,87.5,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimere Dike,WR,TEN,25,,,,,41.1,22.2,17.5,12.0,24.8,69.1,9.9,68.3,52.5,16.4,16.4,94.5,19.2,13.7,26.1,22.6,21.6,36.4,15.6,35.5,,38.6,21.9,40.6,75.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin Jr.,WR,TB,24,YPRR,2.36,1.36,-1.0,42.9,28.2,42.1,7.0,56.4,89.7,7.9,46.5,53.5,47.9,53.4,50.7,35.6,98.6,,48.1,45.9,21.5,63.3,6.5,47.1,70.0,41.7,38.5,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Olave,WR,NO,26,YPRR,2.13,1.98,-0.15,74.1,75.2,83.3,90.0,55.4,19.6,53.5,69.3,63.4,58.9,50.7,57.5,39.7,6.8,56.5,67.0,86.5,73.8,80.7,88.8,49.4,80.0,36.5,95.8,85.4,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,WR,SF,19,YPRR,1.72,1.16,-0.56,71.4,11.1,26.3,,13.9,67.0,10.9,26.7,5.9,,,,,,,13.2,19.8,5.6,18.3,64.5,6.9,31.4,0.0,13.5,31.2,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson,WR,GB,26,YPRR,2.26,2.28,0.02,83.9,96.6,92.1,97.0,82.2,46.4,95.0,87.1,93.1,94.5,93.2,1.4,95.9,68.5,78.3,99.1,68.5,81.3,96.3,54.2,56.3,85.7,99.0,47.9,32.3,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp,WR,SEA,25,YPRR,1.88,1.49,-0.39,58.9,47.0,52.6,13.0,40.6,83.5,17.8,44.6,50.5,23.3,23.3,67.1,71.2,95.9,,33.0,47.7,34.6,46.8,61.7,39.1,27.1,59.4,58.3,64.6,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,WR,DEN,26,YPRR,1.88,1.53,-0.35,75.9,51.3,55.3,65.0,61.4,14.4,70.3,30.7,59.4,76.7,78.1,9.6,67.1,27.4,66.7,73.6,52.3,86.0,45.9,92.5,59.8,37.1,57.3,91.7,94.8,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,WR,BUF,16,YPRR,1.44,1.24,-0.2,37.5,30.8,31.6,38.0,38.6,62.9,49.5,59.4,80.2,31.5,31.5,79.5,16.4,54.8,,,,,,,82.8,,,,,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf,WR,PIT,26,YPRR,1.81,1.78,-0.03,46.4,86.3,71.9,86.0,71.3,97.9,43.6,29.7,48.5,65.8,71.2,30.1,32.9,100.0,50.7,35.8,71.2,45.8,78.0,37.4,13.8,44.3,53.1,71.9,69.8,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Slayton,WR,NYG,25,YPRR,1.08,1.24,0.16,4.5,50.4,32.5,25.0,78.2,79.4,77.2,8.9,56.4,46.6,61.6,41.1,26.0,64.4,18.8,31.1,35.1,24.3,43.1,60.7,8.0,1.4,31.2,39.6,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Mooney,WR,NYG,26,YPRR,1.88,0.97,-0.91,13.4,29.1,13.2,10.0,1.0,7.2,84.2,4.0,15.8,17.8,17.8,64.4,0.0,12.3,2.9,3.8,33.3,4.7,29.4,45.8,0.0,5.7,2.1,33.3,47.9,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams,WR,LAR,26,YPRR,2.04,1.9,-0.14,51.8,66.7,79.8,26.0,63.4,6.2,80.2,17.8,77.2,60.3,54.8,4.1,31.5,2.7,29.0,80.2,64.9,54.2,79.8,95.3,9.2,88.6,54.2,81.2,99.0,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,WR,FA,20,YPRR,1.61,1.63,0.02,86.6,25.6,63.2,66.0,36.6,25.8,88.1,65.3,51.5,,,,,,49.3,5.7,79.3,74.8,47.7,13.1,90.8,,60.4,14.6,7.3,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMario Douglas,WR,NE,20,YPRR,1.4,1.82,0.42,91.1,56.4,73.7,56.0,77.2,95.9,24.8,54.5,97.0,,,,,,97.1,69.8,100.0,99.1,41.3,8.4,,62.9,75.0,30.2,35.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith,WR,PHI,26,YPRR,2.03,1.92,-0.11,40.2,81.2,80.7,75.0,64.4,49.5,46.5,73.3,73.3,89.0,86.3,52.1,79.5,21.9,84.1,42.5,96.4,44.9,88.1,46.7,25.3,34.3,58.3,83.3,57.3,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel Sr.,WR,FA,25,YPRR,1.6,1.66,0.06,81.2,44.4,64.9,29.0,85.1,90.7,5.0,43.6,62.4,38.4,35.6,87.7,58.9,83.6,,39.6,94.6,84.1,56.0,77.6,66.7,81.4,44.8,77.1,63.5,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devaughn Vele,WR,NO,17,YPRR,1.43,1.21,-0.22,8.0,41.9,29.8,,99.0,1.0,60.4,97.0,84.2,,,,,,,55.7,26.1,23.4,32.1,24.3,100.0,,82.3,22.9,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devontez Walker,WR,BAL,1,,,,,,,,,,,,,,,,,,,,,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dont'e Thornton Jr.,WR,LV,14,,,,,38.4,0.0,0.9,11.0,,,97.0,0.0,0.0,,,,,,0.0,0.9,6.3,0.9,1.8,1.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontayvion Wicks,WR,PHI,18,YPRR,1.41,1.39,-0.02,66.1,41.0,43.0,,25.7,8.2,44.6,28.7,35.6,,,,,,,50.0,48.6,69.2,31.2,52.3,87.4,,71.9,31.2,19.8,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake London,WR,ATL,26,YPRR,2.32,2.34,0.02,29.5,97.4,93.0,67.0,73.3,38.1,39.6,81.2,78.2,57.5,42.5,34.2,54.8,61.6,62.3,96.2,78.4,76.6,90.8,90.7,35.6,95.7,67.7,82.3,79.2,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,WR,WAS,18,YPRR,1.53,1.11,-0.42,19.6,21.4,24.6,41.0,,2.1,86.1,1.0,13.9,,,,,,,6.6,36.0,40.2,27.5,43.0,65.5,10.0,28.1,5.2,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elic Ayomanor,WR,TEN,26,,,,,34.8,19.7,16.7,16.0,6.9,24.7,65.3,31.7,10.9,4.1,4.1,32.9,1.4,16.4,42.0,78.3,10.8,25.2,19.3,50.5,81.6,97.1,29.2,52.1,43.8,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,WR,TB,26,,,,,17.9,78.6,70.2,82.0,67.3,82.5,72.3,16.8,25.7,15.1,15.1,27.4,9.6,58.9,59.4,60.4,73.0,59.8,74.3,79.4,10.3,18.6,14.6,75.0,74.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,WR,NYJ,23,YPRR,1.69,1.76,0.07,87.5,61.5,71.1,,59.4,16.5,26.7,38.6,60.4,6.8,9.6,72.6,28.8,24.7,34.8,84.9,63.1,79.4,73.4,49.5,33.3,,25.0,24.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pickens,WR,DAL,26,YPRR,2.11,2.35,0.24,98.2,88.9,94.7,61.0,72.3,77.3,48.5,52.5,91.1,95.9,95.9,11.0,87.7,97.3,71.0,81.1,89.2,94.4,83.5,99.1,80.5,32.9,91.7,96.9,97.9,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dortch,WR,DET,18,YPRR,1.18,0.96,-0.22,25.9,5.1,12.3,2.0,92.1,93.8,0.0,42.6,94.1,,,,,,,21.7,12.6,43.9,10.1,0.0,,64.3,39.6,0.0,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac TeSlaa,WR,DET,12,,,,,2.7,23.9,5.3,60.0,54.5,,,,,,,,,,,4.7,13.5,10.3,9.2,27.1,78.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Bond,WR,CLE,19,,,,,60.7,6.0,14.0,88.0,14.9,,94.1,50.5,6.9,,,,,,40.6,41.5,4.5,48.6,2.8,15.0,64.4,,7.3,3.1,10.4,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Kobi Lane,WR,BAL,8,,,,,,,,,,,,,,,,,,,,53.8,27.0,50.5,21.1,10.3,,,8.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,WR,CIN,26,YPRR,2.41,2.23,-0.18,33.0,90.6,90.4,40.0,68.3,80.4,18.8,60.4,46.5,61.6,52.1,74.0,43.8,84.9,31.9,74.5,88.3,62.6,91.7,98.1,72.4,75.7,52.1,99.0,96.9,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bech,WR,LV,14,,,,,56.2,17.1,27.2,1.0,,35.1,,,,,,,,,,63.2,23.4,68.2,11.0,15.9,77.0,,64.6,4.2,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahan Dotson,WR,ATL,14,YPRR,0.55,0.6,0.05,1.8,3.4,1.8,35.0,2.0,,93.1,96.0,4.0,,,,,,73.9,0.0,18.0,7.5,3.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahdae Walker,WR,CHI,3,,,,,,72.6,,,,,,,,,,,,,,,61.3,,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers,WR,JAX,26,YPRR,1.76,1.52,-0.24,50.0,55.6,54.4,14.0,80.2,42.3,21.8,53.5,19.8,30.1,27.4,42.5,68.5,42.5,75.4,62.3,57.7,43.0,68.8,81.3,43.7,35.7,45.8,90.6,84.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,WR,CAR,24,YPRR,1.72,1.61,-0.11,94.6,34.2,59.6,83.0,21.8,36.1,31.7,89.1,89.1,78.1,87.7,80.8,97.3,43.8,,11.3,85.6,78.5,30.3,42.1,97.7,,95.8,34.4,8.3,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen McMillan,WR,TB,3,,,,,,70.1,,,,,,,,,,,,,,,70.3,,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Nailor,WR,LV,21,YPRR,1.05,1.06,0.01,73.2,8.5,19.3,48.0,0.0,48.5,71.3,74.3,24.8,,,,,,82.6,38.7,16.2,72.9,5.5,41.1,95.4,84.3,46.9,32.3,67.7,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Royals,WR,KC,1,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Tolbert,WR,MIA,14,YPRR,1.1,0.77,-0.33,3.6,17.9,3.5,6.0,17.8,,56.4,49.5,14.9,,,,,,,2.8,25.2,1.9,16.5,28.0,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,WR,DET,26,YPRR,1.97,1.86,-0.11,82.1,68.4,75.4,50.0,89.1,92.8,62.4,14.9,98.0,84.9,90.4,75.3,49.3,93.2,58.0,45.3,69.4,91.6,39.4,94.4,85.1,12.9,93.8,79.2,53.1,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,WR,MIN,26,YPRR,2.26,1.35,-0.91,54.5,38.5,39.5,58.0,35.6,40.2,36.6,37.6,31.7,13.7,13.7,5.5,64.4,67.1,52.2,59.4,37.8,29.0,51.4,78.5,71.3,87.1,61.5,67.7,95.8,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,WR,SEA,16,YPRR,1.81,3.42,1.61,100.0,99.1,99.1,100.0,79.2,57.7,45.5,83.2,92.1,98.6,89.0,63.0,89.0,74.0,,,,,,,74.7,,,,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Higgins,WR,HOU,26,,,,,30.4,59.8,50.9,52.0,75.2,15.5,57.4,94.1,65.3,52.1,58.9,39.7,41.1,20.5,36.2,20.8,49.5,26.2,64.2,69.2,31.0,98.6,56.2,49.0,44.8,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed,WR,GB,9,YPRR,2.2,1.67,-0.53,27.7,64.1,65.8,,,60.8,,,,,,,,,,92.5,0.9,97.2,33.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,WR,DEN,26,YPRR,1.53,2.19,0.66,42.0,92.3,87.7,77.0,90.1,39.2,73.3,63.4,33.7,72.6,69.9,43.8,56.2,34.2,30.4,54.7,90.1,70.1,89.9,71.0,73.6,60.0,79.2,78.1,58.3,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylin Lane,WR,WAS,9,,,,,78.6,1.7,23.7,81.0,3.0,,91.1,3.0,3.0,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylin Noel,WR,HOU,18,,,,,12.5,58.1,45.6,99.0,28.7,44.3,30.7,70.3,74.3,,,,,,100.0,57.5,41.4,6.5,70.6,38.3,,,78.1,10.4,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Jeudy,WR,CLE,26,YPRR,1.72,1.02,-0.7,48.2,7.7,15.8,19.0,62.4,33.0,55.4,5.9,1.0,0.0,0.0,24.7,6.8,23.3,11.6,27.4,22.5,22.4,23.9,47.7,14.9,0.0,3.1,55.2,49.0,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Metchie III,WR,CAR,22,YPRR,1.07,1.07,0.0,85.7,6.8,20.2,,30.7,58.8,5.9,21.8,26.7,11.0,11.0,97.3,21.9,0.0,,58.5,15.3,85.0,8.3,19.6,21.8,,11.5,19.8,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Addison,WR,MIN,26,YPRR,1.64,1.36,-0.28,16.1,14.5,41.2,79.0,8.9,28.9,87.1,7.9,21.8,35.6,32.9,53.4,11.0,65.8,43.5,8.5,55.0,9.3,60.6,33.6,44.8,45.7,32.3,56.2,72.9,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,WR,LAR,14,YPRR,2.46,0.85,-1.61,6.2,26.5,7.0,23.0,32.7,88.7,,,,,,,,,,12.3,3.6,0.0,22.9,5.6,,,24.0,2.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Downs,WR,IND,26,YPRR,2.2,1.49,-0.71,26.8,47.9,53.5,32.0,12.9,9.3,16.8,55.4,43.6,26.0,24.7,37.0,37.0,31.5,47.8,67.9,11.7,52.3,40.4,55.1,17.2,57.1,50.0,65.6,82.3,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Palmer,WR,BUF,17,YPRR,1.49,1.28,-0.21,55.4,27.4,35.1,,,11.3,41.6,64.4,7.9,,,,,,,26.4,54.1,46.7,65.1,39.3,,2.9,16.7,9.4,30.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JuJu Smith-Schuster,WR,NYG,13,YPRR,0.97,0.89,-0.08,0.9,35.0,10.5,,39.6,87.6,3.0,79.2,44.6,24.7,28.8,83.6,27.4,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jefferson,WR,MIN,26,YPRR,2.43,1.88,-0.55,36.6,91.5,78.1,34.0,94.1,81.4,34.7,47.5,5.0,5.5,6.8,76.7,30.1,71.2,5.8,76.4,66.7,17.8,89.0,85.0,54.0,14.3,17.7,94.8,92.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,WR,DAL,17,YPRR,2.06,1.65,-0.41,11.6,76.9,64.0,64.0,19.8,100.0,20.8,11.9,83.2,,,,,,,56.6,87.4,65.4,52.3,29.0,,,84.4,15.6,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalif Raymond,WR,CHI,14,YPRR,1.64,1.33,-0.31,70.5,36.8,37.7,24.0,74.3,91.8,,,,,,,,,,46.2,31.5,72.0,26.6,11.2,,,86.5,17.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,WR,NE,25,YPRR,1.26,1.45,0.19,39.3,62.4,49.1,69.0,52.5,3.1,96.0,90.1,96.0,86.3,100.0,13.7,100.0,11.0,92.8,14.2,56.8,28.0,71.6,31.8,62.1,,100.0,43.8,13.5,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,WR,LAC,1,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keenan Allen,WR,FA,16,YPRR,1.36,1.62,0.26,49.1,67.5,60.5,3.0,53.5,20.6,13.9,39.6,41.6,71.2,63.0,26.0,63.0,41.1,,,,,,,57.5,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Bourne,WR,ARI,23,YPRR,1.06,1.4,0.34,9.8,65.0,44.7,47.0,58.4,63.9,42.6,2.0,39.6,56.2,72.6,54.8,53.4,91.8,,47.2,53.2,13.1,69.7,53.3,46.0,,89.6,46.9,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keon Coleman,WR,BUF,16,YPRR,1.55,1.26,-0.29,18.8,49.6,34.2,44.0,48.5,18.6,59.4,18.8,57.4,39.7,43.8,47.9,74.0,9.6,,,,,,,18.4,,,,,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Coleman Jr.,WR,MIA,10,,,,,,,,,,,,,,,,,,,4.3,29.2,43.2,41.1,44.0,63.6,,82.9,38.5,50.0,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Shakir,WR,BUF,25,YPRR,2.2,1.8,-0.4,33.9,82.1,72.8,5.0,65.3,96.9,1.0,51.5,72.3,21.9,21.9,95.9,38.4,94.5,,51.9,82.9,51.4,72.5,65.4,29.9,22.9,22.9,63.5,71.9,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Williams,WR,NE,8,,,,,63.4,18.8,14.9,,,,,,,,,,,,20.3,,36.9,66.4,17.4,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,WR,LAC,26,YPRR,2.59,1.35,-1.24,62.5,33.3,38.6,30.0,51.5,68.0,33.7,66.3,37.6,20.5,20.5,78.1,47.9,79.5,1.4,44.3,62.2,53.3,42.2,87.9,3.4,54.3,43.8,74.0,78.1,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke McCaffrey,WR,WAS,8,YPRR,0.63,1.92,1.29,50.9,82.9,81.6,,,,,,,,,,,,,49.1,93.7,29.9,94.5,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden III,WR,CHI,22,,,,,57.1,94.0,93.9,80.0,98.0,94.8,8.9,22.8,70.3,91.8,82.2,100.0,46.6,75.3,,86.8,99.1,89.7,98.2,32.7,,,85.4,51.0,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,WR,NE,25,YPRR,1.05,1.72,0.67,21.4,74.4,68.4,53.0,33.7,10.3,83.2,99.0,68.3,75.3,79.5,35.6,91.8,15.1,27.5,15.1,76.6,33.6,77.1,9.3,86.2,,76.0,61.5,25.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,WR,NYG,15,YPRR,2.17,2.02,-0.15,,88.0,84.2,78.0,,,98.0,24.8,32.7,,,,,,24.6,82.1,80.2,15.0,92.7,17.8,,,12.5,8.3,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Washington,WR,MIA,24,YPRR,0.86,0.86,0.0,24.1,15.4,8.8,0.0,26.7,85.6,4.0,91.1,38.6,2.7,2.7,93.2,34.2,76.7,,17.0,8.1,3.7,22.0,22.4,75.9,61.4,6.2,29.2,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr.,WR,ARI,26,YPRR,1.63,1.58,-0.05,83.0,60.7,57.9,70.0,69.3,21.6,79.2,20.8,49.5,79.5,80.8,20.5,42.5,60.3,63.8,37.7,59.5,61.7,61.5,59.8,52.9,90.0,70.8,57.3,56.2,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Mims Jr.,WR,DEN,24,YPRR,2.37,1.4,-0.97,92.0,31.6,43.9,54.0,47.5,86.6,22.8,93.1,64.4,27.4,26.0,98.6,50.7,47.9,15.9,25.5,18.9,63.6,24.8,18.7,,,10.4,18.8,6.2,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
