Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TargetedReadFirstTotal
Bucky Irving,TB,RB,17,Yes,Yes,No,17,16,No,Yes,16,1,0.9412,15,0.9375,94,117,29,-23,,0.1765,-1.4375,91.1,5.5294,5.875,0.1281,6.2667,7.8,1.9333,23.8767,23.8767,0.9412,9.4,24.4,16.9,31.9,24.4,24.4,16.9,24.4,24.4,24.4,16.9,24.4,24.4,2,17,0.0588,,0.7647,4,6,0.4,1,0.0625,,,,
D.J. Moore,CHI,WR,31,No,No,No,31,1,No,Yes,1,1,0.0323,1,1,5,5,,,,0.1935,,87.5,0.1613,5,-1.0386,5,5,,1.4339,1.4339,0.0323,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,17,0.8065,,,,,,,,,,,
Zamir White,LV,RB,4,Yes,No,No,4,4,No,Yes,4,1,1,3,0.75,4,18,9,-14,,,-3.5,77.1,1,1,-4.514,1.3333,6,3,5.7271,5.7271,1,0.4,3.4,1.9,4.9,3.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,,8,,1,1,,1,0.3333,,,,,,
Ameer Abdullah,LV,RB,16,No,Yes,No,15,12,No,Yes,10,0.8333,0.8,10,0.8333,43,49,16,-4,,0.0667,-0.3333,81.6,2.8667,3.5833,-2.3665,4.3,4.9,1.6,17.4282,17.4282,0.75,4.3,14.3,9.3,19.3,14.3,14.3,9.3,14.3,14.3,14.3,9.3,14.3,14.3,1,16,,,0.9333,,1,0.1,,,,,,
Devin Singletary,NYG,RB,10,No,Yes,No,10,9,No,Yes,8,0.8889,0.9,7,0.7778,38,44,23,1,,,0.1111,44.7,3.8,4.2222,-1.8427,5.4286,6.2857,3.2857,14.4186,14.4186,0.9,3.8,10.8,7.3,14.3,10.8,10.8,7.3,10.8,10.8,10.8,7.3,10.8,10.8,,15,,,1,1,2,0.2857,1,0.1111,,,,
Isaiah Hodgins,NYG,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
Foster Moreau,NO,TE,30,Yes,Yes,No,26,4,No,Yes,4,1,0.1538,4,1,29,22,9,7,0.6923,0.2308,1.75,96.9,1.1154,7.25,1.3747,7.25,5.5,2.25,7.5388,7.5388,0.1333,2.9,6.9,4.9,6.9,8.9,6.9,4.9,6.9,6.9,6.9,4.9,8.9,6.9,,17,0.0769,,,1,2,0.5,,,,,,
Tyler Allgeier,ATL,RB,7,Yes,Yes,No,6,4,No,Yes,4,1,0.6667,4,1,24,15,7,9,,,2.25,91.7,4,6,-0.5792,6,3.75,1.75,6.2682,6.2682,0.5714,2.4,6.4,4.4,8.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,1,17,,,1,1,1,0.25,,,,,,
Jermar Jefferson,DET,RB,1,No,No,No,1,1,No,No,1,1,1,1,1,10,10,3,,,,,108.3,10,10,4.1729,10,10,3,1.5297,1.5297,1,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,2,,,1,1,,,,,,,,
Devaughn Vele,DEN,WR,25,Yes,No,No,25,3,No,Yes,3,1,0.12,3,1,25,21,4,4,,0.76,1.3333,101.4,1,8.3333,2.663,8.3333,7,1.3333,4.1372,4.1372,0.12,2.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,13,0.24,,,2,,,,,,,,
Khalil Herbert,CIN,RB,5,No,Yes,Yes,5,3,No,Yes,3,1,0.6,3,1,8,8,4,,,,,79.2,1.6,2.6667,-3.4531,2.6667,2.6667,1.3333,3.9415,3.9415,0.6,0.8,3.8,2.3,5.3,3.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,,13,,,1,,,,,,,,,
Trey Sermon,IND,RB,14,No,Yes,No,14,13,No,Yes,13,1,0.9286,11,0.8462,69,60,18,15,,,1.1538,88.8,4.9286,5.3077,-0.8161,6.2727,5.4545,1.6364,19.0725,19.0725,0.9286,6.9,17.9,12.4,23.4,17.9,17.9,12.4,17.9,17.9,17.9,12.4,17.9,17.9,2,17,,,1,2,2,0.1818,2,0.1538,,,,
Josh Downs,IND,WR,20,No,Yes,No,20,1,No,Yes,1,1,0.05,,,,,,-1,,0.85,-1,39.6,,,-6.1699,,,,1.3292,1.3292,0.05,,,,,,,,,,,,,,,14,0.15,,,,,,1,1,,,,
Hassan Haskins,LAC,RB,2,No,No,No,2,1,No,No,1,1,0.5,1,1,5,2,1,3,,,3,87.5,2.5,5,-1.5094,5,2,1,1.4234,1.4234,0.5,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,15,,,1,,,,,,,,,
Andrew Ogletree,IND,TE,8,No,Yes,No,6,1,No,Yes,1,1,0.1667,1,1,5,1,1,4,0.6667,0.1667,4,87.5,0.8333,5,-1.0667,5,1,1,1.3129,1.3129,0.125,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,17,0.1667,,,,,,,,,,,
Jaylen Warren,PIT,RB,26,No,Yes,Yes,25,20,No,Yes,19,0.95,0.8,19,0.95,158,151,39,8,0.12,,0.4,99.6,6.32,7.9,1.9021,8.3158,7.9474,2.0526,31.1157,31.1157,0.7692,15.8,34.8,25.3,44.3,34.8,37.8,28.3,34.8,34.8,34.8,25.3,34.8,34.8,2,15,,1,0.88,9,4,0.2105,,,1,,,
Kendrick Bourne,NE,WR,24,No,No,No,22,,No,Yes,,,,,,,,,,,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.8636,,,,,,,,,,,
Juwan Johnson,NO,TE,40,Yes,Yes,No,37,2,No,Yes,2,1,0.0541,1,0.5,5,6,,-1,0.2432,0.6216,-0.5,56.3,0.1351,2.5,-2.5952,5,6,,2.8314,2.8314,0.05,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,17,0.1351,,,,,,,,,,,
David Montgomery,DET,RB,20,No,Yes,No,18,16,No,Yes,14,0.875,0.8889,14,0.875,130,108,62,28,,,1.75,100.5,7.2222,8.125,1.9014,9.2857,7.7143,4.4286,23.0884,23.0884,0.8,13,27,20,34,27,30,23,27,27,27,20,27,27,1,14,,,1,3,8,0.5714,,,,,,
Mack Hollins,BUF,WR,22,No,No,No,19,,No,Yes,,,,,,,,,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8947,,,,,,,,,,,
Tyler Boyd,TEN,WR,20,No,No,No,20,,No,Yes,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.1,,,,,,,,,,,
Dareke Young,SEA,WR,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,23,Yes,Yes,No,21,6,No,Yes,5,0.8333,0.2857,5,0.8333,63,60,36,4,0.381,0.5238,0.6667,110.4,3,10.5,4.8522,12.6,12,7.2,9.1068,9.1068,0.2609,6.3,11.3,8.8,11.3,13.8,11.3,8.8,11.3,11.3,11.3,8.8,13.8,11.3,1,16,0.0952,,,1,3,0.6,,,,,,
Tanner Conner,MIA,TE,2,No,Yes,No,2,1,No,Yes,1,1,0.5,1,1,1,,,1,0.5,,1,79.2,0.5,1,-4.7754,1,,,1.8493,1.8493,0.5,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,1,7,0.5,,,,,,,,,,,
Quintin Morris,BUF,TE,4,No,No,No,3,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
Teagan Quitoriano,HST,TE,4,No,No,No,2,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Ashton Dulin,IND,WR,6,No,Yes,No,6,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.5,,,,,,,,,,,
Jauan Jennings,SF,WR,16,Yes,Yes,No,16,1,No,No,1,1,0.0625,,,,,,3,,0.375,3,39.6,,,-5.4499,,,,1.3216,1.3216,0.0625,,,,,,,,,,,,,,,15,0.625,,,,,,,,,,,
Jamison Crowder,WAS,WR,3,No,No,No,3,,No,No,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.3333,,,,,,,,,,,
KaVontae Turpin,DAL,WR,11,No,No,No,11,2,No,No,2,1,0.1818,2,1,11,17,3,-6,,1,-3,89.6,1,5.5,0.3353,5.5,8.5,1.5,3.6716,3.6716,0.1818,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,1,17,,,,,,,,,,,,
Marquise Brown,KC,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Jalen Nailor,MIN,WR,14,No,No,No,14,,No,Yes,,,,,,,,,,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5714,,,,,,,,,,,
John Metchie,HST,WR,11,No,Yes,No,11,,No,No,,,,,,,,,,,0.4545,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.5455,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,11,No,Yes,No,11,8,No,Yes,7,0.875,0.7273,7,0.875,39,37,21,4,,,0.5,87,3.5455,4.875,-1.3255,5.5714,5.2857,3,11.159,11.159,0.7273,3.9,10.9,7.4,14.4,10.9,10.9,7.4,10.9,10.9,10.9,7.4,10.9,10.9,,17,,,1,2,3,0.4286,,,,,,
Tyler Badie,DEN,RB,2,Yes,No,Yes,2,2,No,Yes,2,1,1,2,1,1,1,,,,,,79.2,0.5,0.5,-5.7963,0.5,0.5,,3.102,3.102,1,0.1,2.1,1.1,3.1,2.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,1,3,,,1,,,,,,,,,
Jordan Mims,NO,RB,4,Yes,Yes,No,4,4,No,Yes,4,1,1,3,0.75,18,19,8,1,,,0.25,83.3,4.5,4.5,-1.495,6,6.3333,2.6667,7.5131,7.5131,1,1.8,4.8,3.3,6.3,4.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,1,9,,,1,2,1,0.3333,,,,,,
Jalen Brooks,DAL,WR,12,No,No,No,12,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,,
Kevin Austin,NO,WR,8,Yes,Yes,No,8,,No,Yes,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.875,,,,,,,,,,,
J.K. Dobbins,LAC,RB,20,No,No,No,17,13,No,No,13,1,0.7647,12,0.9231,47,50,10,-3,,0.0588,-0.2308,81.7,2.7647,3.6154,-2.4191,3.9167,4.1667,0.8333,20.6009,20.6009,0.65,4.7,16.7,10.7,22.7,16.7,16.7,10.7,16.7,16.7,16.7,10.7,16.7,16.7,2,13,,1,0.9412,2,,,,,,,,
Emari Demercado,ARZ,RB,15,No,No,No,14,11,No,Yes,10,0.9091,0.7857,10,0.9091,67,59,5,12,,,1.0909,92,4.7857,6.0909,-0.1478,6.7,5.9,0.5,16.8684,16.8684,0.7333,6.7,16.7,11.7,21.7,16.7,16.7,11.7,16.7,16.7,16.7,11.7,16.7,16.7,4,13,0.0714,,0.9286,3,1,0.1,,,,,,
Equanimeous St. Brown,NO,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
Samaje Perine,KC,RB,11,Yes,No,No,11,8,No,Yes,8,1,0.7273,8,1,63,63,21,,0.1818,,,99.5,5.7273,7.875,1.81,7.875,7.875,2.625,12.2304,12.2304,0.7273,6.3,14.3,10.3,18.3,14.3,14.3,10.3,14.3,14.3,14.3,10.3,14.3,14.3,,17,,,0.8182,3,5,0.625,,,,,,
Myles Gaskin,MIN,RB,1,No,Yes,No,1,1,No,Yes,1,1,1,1,1,11,13,2,-2,,1,-2,112.5,11,11,4.802,11,13,2,1.7831,1.7831,1,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,4,,,,,,,,,,,,
Jordan Whittington,LA,WR,7,Yes,Yes,Yes,7,2,No,Yes,2,1,0.2857,2,1,28,28,6,,,0.5714,,118.8,4,14,7.9614,14,14,3,3.191,3.191,0.2857,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,15,0.4286,,,2,,,,,,,,
Josh Whyle,TEN,TE,13,No,Yes,No,9,4,No,No,4,1,0.4444,4,1,19,22,14,-3,0.7778,0.2222,-0.75,86.5,2.1111,4.75,-0.8438,4.75,5.5,3.5,5.5418,5.5418,0.3077,1.9,5.9,3.9,5.9,7.9,5.9,3.9,5.9,5.9,5.9,3.9,7.9,5.9,,17,,,,1,1,0.25,,,,,,
Travis Etienne,JAX,RB,26,No,Yes,No,23,21,No,Yes,17,0.8095,0.913,16,0.7619,102,87,25,18,,,0.8571,85.8,4.4348,4.8571,-1.3394,6.375,5.4375,1.5625,32.5623,32.5623,0.8077,10.2,26.2,18.2,34.2,26.2,29.2,21.2,26.2,26.2,26.2,18.2,26.2,26.2,3,15,,1,1,5,2,0.125,,,,,,
Ronnie Rivers,LA,RB,4,Yes,Yes,Yes,3,3,No,Yes,2,0.6667,1,2,0.6667,14,23,,-13,,,-4.3333,77.1,4.6667,4.6667,-0.9261,7,11.5,,4.4915,4.4915,0.75,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,6,,,1,1,,,,,,,,
Amari Cooper,BUF,WR,18,No,No,No,18,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,,
Darius Slayton,NYG,WR,23,No,Yes,No,23,1,No,Yes,1,1,0.0435,,,,,,-2,,0.2609,-2,39.6,,,-5.4991,,,,1.6959,1.6959,0.0435,,,,,,,,,,,,,,,16,0.7391,,,,,,1,1,,,,
Jake Ferguson,DAL,TE,14,No,No,No,14,2,No,No,2,1,0.1429,2,1,8,9,3,-1,0.4286,0.5714,-0.5,83.3,0.5714,4,-1.3133,4,4.5,1.5,2.7404,2.7404,0.1429,0.8,2.8,1.8,2.8,3.8,2.8,1.8,2.8,2.8,2.8,1.8,3.8,2.8,,14,,,,,,,,,,,,
Davante Adams,NYJ,WR,41,Yes,Yes,No,41,,No,Yes,,,,,,,,,,,0.3171,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.6829,,,,,,,,,,,
Dare Ogunbowale,HST,RB,18,No,Yes,No,17,12,No,No,9,0.75,0.7059,9,0.75,104,77,21,30,,0.0588,2.5,100.7,6.1176,8.6667,2.0461,11.5556,8.5556,2.3333,18.4302,18.4302,0.6667,10.4,19.4,14.9,23.9,19.4,22.4,17.9,19.4,19.4,19.4,14.9,19.4,19.4,2,17,,,0.9412,4,2,0.2222,,,,,,
Nico Collins,HST,WR,23,No,Yes,No,22,,No,No,,,,,,,,,,,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.8636,,,,,,,,,,,
Jerry Jeudy,CLV,WR,35,No,No,Yes,35,1,No,No,1,1,0.0286,1,1,17,13,10,4,,0.3429,4,118.8,0.4857,17,10.9502,17,13,10,1.5506,1.5506,0.0286,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,17,0.6571,,,1,1,1,,,,,,
Marquez Valdes-Scantling,NO,WR,26,Yes,Yes,No,26,,No,Yes,,,,,,,,,,,0.2692,,,,,,,,,1.587,1.587,,,,,,,,,,,,,,,,14,0.7308,,,,,,,,,,,
Jake Bobo,SEA,WR,13,Yes,Yes,Yes,12,,No,Yes,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.75,,0.0833,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,8,No,No,No,8,2,No,No,1,0.5,0.25,1,0.5,7,9,1,-1,0.25,0.75,-0.5,58.3,0.875,3.5,-1.8133,7,9,1,2.8207,2.8207,0.25,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,17,,,,1,1,1,,,,,,
Tyler Higbee,LA,TE,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
Connor Heyward,PIT,TE,8,No,Yes,No,7,2,No,Yes,2,1,0.2857,2,1,6,3,,3,0.2857,,1.5,79.2,0.8571,3,-3.0727,3,1.5,,2.6604,2.6604,0.25,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,,16,,,0.7143,,,,,,,,,
Parris Campbell,PHI,WR,6,No,No,No,6,,No,Yes,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.1667,,,,,,,,,,,
Adonai Mitchell,IND,WR,11,No,Yes,No,11,,No,Yes,,,,,,,,,,,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7273,,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,20,No,Yes,No,20,,No,No,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.95,,,,,,,,,,,
Jamari Thrash,CLV,WR,6,No,No,Yes,6,,No,No,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1667,,,,,,,,,,,
Saquon Barkley,PHI,RB,23,Yes,Yes,No,20,14,No,Yes,14,1,0.7,13,0.9286,98,98,54,4,,0.05,0.2857,95.8,4.9,7,0.8106,7.5385,7.5385,4.1538,22.8199,22.8199,0.6087,9.8,22.8,16.3,29.3,22.8,22.8,16.3,22.8,22.8,22.8,16.3,22.8,22.8,3,16,,,0.95,4,7,0.5385,1,0.0714,,,,
Evan Engram,JAX,TE,11,Yes,No,No,11,4,No,Yes,4,1,0.3636,4,1,26,28,9,-2,0.3636,0.5455,-0.5,93.8,2.3636,6.5,1.0209,6.5,7,2.25,5.8141,5.8141,0.3636,2.6,6.6,4.6,6.6,8.6,6.6,4.6,6.6,6.6,6.6,4.6,8.6,6.6,,9,0.0909,,,,,,,,,,,
Miles Sanders,CAR,RB,12,Yes,Yes,No,10,6,No,Yes,5,0.8333,0.6,5,0.8333,15,20,9,-6,,0.2,-1,79.2,1.5,2.5,-3.5163,3,4,1.8,8.3183,8.3183,0.5,1.5,6.5,4,9,6.5,6.5,4,6.5,6.5,6.5,4,6.5,6.5,,11,,,0.8,,,,,,,,,
Charlie Jones,CIN,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
Rasheen Ali,BLT,RB,1,No,No,Yes,1,1,No,No,1,1,1,,,,,,,,,,39.6,,,-5.8271,,,,1.5315,1.5315,1,,,,,,,,,,,,,,,5,,,1,,,,1,1,,,,
Will Dissly,LAC,TE,17,No,No,No,17,8,No,No,7,0.875,0.4706,7,0.875,58,46,27,12,0.7647,0.1176,1.5,96.9,3.4118,7.25,1.3232,8.2857,6.5714,3.8571,11.1842,11.1842,0.4706,5.8,12.8,9.3,12.8,16.3,12.8,9.3,12.8,12.8,12.8,9.3,16.3,12.8,,15,0.0588,,0.0588,2,2,0.2857,,,,,,
KhaDarel Hodge,ATL,WR,2,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,
Tommy Tremble,CAR,TE,22,Yes,Yes,No,20,2,No,Yes,1,0.5,0.1,1,0.5,7,5,-1,2,0.55,0.3,1,58.3,0.35,3.5,-2.3295,7,5,-1,2.5126,2.5126,0.0909,-0.3,0.7,0.2,0.7,1.2,0.7,-0.8,-0.3,-0.3,-0.3,-0.8,1.2,-0.3,,12,0.1,,0.05,,,,,,,,,
Jonathan Mingo,DAL,WR,28,No,No,No,28,4,No,No,4,1,0.1429,4,1,15,21,9,-6,,0.5,-1.5,82.3,0.5357,3.75,-1.9658,3.75,5.25,2.25,6.265,6.265,0.1429,1.5,5.5,3.5,5.5,5.5,5.5,3.5,5.5,5.5,5.5,3.5,5.5,5.5,,17,0.5,,,,2,0.5,,,,,,
Cooper Kupp,LA,WR,12,Yes,No,No,12,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.5,,,,,,,,,,,
Adam Trautman,DEN,TE,27,Yes,No,No,16,2,No,Yes,1,0.5,0.125,1,0.5,13,10,,5,0.75,0.125,2.5,70.8,0.8125,6.5,0.154,13,10,,4.1347,4.1347,0.0741,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,1,17,0.125,,,1,,,,,,,,
D'Andre Swift,CHI,RB,17,No,No,No,16,11,No,Yes,10,0.9091,0.6875,10,0.9091,62,49,16,13,,0.0625,1.1818,90.2,3.875,5.6364,-0.5336,6.2,4.9,1.6,14.8973,14.8973,0.6471,6.2,16.2,11.2,21.2,16.2,16.2,11.2,16.2,16.2,16.2,11.2,16.2,16.2,,17,0.0625,,0.875,4,1,0.1,,,,,,
Ja'Marr Chase,CIN,WR,46,No,Yes,Yes,46,2,No,Yes,2,1,0.0435,2,1,3,6,2,-3,,0.2174,-1.5,79.2,0.0652,1.5,-3.247,1.5,3,1,2.8695,2.8695,0.0435,0.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,,17,0.7609,,0.0217,1,,,,,,,,
Robbie Chosen,MIA,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
