Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetedReadFirstTotal,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage
Drew Sample,CIN,TE,51,No,No,No,37,5,No,Yes,4,0.8,0.1351,4,0.8,32,12,8,24,0.7297,0.0811,0.1081,4.8,93.3,0.8649,6.4,0.0437,8,3,2,8.5689,8.5689,0.098,3.2,7.2,5.2,7.2,9.2,7.2,5.2,7.2,7.2,7.2,5.2,9.2,7.2,17,3,,,,1,,0.0811,,,,,,,,,,
Trey McBride,ARZ,TE,84,No,No,No,82,32,Yes,Yes,30,0.9375,0.3902,29,0.9062,246,76,33,185,0.3537,0.5732,0.061,5.7812,98.7,3,7.6875,0.82,8.4828,2.6207,1.1379,49.1156,49.1156,0.381,24.6,53.6,39.1,53.6,68.1,56.6,42.1,53.6,53.6,53.6,39.1,68.1,53.6,16,23,1,,0.0312,14,1,0.0122,3,0.1034,5,,5,,,,,
Patrick Taylor,SF,RB,20,No,No,No,17,1,Yes,Yes,1,1,0.0588,1,1,12,8,3,4,0.0588,,,4,116.7,0.7059,12,5.3381,12,8,3,1.361,1.361,0.05,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,9,,,,,1,,0.9412,,,,,,,,,,
Carson Steele,KC,RB,15,No,No,No,12,,No,Yes,,,,,,,,,,0.0833,0.1667,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,0.6667,,,,,,,,,,
John Bates,WAS,TE,28,No,No,No,14,3,No,Yes,2,0.6667,0.2143,2,0.6667,13,4,,16,0.9286,0.0714,,5.3333,75.7,0.9286,4.3333,-2.2848,6.5,2,,4.3204,4.3204,0.1071,1.3,3.3,2.3,3.3,4.3,3.3,2.3,3.3,3.3,3.3,2.3,4.3,3.3,17,1,,,,,,,,,1,,1,,,,,
Jalen Reagor,LAC,WR,9,No,Yes,No,9,1,No,Yes,1,1,0.1111,1,1,9,-1,,10,,0.2222,0.7778,10,104.2,1,9,1.5,9,-1,,1.4862,1.4862,0.1111,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,8,,,,,,,,,,1,,1,,,,,
Dawson Knox,BUF,TE,39,No,No,No,34,4,Yes,Yes,3,0.75,0.1176,3,0.75,26,,,35,0.5588,0.4118,0.0294,8.75,131.3,0.7647,6.5,-1.3323,8.6667,,,7.0447,7.0447,0.1026,8.6,11.6,10.1,11.6,13.1,11.6,10.1,11.6,11.6,11.6,10.1,13.1,11.6,16,,,,,1,1,,,,2,1,2,,1,1,,
Noah Brown,WAS,WR,54,No,Yes,Yes,54,21,No,Yes,17,0.8095,0.3889,15,0.7143,154,24,13,207,,0.1667,0.8333,9.8571,92.2,2.8519,7.3333,-0.7206,10.2667,1.6,0.8667,34.0922,34.0922,0.3889,15.4,30.4,22.9,30.4,30.4,33.4,25.9,30.4,30.4,30.4,22.9,30.4,30.4,11,18,,1,,7,,,,,3,,1,1,,,,
Marcedes Lewis,CHI,TE,6,No,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,37,No,No,Yes,35,21,No,Yes,19,0.9048,0.6,16,0.7619,154,42,20,163,,0.2857,0.7143,7.7619,112,4.4,7.3333,-0.0395,9.625,2.625,1.25,36.0412,36.0412,0.5676,21.4,37.4,29.4,37.4,37.4,40.4,32.4,37.4,37.4,37.4,29.4,37.4,37.4,17,17,1,,0.0476,9,3,,4,0.25,2,1,2,,1,1,,
Will Shipley,PHI,RB,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,1,,,,,,,,,,
Kyren Williams,LA,RB,81,Yes,No,No,56,,Yes,Yes,,,,,,,,,,0.0179,0.0179,0.0536,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,0.9107,,,,,,,,,,
Trey Palmer,TB,WR,21,No,No,Yes,21,2,No,Yes,1,0.5,0.0952,1,0.5,14,,,24,,0.2857,0.7143,12,72.9,0.6667,7,-1.6567,14,,,2.9653,2.9653,0.0952,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,15,,,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,53,No,No,Yes,48,10,No,Yes,7,0.7,0.2083,7,0.7,64,39,31,43,0.5417,0.3333,0.1042,4.3,47.5,1.3333,6.4,-0.0602,9.1429,5.5714,4.4286,18.1027,18.1027,0.1887,6.4,13.4,9.9,13.4,16.9,13.4,9.9,13.4,13.4,13.4,9.9,16.9,13.4,17,4,,,,3,2,0.0208,2,0.2857,,,,,,,,
Payne Durham,TB,TE,21,No,No,Yes,12,2,No,Yes,1,0.5,0.1667,1,0.5,6,2,1,16,0.5,0.4167,0.0833,8,56.3,0.5,3,-4.3664,6,2,1,3.3601,3.3601,0.0952,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,16,1,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,27,No,No,No,27,5,No,Yes,5,1,0.1852,3,0.6,13,4,1,40,,0.1852,0.6296,8,64.6,0.4815,2.6,-7.5398,4.3333,1.3333,0.3333,8.5491,8.5491,0.1852,1.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,17,4,1,,0.2,,,0.1852,,,,,,,,,,
Dallas Goedert,PHI,TE,34,No,Yes,No,33,9,No,Yes,9,1,0.2727,8,0.8889,72,18,4,62,0.4545,0.4848,0.0606,6.8889,137,2.1818,8,0.7943,9,2.25,0.5,14.2935,14.2935,0.2647,13.2,21.2,17.2,21.2,25.2,21.2,17.2,21.2,21.2,21.2,17.2,25.2,21.2,10,7,,,,2,2,,,,1,1,,,1,1,,
Roschon Johnson,CHI,RB,27,No,No,Yes,19,1,No,Yes,1,1,0.0526,1,1,6,1,1,5,,,0.1053,5,91.7,0.3158,6,-1.233,6,1,1,1.3435,1.3435,0.037,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,13,,,,,1,,0.8947,,,,,,,,,,
Cedric Tillman,CLV,WR,53,No,No,No,52,8,Yes,Yes,6,0.75,0.1538,6,0.75,75,30,8,67,,0.2308,0.7692,8.375,103.6,1.4423,9.375,1.3644,12.5,5,1.3333,14.6599,14.6599,0.1509,6.5,12.5,9.5,12.5,12.5,12.5,8.5,11.5,11.5,11.5,8.5,12.5,11.5,11,4,,,,2,,,1,0.1667,,,,,,,,
Calvin Ridley,TEN,WR,102,No,No,No,101,18,No,Yes,14,0.7778,0.1782,11,0.6111,127,1,2,219,,0.198,0.802,12.1667,82.4,1.2574,7.0556,-1.7843,11.5455,0.0909,0.1818,30.4259,30.4259,0.1765,12.7,23.7,18.2,23.7,23.7,26.7,21.2,23.7,23.7,23.7,18.2,23.7,23.7,17,18,1,2,0.0556,6,,,,,2,,,,,,,
Raheem Mostert,MIA,RB,20,No,No,Yes,17,2,No,Yes,2,1,0.1176,1,0.5,3,1,1,8,,0.3529,0.1176,4,56.3,0.1765,1.5,-5.5516,3,1,1,2.728,2.728,0.1,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,13,1,,,,,,0.5294,,,,,,,,,,
Jalen Coker,CAR,WR,30,No,No,No,28,5,No,Yes,5,1,0.1786,4,0.8,39,7,4,40,,0.7143,0.2857,8,99.2,1.3929,7.8,0.1637,9.75,1.75,1,7.4415,7.4415,0.1667,3.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,11,3,,,,3,,,,,,,,,,,,
Brevin Jordan,HST,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,45,No,No,Yes,45,5,No,Yes,5,1,0.1111,5,1,46,14,7,32,,0.8889,0.0889,6.4,105,1.0222,9.2,2.2672,9.2,2.8,1.4,7.3165,7.3165,0.1111,4.6,9.6,7.1,9.6,9.6,9.6,7.1,9.6,9.6,9.6,7.1,9.6,9.6,17,4,,,,1,,0.0222,,,,,,,,,,
Brayden Willis,SF,TE,1,No,No,No,1,1,Yes,Yes,1,1,1,,,,,,6,,1,,6,39.6,,,-7.093,,,,1.5307,1.5307,1,,,,,,,,,,,,,,9,1,1,,1,,,,,,1,,,,,,,
Kyle Pitts,ATL,TE,92,No,No,No,89,19,No,Yes,18,0.9474,0.2135,18,0.9474,178,67,42,127,0.3596,0.4382,0.2022,6.6842,123.2,2,9.3684,2.1146,9.8889,3.7222,2.3333,31.378,31.378,0.2065,23.8,41.8,32.8,41.8,50.8,44.8,35.8,41.8,41.8,41.8,32.8,50.8,41.8,17,10,,,,7,1,,3,0.1667,1,1,1,,1,1,,
Dante Pettis,NO,WR,15,No,No,Yes,15,4,No,Yes,2,0.5,0.2667,2,0.5,17,2,1,51,,0.3333,0.6667,12.75,61.5,1.1333,4.25,-3.8206,8.5,1,0.5,5.5968,5.5968,0.2667,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,8,1,,1,,1,,,,,,,,,,,,
Terry McLaurin,WAS,WR,92,No,No,No,91,27,No,Yes,25,0.9259,0.2967,23,0.8519,220,40,25,224,,0.2088,0.7912,8.2963,100.6,2.4176,8.1481,0.5602,9.5652,1.7391,1.087,44.9943,44.9943,0.2935,22,45,33.5,45,45,48,36.5,45,45,45,33.5,45,45,17,25,1,,0.037,14,,,,,3,,2,,,,,
Ainias Smith,PHI,WR,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,24,No,No,No,24,11,Yes,Yes,9,0.8182,0.4583,9,0.8182,81,31,13,68,,0.6667,0.3333,6.1818,97.3,3.375,7.3636,0.5759,9,3.4444,1.4444,17.0826,17.0826,0.4583,8.1,17.1,12.6,17.1,17.1,17.1,12.6,17.1,17.1,17.1,12.6,17.1,17.1,7,9,,,,4,,,1,0.1111,3,,3,,,,,
Will Mallory,IND,TE,9,No,No,No,9,3,No,Yes,3,1,0.3333,3,1,22,5,1,17,0.1111,0.8889,,5.6667,97.2,2.4444,7.3333,0.5108,7.3333,1.6667,0.3333,4.4536,4.4536,0.3333,2.2,5.2,3.7,5.2,6.7,5.2,3.7,5.2,5.2,5.2,3.7,6.7,5.2,10,3,,,,1,,,1,0.3333,,,,,,,,
Mike Boone,CAR,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,0.5,,,,,,,,,,
Alec Pierce,IND,WR,61,No,No,No,60,10,Yes,Yes,8,0.8,0.1667,7,0.7,85,13,7,99,,0.2167,0.7833,9.9,95.8,1.4167,8.5,0.5576,12.1429,1.8571,1,20.9367,20.9367,0.1639,8.5,15.5,12,15.5,15.5,15.5,12,15.5,15.5,15.5,12,15.5,15.5,16,7,1,,0.1,5,,,1,0.1429,,,,,,,,
Drake London,ATL,WR,104,No,No,No,102,37,No,Yes,30,0.8108,0.3627,28,0.7568,315,117,73,311,,0.3333,0.6667,8.4054,78.1,3.0882,8.5135,0.8576,11.25,4.1786,2.6071,59.4202,59.4202,0.3558,31.5,59.5,45.5,59.5,59.5,62.5,48.5,59.5,59.5,59.5,45.5,59.5,59.5,17,35,1,1,0.027,14,3,,11,0.3929,5,,4,,,,,
Jalen Tolbert,DAL,WR,99,No,No,No,98,22,No,Yes,20,0.9091,0.2245,17,0.7727,136,15,13,174,,0.2857,0.7143,7.9091,107.4,1.3878,6.1818,-0.9288,8,0.8824,0.7647,35.1224,35.1224,0.2222,19.6,36.6,28.1,36.6,36.6,39.6,31.1,36.6,36.6,36.6,28.1,36.6,36.6,17,16,2,2,0.0909,7,1,,1,0.0588,4,1,2,,1,1,,
Bo Melton,GB,WR,11,No,No,Yes,11,2,No,Yes,2,1,0.1818,2,1,10,1,1,9,,0.5455,0.4545,4.5,87.5,0.9091,5,-1.2063,5,0.5,0.5,3.1524,3.1524,0.1818,1,3,2,3,3,3,2,3,3,3,2,3,3,17,1,,,,,,,,,1,,1,,,,,
Bub Means,NO,WR,9,No,No,No,9,2,No,No,2,1,0.2222,2,1,24,-1,-1,25,,0.4444,0.5556,12.5,116.7,2.6667,12,2.9357,12,-0.5,-0.5,2.9499,2.9499,0.2222,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,7,1,,,,2,,,,,1,,1,,,,,
Chris Rodriguez Jr.,WAS,RB,5,No,No,No,5,,No,Yes,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.6,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,54,No,No,No,53,18,No,Yes,15,0.8333,0.3396,12,0.6667,172,70,26,154,,0.434,0.566,8.5556,116,3.2453,9.5556,1.8516,14.3333,5.8333,2.1667,30.7556,30.7556,0.3333,23.2,35.2,29.2,35.2,35.2,38.2,32.2,35.2,35.2,35.2,29.2,35.2,35.2,17,13,2,,0.1111,8,1,,6,0.5,2,,1,,1,,,
Chris Blair,ATL,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Robert Woods,HST,WR,16,No,No,No,16,6,No,Yes,6,1,0.375,4,0.6667,29,4,2,46,,0.125,0.875,7.6667,77.8,1.8125,4.8333,-2.4754,7.25,1,0.5,10.311,10.311,0.375,2.9,6.9,4.9,6.9,6.9,6.9,4.9,6.9,6.9,6.9,4.9,6.9,6.9,15,1,1,,0.1667,3,1,,1,0.25,1,,,,,,,
Brycen Tremayne,WAS,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,20,No,No,No,19,4,No,Yes,3,0.75,0.2105,3,0.75,22,8,2,18,0.0526,0.0526,0.0526,4.5,87.5,1.1579,5.5,-1.6185,7.3333,2.6667,0.6667,5.817,5.817,0.2,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,4,2,,,,1,1,0.8421,,,,,,,,,,
Jonathan Ward,PIT,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,
Khalil Shakir,BUF,WR,56,No,No,No,56,11,Yes,Yes,10,0.9091,0.1964,8,0.7273,90,34,4,67,,0.7679,0.2321,6.0909,96.8,1.6071,8.1818,1.305,11.25,4.25,0.5,19.2068,19.2068,0.1964,9,17,13,17,17,17,13,17,17,17,13,17,17,15,7,,,,6,,,1,0.125,3,,2,,,,,
Sterling Shepard,TB,WR,45,No,No,Yes,45,9,No,Yes,7,0.7778,0.2,7,0.7778,55,16,6,63,,0.5556,0.4222,7,92.1,1.2222,6.1111,-0.9427,7.8571,2.2857,0.8571,12.9921,12.9921,0.2,5.5,12.5,9,12.5,12.5,12.5,9,12.5,12.5,12.5,9,12.5,12.5,14,3,,,,2,,0.0222,,,,,,,,,,
Parker Hesse,DET,TE,2,No,No,No,2,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
D'Wayne Eskridge,MIA,WR,5,No,No,Yes,5,1,No,Yes,1,1,0.2,1,1,6,1,1,5,,0.2,0.8,5,91.7,1.2,6,-0.3628,6,1,1,1.4644,1.4644,0.2,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,1,,,,1,,,1,1,,,,,,,,
Ross Dwelley,ATL,TE,4,No,No,No,4,,No,Yes,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,133,No,No,No,132,38,No,Yes,34,0.8947,0.2879,33,0.8684,303,103,49,243,,0.8864,0.0985,6.3947,78,2.2955,7.9737,1.1163,9.1818,3.1212,1.4848,59.0588,59.0588,0.2857,30.3,63.3,46.8,63.3,63.3,66.3,49.8,63.3,63.3,63.3,46.8,63.3,63.3,17,15,1,,0.0263,16,,0.0152,5,0.1515,3,,3,1,,,,
Jalen Moreno-Cropper,DAL,WR,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,89,Yes,Yes,No,82,18,No,Yes,17,0.9444,0.2195,16,0.8889,135,66,35,79,0.4634,0.378,0.1463,4.3889,97.9,1.6463,7.5,1.1123,8.4375,4.125,2.1875,27.6773,27.6773,0.2022,13.5,29.5,21.5,29.5,37.5,32.5,24.5,29.5,29.5,29.5,21.5,37.5,29.5,16,10,,,,7,2,0.0122,3,0.1875,1,,1,,,,,
Josh Jacobs,GB,RB,36,No,No,Yes,25,4,No,Yes,3,0.75,0.16,3,0.75,26,18,5,15,0.04,,,3.75,91.7,1.04,6.5,-0.0662,8.6667,6,1.6667,6.0239,6.0239,0.1111,2.6,5.6,4.1,7.1,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,17,1,,,,1,1,0.96,1,0.3333,,,,,,,,
Cade Stover,HST,TE,20,No,No,No,13,2,No,Yes,2,1,0.1538,1,0.5,4,,,10,0.6923,0.1538,0.1538,5,56.3,0.3077,2,-4.5799,4,,,2.821,2.821,0.1,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,15,,1,,0.5,,,,,,,,,,,,,
Scott Miller,PIT,WR,15,No,Yes,No,14,3,No,Yes,3,1,0.2143,2,0.6667,20,15,4,8,,0.5,0.5,2.6667,85.4,1.4286,6.6667,0.7162,10,7.5,2,4.2642,4.2642,0.2,2,4,3,4,4,4,3,4,4,4,3,4,4,13,3,1,,0.3333,,1,,1,0.5,,,,,,,,
Jaylen Waddle,MIA,WR,70,No,No,Yes,69,17,No,Yes,12,0.7059,0.2464,11,0.6471,173,43,13,191,,0.2754,0.7101,11.2353,73.9,2.5072,10.1765,1.711,15.7273,3.9091,1.1818,32.6424,32.6424,0.2429,17.3,28.3,22.8,28.3,28.3,31.3,25.8,28.3,28.3,28.3,22.8,28.3,28.3,15,11,1,2,0.0588,7,3,0.0145,1,0.0909,,1,,,,,,
Tee Higgins,CIN,WR,79,No,No,No,79,30,No,Yes,28,0.9333,0.3797,24,0.8,231,75,56,211,,0.2152,0.7848,7.0333,98.8,2.9241,7.7,0.6661,9.625,3.125,2.3333,48.757,48.757,0.3797,23.1,47.1,35.1,47.1,47.1,50.1,38.1,47.1,47.1,47.1,35.1,47.1,47.1,12,27,1,,0.0333,11,4,,4,0.1667,8,1,5,,,,,
Rashod Bateman,BLT,WR,71,No,No,Yes,70,21,No,Yes,16,0.7619,0.3,14,0.6667,189,36,9,210,,0.0571,0.9429,10,91.2,2.7,9,0.7539,13.5,2.5714,0.6429,34.9422,34.9422,0.2958,24.9,38.9,31.9,38.9,38.9,41.9,34.9,38.9,38.9,38.9,31.9,38.9,38.9,17,13,2,1,0.0952,10,1,,1,0.0714,1,1,,,1,1,,
Grant Calcaterra,PHI,TE,46,No,Yes,No,42,5,No,Yes,5,1,0.119,5,1,42,19,5,23,0.3571,0.5952,0.0476,4.6,101.7,1,8.4,1.887,8.4,3.8,1,7.3042,7.3042,0.1087,4.2,9.2,6.7,9.2,11.7,9.2,6.7,9.2,9.2,9.2,6.7,11.7,9.2,17,2,,,,2,,,,,,,,,,,,
Rico Dowdle,DAL,RB,68,No,No,No,57,6,No,Yes,6,1,0.1053,5,0.8333,49,40,15,11,,0.0351,0.0175,1.8333,100.7,0.8596,8.1667,1.983,9.8,8,3,7.9157,7.9157,0.0882,4.9,9.9,7.4,12.4,9.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,16,3,,,,3,,0.9474,,,2,,1,,,,,
Ricky Pearsall,SF,WR,47,No,No,No,47,8,Yes,Yes,5,0.625,0.1702,5,0.625,49,6,1,75,,0.3404,0.6596,9.375,79.7,1.0426,6.125,-1.6342,9.8,1.2,0.2,12.8057,12.8057,0.1702,4.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,11,7,,,,3,,,,,1,,1,1,,,,
Pharaoh Brown,SEA,TE,17,No,No,No,13,7,No,Yes,6,0.8571,0.5385,4,0.5714,32,20,16,28,0.6154,0.3077,0.0769,4,68.8,2.4615,4.5714,-1.8103,8,5,4,10.0278,10.0278,0.4118,3.2,7.2,5.2,7.2,9.2,7.2,5.2,7.2,7.2,7.2,5.2,9.2,7.2,15,3,2,,0.2857,1,,,,,,,,,,,,
Chris Olave,NO,WR,29,No,No,Yes,29,7,No,Yes,6,0.8571,0.2414,6,0.8571,54,24,7,35,,0.3448,0.6552,5,98.8,1.8621,7.7143,1.3144,9,4,1.1667,15.6994,15.6994,0.2414,5.4,11.4,8.4,11.4,11.4,11.4,8.4,11.4,11.4,11.4,8.4,11.4,11.4,8,6,,,,3,2,,1,0.1667,,1,,,,,,
Jordan Matthews,CAR,TE,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Jeremy McNichols,WAS,RB,26,No,No,No,20,1,No,Yes,1,1,0.05,1,1,5,,,5,,0.25,0.05,5,87.5,0.25,5,-2.233,5,,,1.4769,1.4769,0.0385,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,17,1,,,,,,0.7,,,,,,,,,,
Jerome Ford,CLV,RB,73,No,No,Yes,57,3,No,Yes,3,1,0.0526,3,1,15,9,2,6,0.1754,0.0702,0.0877,2,87.5,0.2632,5,-1.2112,5,3,0.6667,4.4276,4.4276,0.0411,1.5,4.5,3,6,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,14,3,,,,,,0.6667,,,,,,,,,,
George Pickens,PIT,WR,69,No,No,No,69,16,No,Yes,16,1,0.2319,14,0.875,123,25,31,104,,0.2174,0.7826,6.5,98.7,1.7826,7.6875,0.847,8.7857,1.7857,2.2143,23.6963,23.6963,0.2319,11.3,25.3,18.3,25.3,25.3,28.3,20.3,24.3,24.3,24.3,17.3,25.3,24.3,14,14,2,1,0.125,5,2,,4,0.2857,1,,,,,,,
Jermaine Burton,CIN,WR,19,No,No,Yes,19,,No,Yes,,,,,,,,,,,0.1053,0.8947,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
Julius Chestnut,TEN,RB,4,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,1,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,129,No,Yes,No,129,47,No,Yes,40,0.8511,0.3643,37,0.7872,337,125,67,291,,0.7519,0.2481,6.1915,87.7,2.6124,7.1702,0.3525,9.1081,3.3784,1.8108,70.7302,70.7302,0.3643,33.7,70.7,52.2,70.7,70.7,73.7,55.2,70.7,70.7,70.7,52.2,70.7,70.7,17,37,1,,0.0213,13,3,,8,0.2162,6,,3,,,,,
Zach Davidson,BUF,TE,5,No,Yes,No,5,1,No,No,1,1,0.2,1,1,5,1,,4,0.2,0.8,,4,87.5,1,5,-1.0667,5,1,,1.4617,1.4617,0.2,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,3,,,,,,,,,,,,,,,,,
Ben Skowronek,PIT,WR,12,No,No,No,9,2,No,Yes,2,1,0.2222,2,1,12,,,12,0.1111,0.8889,,6,91.7,1.3333,6,-0.7802,6,,,3.246,3.246,0.1667,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,9,1,,,,1,,,2,1,,,,,,,,
Trey Benson,ARZ,RB,8,No,No,No,4,,No,Yes,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,0.5,,,,,,,,,,
Hayden Hurst,LAC,TE,11,No,No,No,11,3,No,Yes,3,1,0.2727,3,1,22,7,4,15,0.5455,0.2727,0.1818,5,97.2,2,7.3333,0.8533,7.3333,2.3333,1.3333,4.1721,4.1721,0.2727,2.2,5.2,3.7,5.2,6.7,5.2,3.7,5.2,5.2,5.2,3.7,6.7,5.2,9,2,,,,1,,,,,,,,,,,,
Clyde Edwards-Helaire,NO,RB,4,No,No,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,
Dalvin Cook,DAL,RB,3,No,No,No,2,1,No,Yes,1,1,0.5,1,1,10,6,1,4,,,,4,108.3,5,10,3.3381,10,6,1,1.4352,1.4352,0.3333,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,2,1,,,,1,,1,,,,,,,,,,
Ryan Flournoy,DAL,WR,15,No,No,No,15,4,No,Yes,4,1,0.2667,4,1,34,11,3,23,,0.2,0.8,5.75,102.1,2.2667,8.5,2.0094,8.5,2.75,0.75,5.5202,5.5202,0.2667,2.4,6.4,4.4,6.4,6.4,6.4,3.4,5.4,5.4,5.4,3.4,6.4,5.4,11,4,,,,1,,,1,0.25,,,,,,,,
D'Onta Foreman,CLV,RB,11,No,No,Yes,9,1,No,Yes,1,1,0.1111,1,1,9,2,1,7,0.1111,0.1111,0.2222,7,104.2,1,9,1.6359,9,2,1,1.5154,1.5154,0.0909,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,11,,,,,,,0.5556,,,,,,,,,,
