Name,Team,POS,RTE,TGT,AY,REC,YDS,YAC
Allen Robinson,DET,WR,4,1,18,1,21,3
Justyn Ross,KC,WR,1,1,18,,,
Ray-Ray McCloud,ATL,WR,43,4,97,1,42,3
Eric Saubert,SF,TE,4,1,23,,,
Brian Robinson,WAS,RB,8,,,,,
Alvin Kamara,NO,RB,20,1,22,1,27,5
Tucker Fisk,LAC,TE,2,,,,,
Gus Edwards,LAC,RB,5,,,,,
Dylan Laube,LV,RB,1,,,,,
Kadarius Toney,CLV,WR,1,,,,,
Taysom Hill,NO,TE,5,1,8,1,21,13
Demario Douglas,NE,WR,27,1,36,1,36,
Sione Vaki,DET,RB,1,,,,,
Alexander Mattison,LV,RB,17,,,,,
Cade Otton,TB,TE,23,7,130,3,62,10
Malik Nabers,NYG,WR,48,29,713,12,297,55
Raheem Blackshear,CAR,RB,4,,,,,
Tank Dell,HST,WR,13,3,113,1,50,1
Xavier Weaver,ARZ,WR,2,1,20,,,
Ian Thomas,CAR,TE,2,1,4,,,
Zay Flowers,BLT,WR,41,10,249,4,111,28
Michael Wilson,ARZ,WR,43,10,306,2,58,6
Dalton Kincaid,BUF,TE,26,6,155,,,
Jakobi Meyers,LV,WR,46,15,330,5,128,16
Hunter Henry,NE,TE,29,4,85,2,20,4
Nelson Agholor,BLT,WR,16,4,111,1,26,4
Jahmyr Gibbs,DET,RB,12,,,,,
Gabe Davis,JAX,WR,24,10,234,2,40,1
Odell Beckham,MIA,WR,12,1,17,,,
D.J. Turner,LV,WR,17,4,112,1,30,5
Tim Patrick,DET,WR,15,5,161,1,42,5
Cody White,SEA,WR,4,1,24,1,28,4
Tay Martin,TEN,WR,1,1,40,,,
Josh Reynolds,JAX,WR,14,3,58,2,56,12
Noah Gray,KC,TE,21,3,46,2,46,9
Brian Thomas,JAX,WR,53,19,480,7,275,118
DeAndre Hopkins,KC,WR,25,13,323,5,118,17
Eric Tomlinson,LAC,TE,4,,,,,
Xavier Hutchinson,HST,WR,8,1,34,,,
Simi Fehoko,LAC,WR,14,8,199,1,30,3
Ezekiel Elliott,DAL,RB,7,,,,,
Stone Smartt,LAC,TE,11,2,39,1,31,10
T.J. Hockenson,MIN,TE,20,5,76,3,74,30
Tyler Goodson,IND,RB,6,1,24,,,
Jordan Mason,SF,RB,7,,,,,
Feleipe Franks,CAR,TE,2,2,33,,,
Michael Pittman,IND,WR,50,13,273,7,130,29
Tre Tucker,LV,WR,46,16,530,4,159,29
Grant DuBose,MIA,WR,1,1,16,,,
Tim Jones,JAX,WR,8,,,,,
Malik Washington,MIA,WR,17,6,91,1,13,4
Jonathan Taylor,IND,RB,23,,,,,
Troy Franklin,DEN,WR,28,11,388,1,29,
Javon Baker,NE,WR,5,1,18,,,
Laquon Treadwell,IND,WR,2,,,,,
DJ Chark,LAC,WR,3,1,31,,,
Audric Estime,DEN,RB,1,,,,,
Charlie Kolar,BLT,TE,3,1,26,1,55,29
Darnell Washington,PIT,TE,16,2,34,1,17,6
Zach Ertz,WAS,TE,30,5,114,3,45,18
Davis Allen,LA,TE,7,,,,,
Brady Russell,SEA,TE,1,,,,,
John Samuel Shenker,LV,TE,2,,,,,
Greg Dortch,ARZ,WR,20,2,43,,,
Javonte Williams,DEN,RB,22,,,,,
Terrell Jennings,NE,RB,1,,,,,
Cam Akers,MIN,RB,2,,,,,
JaMycal Hasty,NE,RB,2,,,,,
Tip Reiman,ARZ,TE,2,,,,,
Courtland Sutton,DEN,WR,46,21,530,14,327,35
De'Von Achane,MIA,RB,26,4,45,3,43,22
Mike Evans,TB,WR,24,11,296,4,103,3
Kenneth Walker,SEA,RB,14,,,,,
Tyrell Shavers,BUF,WR,3,,,,,
River Cracraft,MIA,WR,6,1,9,1,11,2
Keon Coleman,BUF,WR,39,19,511,7,227,49
Lil'Jordan Humphrey,DEN,WR,17,4,87,,,
Jordan Addison,MIN,WR,32,12,361,3,89,4
Tyler Lockett,SEA,WR,50,12,294,5,119,21
Tank Bigsby,JAX,RB,11,,,,,
Mike Woods,CLV,WR,7,1,35,,,
Xavier Gipson,NYJ,WR,13,3,85,,,
Cedrick Wilson,NO,WR,18,2,43,1,16,
Sean Tucker,TB,RB,2,,,,,
John FitzPatrick,GB,TE,2,,,,,
Mo Alie-Cox,IND,TE,15,4,81,2,40,11
Bryce Oliver,TEN,WR,3,,,,,
Devin Culp,TB,TE,2,1,15,,,
Tyrone Tracy,NYG,RB,20,,,,,
Michael Mayer,LV,TE,19,2,51,,,
Marvin Harrison,ARZ,WR,43,24,512,5,105,16
Collin Johnson,CHI,WR,1,,,,,
Tyler Scott,CHI,WR,1,,,,,
Jaylen Wright,MIA,RB,6,,,,,
Austin Hooper,NE,TE,13,3,102,1,26,2
Justin Watson,KC,WR,18,5,167,2,66,9
Rashee Rice,KC,WR,5,2,48,1,44,8
Ty Chandler,MIN,RB,2,,,,,
Tanner Hudson,CIN,TE,5,2,32,1,9,3
Curtis Samuel,BUF,WR,22,2,38,,,
Tyreik McAllister,LV,WR,1,,,,,
Chase Brown,CIN,RB,17,1,26,,,
Najee Harris,PIT,RB,22,,,,,
Devontez Walker,BLT,WR,3,2,69,1,21,
Austin Ekeler,WAS,RB,14,,,,,
Jaheim Bell,NE,TE,3,1,18,1,19,1
Daniel Bellinger,NYG,TE,17,1,10,1,13,3
Drew Sample,CIN,TE,14,1,5,1,12,7
Zay Jones,ARZ,WR,11,,,,,
Stefon Diggs,HST,WR,5,2,57,1,49,16
Ben Sinnott,WAS,TE,9,,,,,
Darnell Mooney,ATL,WR,40,12,264,6,192,47
Jeremy Ruckert,NYJ,TE,11,1,10,1,12,2
Kalif Raymond,DET,WR,5,2,60,,,
Kaden Davis,CLV,WR,2,,,,,
Andrei Iosivas,CIN,WR,43,9,225,4,115,8
Brandon Aiyuk,SF,WR,13,2,42,,,
Allen Lazard,NYJ,WR,47,11,263,6,171,35
Marvin Mims,DEN,WR,13,4,157,1,93,58
Dallas Goedert,PHI,TE,13,1,18,,,
Roschon Johnson,CHI,RB,15,,,,,
Cedric Tillman,CLV,WR,22,7,151,1,17,
Calvin Ridley,TEN,WR,42,24,746,8,259,31
Raheem Mostert,MIA,RB,10,1,13,1,14,1
Jalen Coker,CAR,WR,30,7,168,3,127,58
Jayden Reed,GB,WR,37,6,132,6,171,43
Kyle Pitts,ATL,TE,34,10,203,3,107,49
Dante Pettis,NO,WR,7,3,75,,,
Terry McLaurin,WAS,WR,40,23,785,9,387,97
Chris Godwin,TB,WR,15,3,46,2,46,25
Trey McBride,ARZ,TE,43,10,164,7,156,58
Patrick Taylor,SF,RB,2,,,,,
Carson Steele,KC,RB,5,,,,,
John Bates,WAS,TE,10,,,,,
Jalen Reagor,LAC,WR,13,2,48,1,24,
Alex Erickson,NE,WR,2,,,,,
Dawson Knox,BUF,TE,33,5,92,4,113,33
Noah Brown,WAS,WR,16,4,126,2,63,2
Marcedes Lewis,CHI,TE,1,,,,,
Dontayvion Wicks,GB,WR,25,10,296,2,66,9
Will Shipley,PHI,RB,1,,,,,
Kyren Williams,LA,RB,18,,,,,
Trey Palmer,TB,WR,11,,,,,
Tucker Kraft,GB,TE,36,4,92,4,148,56
Payne Durham,TB,TE,7,,,,,
Garrett Wilson,NYJ,WR,79,27,568,7,187,18
Kenny McIntosh,SEA,RB,3,,,,,
Deuce Vaughn,DAL,RB,1,,,,,
Kameron Johnson,TB,WR,1,,,,,
Dyami Brown,WAS,WR,19,4,164,2,92,11
Johnny Wilson,PHI,WR,4,2,49,,,
Erik Ezukanma,MIA,WR,2,2,63,,,
Emanuel Wilson,GB,RB,4,,,,,
Quentin Johnston,LAC,WR,43,19,519,5,198,53
Blake Whiteheart,CLV,TE,5,,,,,
Chris Manhertz,NYG,TE,2,,,,,
Elijah Higgins,ARZ,TE,17,1,26,1,18,
Dan Chisena,CAR,WR,1,,,,,
Adam Thielen,CAR,WR,35,14,332,9,235,30
Josiah Deguara,JAX,TE,4,,,,,
Braelon Allen,NYJ,RB,14,,,,,
Harrison Bryant,LV,TE,7,,,,,
Tylan Wallace,BLT,WR,7,1,16,1,20,4
Jonnu Smith,MIA,TE,34,8,118,4,86,44
Josh Palmer,LAC,WR,48,10,289,3,99,16
Antonio Gibson,NE,RB,11,2,57,,,
Mason Kinsey,TEN,WR,5,,,,,
Charlie Woerner,ATL,TE,4,1,11,1,11,
David Moore,CAR,WR,43,6,133,1,18,
Amon-Ra St. Brown,DET,WR,29,7,157,3,85,7
Tutu Atwell,LA,WR,12,1,39,,,
Calvin Austin,PIT,WR,46,9,246,3,79,7
Ronnie Bell,SF,WR,6,1,32,,,
Jacob Cowing,SF,WR,4,2,63,1,41,3
Geoff Swaim,CLV,TE,2,,,,,
Jaleel McLaughlin,DEN,RB,11,,,,,
Bijan Robinson,ATL,RB,25,1,9,,,
Jack Westover,NE,TE,1,,,,,
Cordarrelle Patterson,PIT,RB,1,,,,,
Isiah Pacheco,KC,RB,3,,,,,
Pat Freiermuth,PIT,TE,41,4,50,4,68,18
AJ Barner,SEA,TE,12,2,35,,,
Zach Charbonnet,SEA,RB,22,,,,,
Chuba Hubbard,CAR,RB,34,,,,,
Xavier Worthy,KC,WR,35,8,256,2,89,15
Cam Grandy,CIN,TE,1,,,,,
Malachi Corley,NYJ,WR,6,1,22,,,
Elijah Moore,CLV,WR,43,10,273,3,56,3
Rachaad White,TB,RB,15,,,,,
Ty Johnson,BUF,RB,23,1,16,1,31,15
Van Jefferson,PIT,WR,40,8,228,2,71,2
Derrick Henry,BLT,RB,14,,,,,
Kareem Hunt,KC,RB,10,,,,,
Brandon Powell,MIN,WR,7,,,,,
Kenny Yeboah,NYJ,TE,3,,,,,
A.J. Brown,PHI,WR,31,18,464,7,254,67
Luke McCaffrey,WAS,WR,16,1,18,1,23,5
Brock Wright,DET,TE,6,2,46,,,
Ke'Shawn Vaughn,SF,RB,1,,,,,
Jamaal Williams,NO,RB,4,,,,,
Brandin Cooks,DAL,WR,27,8,247,1,22,4
Ryan Miller,TB,WR,8,3,78,1,13,
Jalin Hyatt,NYG,WR,15,6,198,,,
David Njoku,CLV,TE,26,4,73,2,38,2
Brock Bowers,LV,TE,41,10,265,2,48,5
Isaac Guerendo,SF,RB,4,,,,,
Johnny Mundt,MIN,TE,10,,,,,
Durham Smythe,MIA,TE,5,1,23,,,
Xavier Legette,CAR,WR,49,17,480,1,14,9
Justin Jefferson,MIN,WR,38,14,384,8,243,31
Rashid Shaheed,NO,WR,15,10,310,,,
Greg Dulcich,NYG,TE,7,1,9,,,
Rhamondre Stevenson,NE,RB,13,,,,,
Brenton Strange,JAX,TE,34,6,121,2,47,11
Tyreek Hill,MIA,WR,40,17,456,4,98,9
Demarcus Robinson,LA,WR,30,10,245,3,79,13
Travis Kelce,KC,TE,32,7,140,2,50,17
Cole Kmet,CHI,TE,52,5,79,5,104,25
Zack Moss,CIN,RB,13,,,,,
Kimani Vidal,LAC,RB,8,,,,,
Mason Tipton,NO,WR,19,3,81,,,
Mike Williams,PIT,WR,51,16,336,7,159,12
Derius Davis,LAC,WR,7,3,71,1,19,
Kylen Granson,IND,TE,33,6,158,,,
John Ross,PHI,WR,1,1,48,,,
Devin Thompkins,CAR,WR,5,,,,,
Terrace Marshall,LV,WR,5,,,,,
Isaiah Likely,BLT,TE,30,10,164,4,118,67
Dalton Schultz,HST,TE,12,4,125,,,
George Kittle,SF,TE,21,8,176,4,93,20
Keenan Allen,CHI,WR,53,19,387,9,201,46
James Cook,BUF,RB,19,,,,,
Treylon Burks,TEN,WR,6,1,43,,,
Ja'Lynn Polk,NE,WR,12,6,144,1,21,7
Jordan Akins,CLV,TE,23,4,56,3,49,11
Nick Vannett,TEN,TE,4,,,,,
Peyton Hendershot,KC,TE,2,,,,,
CeeDee Lamb,DAL,WR,46,16,358,8,262,85
Noah Fant,SEA,TE,36,4,60,3,58,23
Tony Pollard,TEN,RB,25,1,20,1,22,2
Romeo Doubs,GB,WR,35,7,183,3,84,13
Ray Davis,BUF,RB,10,,,,,
DeeJay Dallas,ARZ,RB,2,,,,,
JuJu Smith-Schuster,KC,WR,13,1,18,1,31,13
Ladd McConkey,LAC,WR,56,13,290,8,225,75
Alex Bachman,LV,WR,3,,,,,
Austin Trammell,JAX,WR,2,,,,,
Kendric Pryor,CIN,WR,3,,,,,
Chig Okonkwo,TEN,TE,27,3,65,1,21,4
Gerald Everett,CHI,TE,9,2,38,,,
Lucas Krull,DEN,TE,19,1,18,1,23,5
Tyler Johnson,LA,WR,12,1,25,,,
Brenden Rice,LAC,WR,1,,,,,
C.J. Uzomah,PHI,TE,4,,,,,
Ko Kieft,TB,TE,1,,,,,
Robert Woods,HST,WR,6,1,30,,,
Brycen Tremayne,WAS,WR,1,,,,,
Christian McCaffrey,SF,RB,3,,,,,
Khalil Shakir,BUF,WR,40,6,176,2,86,19
Sterling Shepard,TB,WR,16,3,73,1,30,3
D'Wayne Eskridge,MIA,WR,2,,,,,
Ross Dwelley,ATL,TE,1,,,,,
Jaxon Smith-Njigba,SEA,WR,54,14,324,5,111,12
Jalen Moreno-Cropper,DAL,WR,1,,,,,
Sam LaPorta,DET,TE,25,6,129,5,157,56
Velus Jones,CAR,WR,1,,,,,
Will Mallory,IND,TE,7,,,,,
Mike Boone,CAR,RB,4,,,,,
Alec Pierce,IND,WR,48,17,589,6,230,32
Drake London,ATL,WR,43,16,335,4,95,11
Jalen Tolbert,DAL,WR,50,12,385,5,159,29
Bo Melton,GB,WR,5,3,91,1,28,1
Bub Means,NO,WR,3,2,42,,,
Irvin Charles,NYJ,WR,1,,,,,
Chris Rodriguez Jr.,WAS,RB,2,,,,,
Olamide Zaccheaus,WAS,WR,14,3,57,1,29,6
Julius Chestnut,TEN,RB,5,,,,,
Wan'Dale Robinson,NYG,WR,48,4,87,1,25,
Ben Skowronek,PIT,WR,6,2,24,2,40,16
Jake Tonges,SF,TE,1,,,,,
Trey Benson,ARZ,RB,2,,,,,
Hayden Hurst,LAC,TE,10,1,20,1,27,7
Clyde Edwards-Helaire,NO,RB,3,,,,,
Dalvin Cook,DAL,RB,2,,,,,
Ryan Flournoy,DAL,WR,8,2,35,,,
D'Onta Foreman,CLV,RB,7,,,,,
Deebo Samuel,SF,WR,18,2,65,2,129,64
Devin Duvernay,JAX,WR,19,4,131,,,
Mike Gesicki,CIN,TE,36,5,78,2,57,32
Nikko Remigio,KC,WR,1,,,,,
Josh Jacobs,GB,RB,22,,,,,
Cade Stover,HST,TE,7,1,21,1,19,
Scott Miller,PIT,WR,10,3,81,1,21,
Jaylen Waddle,MIA,WR,31,7,138,5,126,32
Tee Higgins,CIN,WR,33,11,313,6,161,8
Rashod Bateman,BLT,WR,38,7,278,2,87,5
Grant Calcaterra,PHI,TE,23,3,64,3,76,12
Rico Dowdle,DAL,RB,16,,,,,
Ricky Pearsall,SF,WR,18,2,64,2,70,6
Pharaoh Brown,SEA,TE,3,1,14,1,17,3
Chris Olave,NO,WR,16,3,59,1,29,5
Jordan Matthews,CAR,TE,2,,,,,
Jeremy McNichols,WAS,RB,6,,,,,
Jerome Ford,CLV,RB,21,2,48,,,
