player,position,team
Jordan Addison,WR,MIN
Gavin Bartholomew,TE,MIN
Dillon Bell,WR,MIN
Michael Briscoe,WR,MIN
Max Brosmer,QB,MIN
Demond Claiborne,RB,MIN
Terrill Davis,WR,MIN
Tai Felton,WR,MIN
Dontae Fleming,WR,MIN
T.J. Hockenson,TE,MIN
Justin Jefferson,WR,MIN
Jauan Jennings,WR,MIN
Jeshaun Jones,WR,MIN
Aaron Jones Sr.,RB,MIN
Jordan Mason,RB,MIN
J.J. McCarthy,QB,MIN
Kyler Murray,QB,MIN
Bryson Nesbit,TE,MIN
Josh Oliver,TE,MIN
Kejon Owens,RB,MIN
Myles Price,WR,MIN
Trayvon Rudolph,WR,MIN
Marcus Sanders Jr.,WR,MIN
Zavier Scott,RB,MIN
Carson Wentz,QB,MIN
Luke Wysong,WR,MIN
Ben Yurosek,TE,MIN
Tanner Arkin,TE,NE
Kayshon Boutte,WR,NE
A.J. Brown,WR,NE
Efton Chism III,WR,NE
Nick DeGennaro,WR,NE
Tommy DeVito,QB,NE
CJ Dippre,TE,NE
Kyle Dixon,WR,NE
Cameron Dorner,WR,NE
Romeo Doubs,WR,NE
DeMario Douglas,WR,NE
TreVeyon Henderson,RB,NE
Hunter Henry,TE,NE
Mack Hollins,WR,NE
Jalen Hurd,WR,NE
Terrell Jennings,RB,NE
Jimmy Kibble,WR,NE
Lan Larison,RB,NE
Drake Maye,QB,NE
Jam Miller,RB,NE
Myles Montgomery,RB,NE
Behren Morton,QB,NE
Eli Raridon,TE,NE
Rhamondre Stevenson,RB,NE
Jeremiah Webb,WR,NE
Kyle Williams,WR,NE
Julian Hill,TE,NE
Damien Alford,WR,NO
Kevin Austin Jr.,WR,NO
Ronnie Bell,WR,NO
Barion Brown,WR,NO
Ty Chandler,RB,NO
Oscar Delp,TE,NO
CJ Donaldson,RB,NO
Audric Estime,RB,NO
Travis Etienne Jr.,RB,NO
Noah Fant,TE,NO
Cody Hardy,TE,NO
Juwan Johnson,TE,NO
Alvin Kamara,RB,NO
Bryce Lance,WR,NO
Moliki Matavao,TE,NO
Bub Means,WR,NO
Kendre Miller,RB,NO
Zaire Mitchell-Paden,TE,NO
Devin Neal,RB,NO
Chris Olave,WR,NO
Trey Palmer,WR,NO
Ja'Lynn Polk,WR,NO
Spencer Rattler,QB,NO
Brock Rechsteiner,WR,NO
Tyler Shough,QB,NO
Mason Tipton,WR,NO
Jordyn Tyson,WR,NO
Devaughn Vele,WR,NO
Treyton Welch,TE,NO
Zach Wilson,QB,NO
Brandon Allen,QB,NYG
Calvin Austin III,WR,NYG
Damon Bankston,RB,NYG
Odell Beckham Jr.,WR,NYG
Braxton Berrios,WR,NYG
Dalen Cambre,WR,NYG
Beaux Collins,WR,NYG
Tanner Conner,TE,NYG
Jaxson Dart,QB,NYG
Thomas Fidone II,TE,NYG
Malachi Fields,WR,NYG
Xavier Gipson,WR,NYG
Eric Gray,RB,NYG
Isaiah Hodgins,WR,NYG
Jalin Hyatt,WR,NYG
Theo Johnson,TE,NYG
Isaiah Likely,TE,NYG
Chris Manhertz,TE,NYG
Dante Miller,RB,NYG
Ryan Miller,WR,NYG
Darnell Mooney,WR,NYG
Malik Nabers,WR,NYG
Devin Singletary,RB,NYG
Cam Skattebo,RB,NYG
Darius Slayton,WR,NYG
JuJu Smith-Schuster,WR,NYG
Tyrone Tracy Jr.,RB,NYG
Jameis Winston,QB,NYG
Gunner Olszewski,WR,NYG
Braelon Allen,RB,NYJ
Brady Cook,QB,NYJ
Omar Cooper Jr.,WR,NYJ
Chase Curtis,TE,NYJ
Isaiah Davis,RB,NYJ
Breece Hall,RB,NYJ
Cade Klubnik,QB,NYJ
Caullin Lacy,WR,NYJ
Malik McClain,WR,NYJ
Adonai Mitchell,WR,NYJ
Kene Nwangwu,RB,NYJ
Tim Patrick,WR,NYJ
Jamaal Pritchett,WR,NYJ
Jeremy Ruckert,TE,NYJ
Kenyon Sadiq,TE,NYJ
Sam Scott,RB,NYJ
Gee Scott Jr.,WR,NYJ
DT Sheffield,WR,NYJ
Arian Smith,WR,NYJ
Geno Smith,QB,NYJ
Mason Taylor,TE,NYJ
Chip Trayanum,RB,NYJ
Jalen Walthall,WR,NYJ
Isaiah Williams,WR,NYJ
Garrett Wilson,WR,NYJ
Jelani Woods,TE,NYJ
Bailey Zappe,QB,NYJ
Saquon Barkley,RB,PHI
Tank Bigsby,RB,PHI
Hollywood Brown,WR,PHI
Grant Calcaterra,TE,PHI
Darius Cooper,WR,PHI
Britain Covey,WR,PHI
Andy Dalton,QB,PHI
Dallas Goedert,TE,PHI
Danny Gray,WR,PHI
Jalen Hurts,QB,PHI
E.J. Jenkins,TE,PHI
Cameron Latu,TE,PHI
Makai Lemon,WR,PHI
Tanner McKee,QB,PHI
Elijah Mitchell,RB,PHI
Elijah Moore,WR,PHI
Johnny Mundt,TE,PHI
Cole Payton,QB,PHI
Dameon Pierce,RB,PHI
Will Shipley,RB,PHI
Stone Smartt,TE,PHI
DeVonta Smith,WR,PHI
Carson Steele,RB,PHI
Eli Stowers,TE,PHI
Samori Toure,WR,PHI
Quez Watkins,WR,PHI
Dontayvion Wicks,WR,PHI
Johnny Wilson,WR,PHI
Dae'Quan Wright,TE,PHI
Drew Allar,QB,PIT
Jaheim Bell,TE,PIT
Germie Bernard,WR,PIT
Cole Burgess,WR,PIT
Rico Dowdle,RB,PIT
Pat Freiermuth,TE,PIT
JJ Galbreath,TE,PIT
Eli Heidenreich,RB,PIT
Travis Homer,RB,PIT
Will Howard,QB,PIT
Max Hurleman,RB,PIT
Kaleb Johnson,RB,PIT
Lake McRee,TE,PIT
DK Metcalf,WR,PIT
Lew Nichols,RB,PIT
Riley Nowakowski,TE,PIT
A.T. Perry,WR,PIT
Michael Pittman Jr.,WR,PIT
Aaron Rodgers,QB,PIT
Mason Rudolph,QB,PIT
Ben Skowronek,WR,PIT
Brandon Smith,WR,PIT
Robert Tonyan,TE,PIT
Jaylen Warren,RB,PIT
Darnell Washington,TE,PIT
Kaden Wetjen,WR,PIT
Roman Wilson,WR,PIT
Brandon Aiyuk,WR,SF
Junior Bergen,WR,SF
Kaelon Black,RB,SF
Jacob Cowing,WR,SF
Khalil Dinkins,TE,SF
Colton Dowell,WR,SF
Mike Evans,WR,SF
Luke Farrell,TE,SF
Wesley Grimes,WR,SF
Isaac Guerendo,RB,SF
Jordan James,RB,SF
Mac Jones,QB,SF
Christian Kirk,WR,SF
George Kittle,TE,SF
Adrian Martinez,QB,SF
Christian McCaffrey,RB,SF
Sincere McCormick,RB,SF
Will Pauling,WR,SF
Ricky Pearsall,WR,SF
Brock Purdy,QB,SF
Demarcus Robinson,WR,SF
Kurtis Rourke,QB,SF
Hayden Rucci,TE,SF
De'Zhaun Stribling,WR,SF
Patrick Taylor Jr.,RB,SF
Jake Tonges,TE,SF
Malik Turner,WR,SF
Jordan Watkins,WR,SF
Brayden Willis,TE,SF
Elijah Arroyo,TE,SEA
AJ Barner,TE,SEA
Jake Bobo,WR,SEA
Tyrone Broden,WR,SEA
Harrison Bryant,TE,SEA
Zach Charbonnet,RB,SEA
Irvin Charles,WR,SEA
Sam Darnold,QB,SEA
Montorie Foster Jr.,WR,SEA
Emmanuel Henderson Jr.,WR,SEA
George Holani,RB,SEA
Tory Horton,WR,SEA
Velus Jones Jr.,WR,SEA
Nick Kallerup,TE,SEA
Cooper Kupp,WR,SEA
Drew Lock,QB,SEA
Lance Mason,TE,SEA
Kenny McIntosh,RB,SEA
Jalen Milroe,QB,SEA
Jadarian Price,RB,SEA
Rashad Rochelle,WR,SEA
Eric Saubert,TE,SEA
Rashid Shaheed,WR,SEA
Jaxon Smith-Njigba,WR,SEA
Cody White,WR,SEA
Ricky White III,WR,SEA
Emanuel Wilson,RB,SEA
Jacardia Wright,RB,SEA
Connor Bazelak,QB,TB
Jake Browning,QB,TB
Kadarius Calloway,RB,TB
Devin Culp,TE,TB
Jalon Daniels,QB,TB
Payne Durham,TE,TB
Emeka Egbuka,WR,TB
Kenny Fletcher Jr.,TE,TB
Kenneth Gainwell,RB,TB
Chris Godwin Jr.,WR,TB
Garrett Greene,WR,TB
Dennis Houston,WR,TB
Ted Hurst,WR,TB
Bucky Irving,RB,TB
Kameron Johnson,WR,TB
Tez Johnson,WR,TB
Ko Kieft,TE,TB
Baker Mayfield,QB,TB
Jalen McMillan,WR,TB
Chandler Morris,QB,TB
Cade Otton,TE,TB
Dean Patterson,WR,TB
Eric Rivers,WR,TB
Bauer Sharp,TE,TB
David Sills V,WR,TB
Sean Tucker,RB,TB
Josh Williams,RB,TB
Elic Ayomanor,WR,TEN
Hank Beatty,WR,TEN
Daniel Bellinger,TE,TEN
Michael Carter,RB,TEN
Julius Chestnut,RB,TEN
Chimere Dike,WR,TEN
Kylen Granson,TE,TEN
Gunnar Helm,TE,TEN
Hendon Hooker,QB,TEN
Courtney Jackson,WR,TEN
Jaren Kanak,TE,TEN
Mason Kinsey,WR,TEN
Will Levis,QB,TEN
David Martin-Robinson,TE,TEN
Lance McCutcheon,WR,TEN
Tyren Montgomery,WR,TEN
Kalel Mullings,RB,TEN
Bryce Oliver,WR,TEN
K.J. Osborn,WR,TEN
Tony Pollard,RB,TEN
Xavier Restrepo,WR,TEN
Calvin Ridley,WR,TEN
Wan'Dale Robinson,WR,TEN
Nicholas Singleton,RB,TEN
Tyjae Spears,RB,TEN
Carnell Tate,WR,TEN
Mitchell Trubisky,QB,TEN
Cam Ward,QB,TEN
Joel Wilson,TE,TEN
Kaytron Allen,RB,WSH
John Bates,TE,WSH
Jaden Bradley,WR,WSH
Dyami Brown,WR,WSH
Treylon Burks,WR,WSH
Lawrence Cager,TE,WSH
Jacory Croskey-Merritt,RB,WSH
Jayden Daniels,QB,WSH
Anthony Firkser,TE,WSH
Jerome Ford,RB,WSH
Sam Hartman,QB,WSH
Robert Henry Jr.,RB,WSH
Chris Hilton Jr.,WR,WSH
Van Jefferson,WR,WSH
Jacoby Jones,WR,WSH
Athan Kaliakmanis,QB,WSH
Jaylin Lane,WR,WSH
Marcus Mariota,QB,WSH
Luke McCaffrey,WR,WSH
Terry McLaurin,WR,WSH
Jeremy McNichols,RB,WSH
Quentin Moore,TE,WSH
Nick Nash,WR,WSH
Chig Okonkwo,TE,WSH
Ben Sinnott,TE,WSH
Rachaad White,RB,WSH
Antonio Williams,WR,WSH
Colson Yankoff,TE,WSH
Harold Fannin,TE,CLE
Kyle Pitts,TE,ATL
Travis Etienne,RB,NO
Sam Laporta,TE,DET
Marvin Mims,WR,DEN
