Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,YardsAfterContactTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DeepTargetTargetsTotal,ReceptionsHero,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone
David Montgomery,DET,RB,12,Yes,No,No,6,2,No,Yes,2,1,0.3333,2,1,23,20,3,1,1.5,114.6,3.8333,11.5,5.2595,11.5,10,2.602,2.602,0.1667,2.3,4.3,3.3,5.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,17,,5,,1,1,0.5,2.5,,,,,,,1,,,,,,,
Jack Bech,LV,WR,4,Yes,No,No,4,1,Yes,Yes,1,1,0.25,1,1,6,,6,,6,91.7,1.5,6,-0.9491,6,,1.7746,1.7746,0.25,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,16,,5,1,1,,,5,,,,,,1,1,,,,,,,
Andrew Ogletree,IND,TE,2,No,No,No,1,1,No,No,1,1,1,1,1,8,1,7,,7,100,8,8,0.6922,8,1,1.1638,1.1638,0.5,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,15,1,,,,,,,,,,,,1,,,,1,,1,,
Jaylen Warren,PIT,RB,11,No,No,No,6,1,No,Yes,1,1,0.1667,,,,,-5,0.8333,-5,39.6,,,-5.8711,,,1.4146,1.4146,0.0909,,,,,,,,,,,,,,16,,,,,,,,1,,,0.1667,1,,,,,,,,,
Kendrick Bourne,SF,WR,12,No,No,No,12,2,Yes,Yes,2,1,0.1667,,,,,15,,7.5,39.6,,,-7.1245,,,3.2322,3.2322,0.1667,,,,,,,,,,,,,,16,0.1667,,0.8333,1,,,,2,,,,1,,,,,,,,,
Tyler Badie,DEN,RB,4,No,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,12,17,-5,1,-5,116.7,4,12,6.1289,12,17,1.6815,1.6815,0.25,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,16,,4,,1,1,1,4,,,,,,1,1,,,,,,,
Jalen Brooks,ARZ,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,4,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.5,,0.5,,,,,,,,,,,,,,,,,,
Bhayshul Tuten,JAX,RB,5,No,Yes,No,4,2,No,Yes,2,1,0.5,1,0.5,5,11,-4,0.5,-2,56.3,1.25,2.5,-3.242,5,11,2.9513,2.9513,0.4,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,15,0.5,2,,1,1,0.5,2,1,,,,0.5,,,,,1,,,,
Casey Washington,ATL,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,15,No,No,No,11,5,No,Yes,5,1,0.4545,3,0.6,53,73,-27,0.6364,-5.4,96.3,4.8182,10.6,5.2765,17.6667,24.3333,7.6132,7.6132,0.3333,5.3,8.3,6.8,9.8,8.3,8.3,6.8,8.3,8.3,8.3,6.8,8.3,8.3,17,0.1818,16,,4,3,0.6,5.3333,2,2,0.6667,0.1818,0.4,,3,,,,,,,
Marquise Brown,KC,WR,10,Yes,No,No,10,3,Yes,Yes,3,1,0.3,3,1,59,2,57,,19,118.8,5.9,19.6667,9.4502,19.6667,0.6667,6.064,6.064,0.3,5.9,8.9,7.4,8.9,8.9,8.9,7.4,8.9,8.9,8.9,7.4,8.9,8.9,16,0.2,1,0.8,2,,,0.3333,,,,,,,3,1,,,,,,
John Metchie,NYJ,WR,8,No,No,No,6,1,No,No,1,1,0.1667,,,,,5,,5,39.6,,,-6.3628,,,1.2763,1.2763,0.125,,,,,,,,,,,,,,16,0.3333,,0.6667,1,,,,,,,,,,,,,1,,,,
Jalen Nailor,MIN,WR,12,No,No,No,11,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5455,,0.4545,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,12,No,Yes,No,12,2,No,Yes,2,1,0.1667,1,0.5,27,3,25,,12.5,95.8,2.25,13.5,5.063,27,3,3.2639,3.2639,0.1667,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,15,0.6667,1,0.3333,1,,,1,,,,,,,1,1,1,1,,1,,
Jake Ferguson,DAL,TE,18,No,Yes,No,18,4,No,Yes,4,1,0.2222,4,1,24,21,3,,0.75,91.7,1.3333,6,0.1023,6,5.25,5.702,5.702,0.2222,2.4,6.4,4.4,6.4,8.4,6.4,4.4,6.4,6.4,6.4,4.4,8.4,6.4,17,0.6667,6,,3,1,0.25,1.5,,,,0.3333,,,1,,1,2,,2,,
Davante Adams,LA,WR,22,No,No,No,22,7,Yes,Yes,7,1,0.3182,2,0.2857,16,2,76,,10.8571,39.6,0.7273,2.2857,-6.0916,8,1,14.7632,14.7632,0.3182,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,14,0.2273,1,0.7727,6,,,0.5,2,,,,0.2857,3,2,1,,3,1,,,
Dare Ogunbowale,HST,RB,5,Yes,Yes,Yes,1,1,Yes,Yes,1,1,1,1,1,8,2,6,1,6,100,8,8,0.2914,8,2,1.8672,1.8672,0.2,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,17,,2,,1,,,2,,,,,,1,1,,,,,,,
Nico Collins,HST,WR,15,No,No,No,15,2,No,Yes,2,1,0.1333,,,,,20,,10,39.6,,,-8.0725,,,3.0252,3.0252,0.1333,,,,,,,,,,,,,,15,0.2,,0.8,1,,,,1,,,,0.5,,,,,1,,,,
Jerry Jeudy,CLV,WR,18,No,No,No,17,5,No,No,5,1,0.2941,,,,,95,,19,,,,-10.6211,,,11.6575,11.6575,0.2778,,,,,,,,,,,,,,17,0.1765,,0.8235,4,,,,2,,,,0.4,,,1,,2,,,,
Elijah Arroyo,SEA,TE,5,No,No,No,3,1,Yes,Yes,1,1,0.3333,,,,,11,,11,,,,-8.7402,,,1.5014,1.5014,0.2,,,,,,,,,,,,,,13,,,0.3333,,,,,,,,0.6667,,,,,,1,,,,
Darius Slayton,NYG,WR,12,No,Yes,No,9,4,No,Yes,4,1,0.4444,,,,,91,,22.75,39.6,,,-10.812,,,8.5563,8.5563,0.3333,,,,,,,,,,,,,,14,0.3333,,0.6667,4,,,,3,,,,0.75,,,2,,1,,,,
Bam Knight,ARZ,RB,4,No,Yes,No,3,,No,Yes,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,12,,,0.3333,,,,,,,,,,,,,,,,,,
Jaret Patterson,LAC,RB,3,No,Yes,No,2,,No,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,6,,,0.5,,,,,,,,,,,,,,,,,,
Samaje Perine,CIN,RB,10,No,No,No,7,,No,No,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,15,,,0.1429,,,,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,13,No,Yes,No,10,,No,Yes,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,17,0.1,,0.1,,,,,,,,,,,,,,,,,,
Josh Whyle,GB,TE,4,No,No,No,4,1,No,No,1,1,0.25,1,1,1,6,-5,,-5,79.2,0.25,1,-3.3733,1,6,1.72,1.72,0.25,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,8,0.25,1,,1,1,1,1,,,,0.75,,,,,,,,,,
Jordan Whittington,LA,WR,14,No,Yes,No,13,3,No,Yes,3,1,0.2308,,,,,49,,16.3333,39.6,,,-9.1552,,,4.0926,4.0926,0.2143,,,,,,,,,,,,,,17,0.6923,,0.3077,2,,,,2,,,,0.6667,,,1,,1,,,,
J.K. Dobbins,DEN,RB,11,No,Yes,No,5,2,No,Yes,2,1,0.4,1,0.5,-2,1,-9,1,-4.5,56.3,-0.4,-1,-6.6042,-2,1,2.5484,2.5484,0.1818,-0.2,0.8,0.3,1.3,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,10,,,,1,1,0.5,,1,,,,0.5,,,,,,,,,
Emari Demercado,ARZ,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,1,No,No,No,1,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,3,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5,,,,,,,,,,0.5,,,,,,,,,,
Jamari Thrash,CLV,WR,8,No,No,Yes,8,2,No,Yes,2,1,0.25,2,1,15,,15,,7.5,97.9,1.875,7.5,0.2985,7.5,,2.7639,2.7639,0.25,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,9,0.5,-1,0.5,1,,,-0.5,,,,,,,,,,,,,,
Matthew Golden,GB,WR,7,No,No,No,5,1,No,No,1,1,0.2,,,,,46,,46,39.6,,,-15,,,1.9211,1.9211,0.1429,,,,,,,,,,,,,,14,0.2,,0.8,1,,,,,,,,,,,1,,1,,,,
Saquon Barkley,PHI,RB,9,No,No,No,5,,Yes,Yes,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,16,0.4,,,,,,,,,,,,,,,,,,,,
Evan Engram,DEN,TE,10,No,Yes,No,9,2,No,Yes,2,1,0.2222,,,,,14,,7,39.6,,,-7.7703,,,3.2394,3.2394,0.2,,,,,,,,,,,,,,16,0.5556,,0.1111,,,,,2,,,0.3333,1,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,4,No,Yes,No,4,1,No,Yes,1,1,0.25,1,1,2,1,1,,1,79.2,0.5,2,-3.7754,2,1,1.4841,1.4841,0.25,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,17,0.5,,,1,,,,,,,0.5,,,,,,,,,,
Tyler Higbee,LA,TE,4,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,
Jake Bobo,SEA,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5,,0.5,,,,,,,,,,,,,,,,,,
Adonai Mitchell,NYJ,WR,14,No,No,No,12,5,No,No,5,1,0.4167,2,0.4,27,1,56,,11.2,18.3,2.25,5.4,-3.1177,13.5,0.5,10.1201,10.1201,0.3571,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,16,0.3333,,0.6667,5,,,,1,,,,0.2,2,1,,,3,1,,,
Connor Heyward,PIT,TE,1,No,No,No,1,1,No,Yes,1,1,1,,,,,17,1,17,39.6,,,-11.6807,,,2.9767,2.9767,1,,,,,,,,,,,,,,16,,,,1,,,,1,,,,1,1,,,,,1,,,
Dylan Sampson,CLV,RB,3,No,No,No,3,,No,No,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,15,0.3333,,0.3333,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,MIA,WR,7,No,No,No,6,2,No,Yes,2,1,0.3333,1,0.5,7,,12,,6,58.3,1.1667,3.5,-3.2137,7,,4.393,4.393,0.2857,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,15,0.5,,0.5,1,,,,1,,,,0.5,,1,,,,,,,
Pat Bryant,DEN,WR,8,No,Yes,No,7,1,No,Yes,1,1,0.1429,1,1,9,4,5,,5,104.2,1.2857,9,2.6372,9,4,1.4272,1.4272,0.125,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,15,0.5714,3,0.2857,,,,3,,1,1,0.1429,,,,,,,,,,
Marquez Valdes-Scantling,PIT,WR,5,No,No,No,4,2,No,Yes,2,1,0.5,,,,,72,,36,39.6,,,-13.3764,,,4.8907,4.8907,0.4,,,,,,,,,,,,,,10,0.25,,0.75,2,,,,1,,,,0.5,,,2,,,,,,
Hunter Long,JAX,TE,8,No,No,Yes,6,2,Yes,Yes,2,1,0.3333,1,0.5,5,,10,,5,56.3,0.8333,2.5,-3.98,5,,2.9232,2.9232,0.25,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,9,0.1667,,,1,,,,1,,,0.8333,0.5,,,,,,,,,
Kayshon Boutte,NE,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,1,,,,,,,,,,,,,,,,,,
Robbie Chosen,WAS,WR,2,No,No,Yes,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.5,,0.5,,,,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,8,Yes,No,No,4,,No,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
Adam Trautman,DEN,TE,10,No,Yes,No,7,1,No,Yes,1,1,0.1429,1,1,5,1,4,,4,87.5,0.7143,5,-1.0667,5,1,1.5506,1.5506,0.1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,17,0.2857,,,1,,,,,,,0.7143,,,,,,,,,,
Trevor Etienne,CAR,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,17,No,No,No,17,5,No,No,5,1,0.2941,4,0.8,35,4,34,,6.8,95.8,2.0588,7,0.2019,8.75,1,7.2282,7.2282,0.2941,3.5,7.5,5.5,7.5,7.5,7.5,5.5,7.5,7.5,7.5,5.5,7.5,7.5,16,0.2941,2,0.7059,4,,,0.5,1,,,,0.2,,2,,,,,,,
Tommy Tremble,CAR,TE,12,No,Yes,No,12,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.25,,0.3333,,,,,,,,0.4167,,,,,,,,,,
Jonathan Mingo,DAL,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,
Cooper Kupp,SEA,WR,11,No,No,No,9,5,Yes,Yes,5,1,0.5556,2,0.4,30,3,63,,12.6,60.4,3.3333,6,-2.4354,15,1.5,9.7542,9.7542,0.4545,3,5,4,5,5,5,4,5,5,5,4,5,5,16,0.5556,2,0.4444,4,,,1,2,,,,0.4,1,2,1,1,3,1,1,,
Kyle Williams,NE,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,1,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,1,No,No,Yes,1,1,No,Yes,1,1,1,1,1,18,18,,1,,118.8,18,18,12.1729,18,18,1.3315,1.3315,1,1.8,2.8,2.3,3.3,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,3,,4,,,,,4,,,,,,,1,,,,,,,
Tyler Conklin,LAC,TE,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.3333,,,,,,,,0.6667,,,,,,,,,,
Anthony Firkser,DET,TE,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,
