Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,ReceptionsHero,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Kevin Austin,NO,WR,7,No,No,No,7,No,No,0.2857,0.7143,8,1,1,1,1,,0.1429,1,1,1,16,16,,,,1,16,,118.8,2.2857,16,5.9048,,16,1,1.6727,1.6727,0.1429,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,,,,,,,,
Casey Washington,ATL,WR,1,No,No,No,1,No,Yes,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,BUF,WR,9,No,No,Yes,9,No,Yes,0.3333,0.6667,17,4,1,1,0.25,,0.4444,1,,0.25,23,100,,,,2,25,1,51,2.5556,5.75,-5.9733,,23,1,7.1975,7.1975,0.4444,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,,7,1,7,1,,,,,
Juwan Johnson,NO,TE,23,No,No,No,20,No,No,0.25,0.4,17,5,1,4,0.8,,0.25,3,,0.6,74,98,,,1,5,19.6,3,104.2,3.7,14.8,2.3921,0.2,24.6667,3,10.3965,10.3965,0.2174,7.4,10.4,8.9,10.4,11.9,10.4,8.9,10.4,10.4,10.4,8.9,11.9,10.4,,13,6,4.3333,2,0.35,,,,
David Montgomery,DET,RB,9,No,Yes,No,6,Yes,Yes,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Tyler Boyd,TEN,WR,14,No,No,No,14,No,No,0.9286,0.0714,16,2,,1,0.5,,0.1429,1,,0.5,27,54,,,,1,27,2,95.8,1.9286,13.5,3.0266,,27,1,3.8946,3.8946,0.1538,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,,3,1,3,1,,,,,
Andrew Ogletree,IND,TE,11,Yes,Yes,No,4,No,Yes,0.5,,17,1,,,,,0.25,,,,,22,,,,1,22,1,,,,-10.5749,,,,2.0708,2.0708,0.1,,,,,,,,,,,,,,,,,,,0.5,,,,
Jaylen Warren,PIT,RB,9,No,No,No,9,No,No,0.1111,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111,0.7778,,,
Kendrick Bourne,NE,WR,12,No,No,Yes,12,No,Yes,0.1667,0.8333,12,1,,1,1,1,0.0833,,,,,23,,,,1,23,1,39.6,,,-10.2174,,,,2.325,2.325,0.0833,,,,,,,,,,,,,,,,,,,,,,,
Hassan Haskins,LAC,RB,4,No,No,No,2,Yes,No,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Jauan Jennings,SF,WR,21,Yes,No,No,21,No,Yes,0.2857,0.7143,15,8,1,4,0.5,,0.381,4,1,0.5,123,173,,,,8,21.625,2,95.8,5.8571,15.375,3.6647,,30.75,4,14.8878,14.8878,0.381,12.3,16.3,14.3,16.3,16.3,19.3,17.3,16.3,16.3,16.3,14.3,16.3,16.3,,28,12,7,3,,,,1,0.25
Teagan Quitoriano,HST,TE,2,No,Yes,No,2,Yes,Yes,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ashton Dulin,IND,WR,4,Yes,Yes,No,4,No,Yes,0.5,0.25,15,1,,,,,0.25,,,,,13,,,,1,13,,39.6,,,-8.9145,,,,1.7237,1.7237,0.25,,,,,,,,,,,,,,,,,,,0.25,,,,
Quintin Morris,BUF,TE,1,No,No,Yes,1,No,Yes,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ja'Tavion Sanders,CAR,TE,9,No,No,No,7,No,Yes,0.4286,0.2857,16,1,,1,1,,0.1429,1,,1,21,18,,,,1,18,,118.8,3,21,8.0268,,21,1,1.848,1.848,0.1111,2.1,3.1,2.6,3.1,3.6,3.1,2.6,3.1,3.1,3.1,2.6,3.6,3.1,,3,3,3,3,0.2857,,,,
Luke Musgrave,GB,TE,6,Yes,Yes,Yes,5,No,Yes,0.4,,7,1,,1,1,,0.2,1,,1,19,19,,,,1,19,,118.8,3.8,19,8.4045,,19,1,2.5312,2.5312,0.1667,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,,,,,,0.6,,,,
Christian Kirk,JAX,WR,13,No,No,Yes,13,No,Yes,0.8462,0.1538,8,6,2,6,1,,0.4615,4,,0.6667,139,178,,,,5,29.6667,6,109.7,10.6923,23.1667,10.5028,,34.75,4,14.1103,14.1103,0.4615,13.9,17.9,15.9,17.9,17.9,20.9,18.9,17.9,17.9,17.9,15.9,17.9,17.9,,33,9,8.25,2.25,,,1,,
Aaron Jones,MIN,RB,19,No,Yes,Yes,17,No,No,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Luke Farrell,JAX,TE,6,Yes,Yes,No,3,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Joe Mixon,HST,RB,10,No,Yes,No,7,No,Yes,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Kristian Wilkerson,LV,WR,1,No,No,No,1,No,No,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,7,No,No,No,7,Yes,No,0.1429,0.8571,11,4,1,4,1,,0.5714,4,1,1,111,96,,,,1,24,2,118.8,15.8571,27.75,15.765,,27.75,3,5.703,5.703,0.5714,11.1,15.1,13.1,15.1,15.1,18.1,16.1,15.1,15.1,15.1,13.1,15.1,15.1,,15,8,3.75,2,,,,,
Trenton Irwin,CIN,WR,1,No,Yes,Yes,1,Yes,Yes,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Gray,NYG,RB,2,No,No,No,2,No,No,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Jameson Williams,DET,WR,20,No,Yes,Yes,20,No,No,0.25,0.75,15,6,1,5,0.8333,,0.3,4,,0.6667,188,172,2,,,6,28.6667,4,109.7,9.4,31.3333,19.0404,,47,4,10.2924,10.2924,0.3,30.8,34.8,32.8,34.8,34.8,37.8,35.8,34.8,34.8,34.8,32.8,34.8,34.8,,83,2,20.75,0.5,,,,,
Jalen McMillan,TB,WR,16,No,No,No,16,No,No,0.375,0.5625,13,4,1,3,0.75,,0.25,2,,0.5,40,93,,,,3,23.25,1,45.8,2.5,10,-1.7139,,20,2,8.8925,8.8925,0.25,4,6,5,6,6,6,5,6,6,6,5,6,6,,7,3,3.5,1.5,,0.0625,,,
Jahan Dotson,PHI,WR,4,No,No,No,4,No,No,0.25,0.75,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
