name,video_note,n_clips
Brock Bowers,"“Yeah, you talk about Brock Bowers and the Raiders, Mike, are expecting Bowers to bounce back in a big way.” (@dhananizain) | “Now, Tyler Linderbaum, his new teammate, the center coming over from Baltimore, said Bowers is a guy that doesn't talk much.” (@dhananizain)",6
Rachaad White,"“There's a clumsy metaphor I've been using recently that probably isn't serving me, but I'm going to drag it up one more time, which is that in market making, you have almost like the Walter White and Gus Fring split.” (@adamlevitan) | “And the only thing it gave me was a fetish for middle-aged white women.” (@clevta)",6
Greg Dulcich,"“Among tight ends who ran at least 25 routes in 2025, Dulcich ranked 5th in targets per route run, 2nd in yards per route run, and 7th in yards after the catch per reception.” (@coachspeakindex) | “GM John Eric Sullivan was asked back in April which player he is excited about taking a leap in 2026, and Sullivan said Gr",6
Joe Burrow,"“You need the 12-yard line for a first down, Burrow, circling back.” (@sigmundbloom) | “The early feel is if Hendrickson can be himself, then he can help the Ravens win for four, and he can also attack his former quarterback, Joe Burrow.” (@dhananizain)",6
Oronde Gadsden II,"“We look at Aranda Gadsden's stats from last year, 660 receiving yards in a small sample size.” (@fantasypts) | “Right now, Aranda Gadsden is the tight end 16 overall.” (@fantasypts)",6
Colston Loveland,"“Ran for some run after catch in Colston Loveland.” (@dhananizain) | “It's an interesting conversation because two picks later, this is running buddy in Colston Loveland.” (@joshnorris)",5
Drake London,"“Drake London will now be, he signed for four years, over 140 was it?” (@sammonsonnfl) | “Versus London being on the move, creative motions, free releases, to the point where there was a couple plays where he's just lined up as a true ex and it's not as clean for Drake London.” (@sammonsonnfl)",5
Jalen Hurts,"“He is certainly after the kind of year and the criticism and everything that Jalen Hurts got last year certainly seems like this should be something where he would dive into, invest into, try to be the best player he could.” (@sigmundbloom) | “Across several seasons and several different offensive coordinators, Jalen ",5
George Pickens,"“I know you're going to hate this one, but one of the guys not here is George Pickens.” (@dhananizain) | “I don't think it will be to that level, but it's George Pickens.” (@dhananizain)",5
Jayden Reed,"“I still want to draft Jaden Reed as wide receiver 41, but he would be roadblocked in that scenario.” (@mattharmon_byb) | “I've been a longtime fan of Jaden Reed, but I personally think he can play in two receiver sets, but the Packers have just never done it.” (@mattharmon_byb)",5
DJ Moore,"“Day one, I thought he was the future replacement for DJ Moore.” (@joshnorris) | “This receiver room will be just fine without DJ Moore.” (@dhananizain)",4
RJ Harvey,“But I'm probably going to be wrong because my guess is Harvey is going to be the third down back.” (@dhananizain) | “Harvey went on a really nice run in terms of fantasy.” (@joshnorris),4
DJ Giddens,"“It has been Giddens getting the initial first-team reps, although they've both rotated.” (@dhananizain) | “Giddens, I think his decisiveness has improved, and you're seeing a bit of his speed.” (@dhananizain)",4
Isaiah Likely,"“Isaiah Likely signs a big free agent contract, ends up in New York with his old head coach, John Harbaugh.” (@fantasypts) | “One of my favorite later round guys is Isaiah Likely right now.” (@joshnorris)",4
David Njoku,“David Njoku is going to be 30 years old this year.” (@fantasypts) | “And I think a lot of the market is fading him because of the David Njoku signing.” (@fantasypts),4
Kenyon Sadiq,"“He has the athletic tools in his body to be able to do that, so I'm really interested to see where does Kenyon Sadiq land in the 2026 NFL Draft.” (@syedschemes) | “Even in this draft class, he was their second pass catcher after already drafting Kenyon Sadiq.” (@haydenwinks)",3
Justin Herbert,"“Justin Herbert should just have the best season of his career.” (@fantasypts) | “Like if he didn't have this reputation in terms of playoff performances, I think Herbert would be going multiple rounds higher in fantasy football right now.” (@fantasypts)",3
J.K. Dobbins,"“I would give, let's just call it 45% Dobbins.” (@dhananizain) | “Dobbins despite another season-ending injury.” (@joshnorris)",3
Nico Collins,"“It's gigantic in terms of importance because literally if you have the two twin tower wide receivers with him and Nico Collins, both 6'4"", complimentary presence.” (@dhananizain) | “Nico Collins here, I think one of the most underrated receivers in the NFL, and he will be my final pick.” (@mattharmon_byb)",3
Matthew Golden,"“And you look at Matthew Golden, his route participation in the heavy sets down at 43%.” (@joshnorris) | “I think there's a chance that Matthew Golden's going to be good and that he's going to play a lot.” (@joshnorris)",3
Kaelon Black,"“And if that's not enough, I have a beautiful new ferry ready to give any black person a free one-way trip.” (@clevta) | “But those were the reasons why Coach Black got fired.” (@clevta)",3
Josh Jacobs,"“Both 2024 Alexander Madison and 2023 Josh Jacobs had poor yards before contact per rush playing for the Raiders.” (@benjaminsolak) | “You know, we talked about this last week that the Josh Jacobs situation is one to monitor.” (@mattharmon_byb)",3
Mike Evans,"“Before injuries hit in 2025, Evans averaged 11.3 PPR points at 47 yards per game.” (@superrnova38) | “First guy up here, Mike Evans, wide receiver 24 in ADP right now.” (@smitchell17)",3
Trevor Lawrence,"“They felt like him and Trevor Lawrence didn't necessarily have the chemistry there in the deep game early on in the season.” (@dhananizain) | “If you look pre-by to post-by, Trevor Lawrence's average throw was behind the sticks pre-by.” (@benjaminsolak)",3
AJ Barner,"“Franken signing these late round tight ends, he is someone that I really am attacking because I think it's kind of fitting that he's staying next to AJ Barner in drafts.” (@joshnorris) | “Barner celebrating the franchise's second Lombardi trophy just a few months ago and now continuing the celebration how else right h",3
Rome Odunze,"“Bottom line is, if he came in here and was worse in reception perception, 100%, I'd be like, well, yeah, Odunze's better.” (@mattharmon_byb) | “I'm a big fan of what he showed this past season, and I fully believe that year three can be a monster year for Roma Odunze.” (@mattharmon_byb)",3
Kalif Raymond,“Even saw Cleve Raymond make a couple of plays.” (@dhananizain) | “You heard Kalief Raymond's press conference?” (@32beatwriters),2
Jahmyr Gibbs,"“The difference for me, because we're not adjusting for positional value here, Bijan and Gibbs have a chance to be, you know, if they're not already, the top two running backs in the NFL.” (@sammonsonnfl) | “Dan Campbell loved this guy, but just happens to have probably the best running back in the NFL in Jameer Gibbs.",2
Brenton Strange,"“And if you are thinking there is no answer that could possibly be stranger than that question, I'm afraid you are wrong.” (@2hats1mike) | “If you don't know the story of back rooms That's a really strange place to start.” (@brettkollmann)",2
Xavier Hutchinson,"“Xavier Hutchinson is, like, wide receiver six or whatever.” (@sammonsonnfl) | “Xavier Hutchinson is a good dependable three-slash-four.” (@sammonsonnfl)",2
Tank Dell,"“Assuming Tank Dell doesn't exist for the purposes of these discussions, but, like, if he comes back.” (@sammonsonnfl) | “And then you have Tank Dell coming back, who legitimately could be the wild card.” (@sammonsonnfl)",2
Bo Nix,"“He is a great personality, a guy that doesn't have the extra ego, and he's going to gel well with Bo Nix once he's healthy and getting the flow.” (@dhananizain) | “And some good news is I know we are always on Bo Nix.” (@32beatwriters)",2
Ja'Marr Chase,"“Jamar Chase finished as the wide receiver four in points per game after being selected as the wide receiver 21 in underdog drafts.” (@joshnorris) | “So he's an X receiver, allows us to live out of 11 personnel, and move these guys like JSN and Jamar Chase around.” (@mattharmon_byb)",2
Omarion Hampton,"“And I know Amarion Hampton was hurt last year, but I watched basically every snap of Amarion Hampton when he was playing.” (@fantasypts) | “Amarion Hampton, are you ready for this?” (@fantasypts)",2
Mark Andrews,"“I don't think you can make this trade, and Andrew Berry wouldn't have made this trade, without Jared Burse.” (@clevta) | “And Andrew, this dance right here made me hurt my leg up here.” (@mattharmon_byb)",2
Odell Beckham Jr.,"“Run was the highest by a rookie wide receiver with 50 plus targets since Odell Beckham in 2014.” (@joshnorris) | “So Enjoy Football, we find a creator to kind of take over the reins of that, to be the Kenny Beecham of the NBA.” (@brettkollmann)",2
Jaylen Wright,"“PPR Tyler, Goofy Chicken, Emo Cowboy, Nathaniel Wright, and Michael O'Hara.” (@lateroundqb) | “Matt Wright just got tackled by the women patriots!” (@haydenwinks)",2
Ladd McConkey,“Their receiving personnel is kind of Ladd McConkie and a bunch of guys that might be good in partial roles.” (@joshnorris) | “I think McConkie is an excellent player.” (@joshnorris),2
Brenen Thompson,"“And I think, you know, we had Evan handle it more than ever this series because of him, you know, because of Thompson.” (@clevta) | “It's like it just gets him going, you know, and I do think the tactical adjustment we made was avoiding Thompson.” (@clevta)",2
Chris Rodriguez Jr.,"“Learning from seasoned backs like Amir Abdullah and Chris Rodriguez, Being in my second year, just trying to soak in and to get the feedback from them to help understand, you know, the game more.” (@dhananizain) | “And Liam Cohen could really throw Toon some screens this year because Chris Rodriguez is not going to do",2
Dontayvion Wicks,"“A, Wicks, I just think he has a very unique skill set of being able to get in and out of breaks and be really efficient at the line of scrimmage.” (@dhananizain) | “Like Dontavion Wicks moves on, Romeo Dobbs moves on.” (@mattharmon_byb)",2
Adam Randall,“Adam Randall is free in drafts right now.” (@jamesdkoh) | “And you can already see Antoine Randall-El and him working together.” (@32beatwriters),2
Tyjae Spears,“We talk about our defense being the tip of the spear of the team.” (@syedschemes) | “We always talk about being the tip of the spear.” (@syedschemes),2
Patrick Mahomes,"“A week ago, he's the back of Mahomes, double clutch, in traffic, and caught on the run where she raced through the secondary to the 42-yard line.” (@superrnova38) | “And some men have Patrick Mahomes past ADP.” (@patkerrane)",2
Rashee Rice,"“There's a 30-day prison sentence that is happening for Rasheed Rice.” (@sigmundbloom) | “But now in year two, I think there's a very real chance that he could step in now that he's healthy and do a lot of the things that they were asking Rasheed Rice to do.” (@fantasypts)",2
Zach Charbonnet,"“If he's looking good in that offense for those first 10 weeks, not only is that incentive for the Seahawks to slow play Zach Charbonnet's return, but it might also be a good chance for him to make his 2026 debut.” (@coachspeakindex) | “So, let someone else step on that Zach Charbonnet landmine.” (@coachspeakindex)",2
Sam Roush,"“He runs, Roush is like a wide receiver when he's six foot five, 255 pounds.” (@dhananizain)",1
Ted Hurst,"“And just to watch the steps that they're taking from year one to year two, when it comes to Mac and Tez, and watching them help Ted Hurst out as well.” (@dhananizain)",1
Will Shipley,"“And during that bye week, you know, we read Duraco, we read John Shipley.” (@joshnorris)",1
Denzel Boston,"“He said he wants to be a Patriot, though, and stay in Boston.” (@32beatwriters)",1
Cam Ward,"“Like, what if Cam Ward plays, like, the first overall pick like he was last year?” (@joshnorris)",1
Alvin Kamara,“I'm assuming Alvin Kamara is going to retire or get released.” (@ffdataroma),1
Olamide Zaccheaus,“He's going to take the role of Olamide Zaccheaus from day one.” (@joshnorris),1
Rico Dowdle,“He could be a guy that defines this offense when they were at their best Rico Dowdle was playing really well.” (@adamlevitan),1
Charlie Kolar,"“Yeah, they add Charlie Kolar, Alec Ingold.” (@joshnorris)",1
Saquon Barkley,"“We'll be able to see, but I could imagine Saquon Barkley running this little screen where I think the Eagle screen game, I certainly could use a little bit of improvement, get guys in space, get guys in the move, get some cheap completions.” (@syedschemes)",1
Kendrick Bourne,"“12.6 of 6 from the free throw line to go along with 13 rebounds, and again, when you see the disparity and how that's borne out, 6 offensive boards just doing Angel Reese things.” (@ahaanrungta)",1
Dalton Schultz,"“And so people like Pat McAfee and Jordan Schultz or whatever, like everyone starts texting Myles Garrett, and unlike you assume, they just get shut down, it's like, nah, I'm happy in retirement.” (@sammonsonnfl)",1
Riley Leonard,"“Leonard Floyd, you're going back to this, going back to this pass rush grade.” (@sammonsonnfl)",1
Quinn Ewers,“Like Quinn Ewers right now had a really great practice.” (@dhananizain),1
Jacoby Brissett,“Jacoby Brissette is their future quarterback.” (@smitchell17),1
Seth McGowan,"“Now, McGowan is a guy I am a little more confident.” (@dhananizain)",1
KC Concepcion,"“Yeah, let me get you excited about a Browns wide receiver, Casey Concepcion, 92nd percentile success rate versus man coverage, 87th percentile versus press coverage.” (@jamesdkoh)",1
Christian Kirk,"“We've gotten some reps together just because, you know, before it was Christian was our slot, Christian Kirk.” (@dhananizain)",1
Quinshon Judkins,"“When I was talking about Quincy Judkins playing in control and his feet being underneath him and playing more athletic than what his, his numbers would suggest, the inverse is true for Toon.” (@joshnorris)",1
De'Von Achane,“He should be watching as much Devon Achan tape as possible because that's like what he should look like.” (@joshnorris),1
Calvin Ridley,“Here they are going to double him with a Fonga right here and Riley Moss.” (@dhananizain),1
Baker Mayfield,"“The Bucs, obviously, are a talented team with a quarterback in Baker Mayfield ready to get back into having playoff success.” (@dhananizain)",1
Oscar Delp,"“You know, a player like Oscar Delp from Georgia, who was drafted in the third round by the New Orleans Saints.” (@dbro_ffb)",1
Jordyn Tyson,“They added Jordan Tyson in the draft to go alongside Chris Alave.” (@fantasypts),1
Stefon Diggs,"“Yeah, they put it in Diggs' contract, which, you know, which was controversial.” (@dhananizain)",1
Woody Marks,"“And so him and I are really, you know, hitting a lot of early marks now in OTA.” (@dhananizain)",1
Makai Lemon,"“Makai Lemon's good, and I can get access to Makai Lemon right now in the eighth round in FFPC drafts.” (@fantasypts)",1
Courtland Sutton,"“Portland Sutton got up on the podium today and he said, I'm sick of the bashing that's happening around our tight end room, and he wanted that to be known publicly.” (@dhananizain)",1
Matthew Stafford,"“For the Rams, an injury to Matthew Stafford, who is 38 years old, at the quarterback position would certainly derail their season.” (@thepowerrank)",1
Nick Chubb,“I learned how to be egoless from Nick Chubb.” (@sammonsonnfl),1
Harold Fannin Jr.,"“One guy that I am a huge fan of, who I think is going to be very talented, is Fannin Jr.” (@clevta)",1
Malik Willis,"“Oze loads up Will's phone, leads him to this sort of fake Google page, tells him to look up the stat.” (@clevta)",1
Jalen Royals,"“I will gladly give any third round pick for Jalen Royals, or I'll try to sneak him on some other type of trade where, you know, it's a bigger trade like, hey, throw me Royals to kind of seal the deal.” (@fantasypts)",1
Jadarian Price,"“Also, first round pick Jadarian Price is going to have a very long runway to try and prove to the coaching staff that he should be RB1.” (@coachspeakindex)",1
Sam Darnold,“He's going to have a full off season now to build chemistry with Sam Darnold as well.” (@jamesdkoh),1
Pat Bryant,"“When you got Kobe Bryant, a good coverage safety.” (@32beatwriters)",1
Darren Waller,"“I mean, the next closest, if you hit the right thresholds here, was Darren Waller, who was at 10.3.” (@joshnorris)",1
Colby Parkinson,"“Colby Parkinson's, I think really actually a pretty solid player for him.” (@joshnorris)",1
Jared Goff,"“What we need to see in the coming years, and I think what we can see, and he's got the coach to do it, who had Jared Goff playing like a machine.” (@benjaminsolak)",1
George Kittle,"“With Kittle, I think I have some downside risk.” (@fantasypts)",1
