"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"290","Keleki Latu","BUF","TE","5","2025","31","0.13","1.13","0.24","9","","","0.00","22","0.18","1.59","0.34","19","0.05","0.74","0.13","12","0.25","1.75","0.43"
"291","Jake Bobo","SEA","WR","11","2025","31","0.06","0.65","0.13","6","","","0.00","24","0.08","0.83","0.17","14","0.07","1.21","0.19","17","0.06","0.18","0.08"
"292","Jalen Royals","KC","WR","7","2025","31","0.10","0.13","0.08","9","0.11","","0.00","21","0.10","0.19","0.11","17","0.06","","0.00","14","0.14","0.29","0.17"
"293","Brenden Bates","CLV, HST","TE","9","2025","29","0.17","1.66","0.30","5","","","0.00","24","0.21","2.00","0.37","16","0.19","1.44","0.27","13","0.15","1.92","0.35"
"294","Ben Sims","GB, MIN","TE","9","2025","29","0.21","1.03","0.21","3","","","0.00","25","0.24","1.20","0.24","14","0.14","1.29","0.20","15","0.27","0.80","0.21"
"295","Robert Tonyan","KC","TE","16","2025","28","0.04","0.04","0.04","2","","","0.00","26","0.04","0.04","0.04","15","0.07","0.07","0.07","13","","","0.00"
"296","Anthony Gould","IND","WR","11","2025","28","0.07","0.21","0.09","6","","","0.00","21","0.10","0.29","0.12","8","","","0.00","20","0.10","0.30","0.13"
"297","Tom Kennedy","DET","WR","6","2025","26","0.15","1.38","0.29","4","","","0.00","22","0.18","1.64","0.35","15","0.13","0.73","0.21","11","0.18","2.27","0.41"
"298","LaJohntay Wester","BLT","WR","16","2025","26","","","0.00","10","","","0.00","16","","","0.00","13","","","0.00","13","","","0.00"
"299","Ross Dwelley","DET","TE","10","2025","26","0.15","0.27","0.10","6","0.33","","0.00","20","0.10","0.35","0.14","15","0.13","0.27","0.09","11","0.18","0.27","0.12"
"300","Britain Covey","PHI","WR","6","2025","26","0.15","0.77","0.15","10","","","0.00","16","0.25","1.25","0.25","12","0.08","1.00","0.18","14","0.21","0.57","0.13"
"301","Lucas Krull","DEN","TE","3","2025","26","0.15","0.58","0.13","1","","","0.00","24","0.17","0.63","0.15","14","0.14","","0.00","12","0.17","1.25","0.29"
"302","Colson Yankoff","WAS","TE","14","2025","26","0.12","0.69","0.15","6","0.17","0.67","0.23","20","0.10","0.70","0.12","16","0.13","1.13","0.24","10","0.10","","0.00"
"303","David Martin-Robinson","TEN","TE","15","2025","25","0.20","1.20","0.52","6","0.17","1.00","0.27","17","0.18","1.35","0.25","13","0.23","2.23","0.45","12","0.17","0.08","0.59"
"304","Albert Okwuegbunam","LV","TE","1","2025","23","0.26","1.57","0.37","10","0.10","0.50","0.15","13","0.38","2.38","0.55","13","0.23","1.62","0.32","10","0.30","1.50","0.45"
"305","Devin Culp","TB","TE","11","2025","23","0.04","0.26","0.33","6","","","0.00","16","","","0.00","11","0.09","0.55","0.69","12","","","0.00"
"306","Devin Duvernay","CHI","WR","17","2025","22","0.23","1.18","0.21","8","0.38","0.25","0.15","13","0.15","1.85","0.26","13","0.23","0.15","0.09","9","0.22","2.67","0.38"
"307","Ryan Miller","TB","WR","13","2025","22","0.18","1.55","0.52","5","","","0.00","17","0.24","2.00","0.67","7","0.14","","0.00","15","0.20","2.27","0.76"
"308","Simi Fehoko","ARZ","WR","7","2025","21","","","0.00","4","","","0.00","13","","","0.00","13","","","0.00","8","","","0.00"
"309","Xavier Restrepo","TEN","WR","2","2025","21","0.29","1.95","0.34","3","","","0.00","18","0.33","2.28","0.39","7","0.29","2.00","0.34","14","0.29","1.93","0.34"
"310","Ronnie Bell","NO","WR","2","2025","20","0.20","1.15","0.52","3","","","0.00","16","0.25","1.44","0.64","9","0.22","","0.00","11","0.18","2.09","0.94"
"311","Moliki Matavao","NO","TE","6","2025","19","0.11","0.53","0.16","3","","","0.00","15","0.13","0.67","0.20","11","0.09","0.55","0.15","8","0.13","0.50","0.18"
"312","Sal Cannella","CLV","TE","2","2025","19","0.21","0.58","0.16","4","0.50","1.50","0.40","15","0.13","0.33","0.10","11","0.36","1.00","0.28","8","","","0.00"
"313","Russell Gage","SF","WR","1","2025","19","","","0.00","5","","","0.00","10","","","0.00","9","","","0.00","10","","","0.00"
"314","Pharaoh Brown","ARZ","TE","7","2025","18","0.11","0.06","0.12","3","","","0.00","13","0.08","0.08","0.08","6","","","0.00","12","0.17","0.08","0.18"
"315","Ben Yurosek","MIN","TE","12","2025","18","0.17","0.78","0.19","3","","","0.00","15","0.20","0.93","0.23","10","","","0.00","8","0.38","1.75","0.43"
"316","Jelani Woods","NYJ","TE","4","2025","18","0.11","0.22","0.08","2","","","0.00","16","0.13","0.25","0.09","7","","","0.00","11","0.18","0.36","0.13"
"317","Shedrick Jackson","LV","WR","5","2025","17","0.29","3.29","0.94","5","0.40","2.20","0.42","12","0.25","3.75","1.13","11","0.45","5.09","1.42","6","","","0.00"
"318","Bryce Oliver","TEN","WR","3","2025","17","0.06","0.47","0.11","4","0.25","2.00","0.45","13","","","0.00","10","0.10","0.80","0.18","7","","","0.00"
"319","Tai Felton","MIN","WR","14","2025","17","0.18","1.47","0.32","4","0.25","2.25","0.48","13","0.15","1.23","0.28","7","0.14","1.29","0.27","10","0.20","1.60","0.36"
"320","Chris Manhertz","NYG","TE","17","2025","16","0.13","0.44","0.11","4","","","0.00","11","0.18","0.64","0.15","10","0.10","","0.00","6","0.17","1.17","0.28"
"321","Dareke Young","SEA","WR","9","2025","16","0.19","3.00","0.43","3","","","0.00","13","0.23","3.69","0.52","7","0.29","6.86","0.97","9","0.11","","0.00"
"322","Alex Bachman","LV","WR","13","2025","16","0.19","0.75","0.20","3","0.67","3.00","0.63","12","0.08","0.25","0.11","11","0.27","1.09","0.29","5","","","0.00"
"323","Laquon Treadwell","IND","WR","9","2025","15","","","0.00","3","","","0.00","12","","","0.00","11","","","0.00","4","","","0.00"
"324","Jared Wayne","HST","WR","1","2025","14","0.14","1.43","0.29","2","","","0.00","12","0.17","1.67","0.33","9","0.22","2.22","0.44","5","","","0.00"
"325","Jakobie Keeney-James","GB","WR","1","2025","14","0.14","1.07","0.25","0","","","0.00","13","0.15","1.15","0.27","8","0.13","0.88","0.21","6","0.17","1.33","0.30"
"326","Jordan Watkins","SF","WR","4","2025","14","0.21","1.86","0.33","3","0.33","6.33","0.97","8","0.13","","0.00","6","0.17","3.17","0.48","8","0.25","0.88","0.21"
"327","Ke'Shawn Williams","CIN, PIT","WR","11","2025","13","0.08","0.38","0.19","3","","","0.00","10","0.10","0.50","0.15","7","0.14","0.71","0.21","6","","","0.00"
"328","Michael Bandy","DEN","WR","4","2025","13","0.31","3.85","1.15","2","0.50","8.00","1.30","11","0.27","3.09","1.13","7","0.43","6.29","1.91","6","0.17","1.00","0.27"
"329","Cameron Latu","PHI","TE","15","2025","12","","","0.00","2","","","0.00","10","","","0.00","7","","","0.00","5","","","0.00"
"330","Tay Martin","WAS","WR","3","2025","12","0.17","1.92","0.36","4","","","0.00","8","0.25","2.88","0.54","9","0.22","2.56","0.48","3","","","0.00"
"331","Jason Brownlee","KC","WR","6","2025","12","0.08","","0.00","5","","","0.00","6","","","0.00","7","","","0.00","5","0.20","","0.00"
"332","Connor Heyward","PIT","TE","16","2025","11","0.36","1.91","2.49","1","1.00","","0.00","7","0.29","1.29","0.41","3","0.33","1.00","0.43","8","0.38","2.25","1.23"
"333","James Mitchell","CAR","TE","5","2025","11","0.27","2.55","0.53","2","0.50","4.50","0.95","8","0.25","2.38","0.49","6","0.17","1.50","0.32","5","0.40","3.80","0.78"
"334","Thomas Fidone","NYG","TE","2","2025","11","","","0.00","2","","","0.00","9","","","0.00","6","","","0.00","5","","","0.00"
"335","Charlie Jones","CIN","WR","14","2025","10","0.10","","0.00","4","0.25","","0.00","6","","","0.00","2","","","0.00","8","0.13","","0.00"
"336","Tim Jones","MIN, JAX","WR","4","2025","9","0.11","1.67","0.28","6","0.17","2.50","0.42","3","","","0.00","6","0.17","2.50","0.42","3","","","0.00"
"337","Nick Kallerup","SEA","TE","9","2025","9","0.11","","0.00","4","0.25","","0.00","4","","","0.00","5","0.20","","0.00","4","","","0.00"
"338","Drake Dabney","GB","TE","2","2025","9","0.22","0.33","0.14","0","","","0.00","8","0.13","0.38","0.16","1","","","0.00","8","0.25","0.38","0.16"
"339","Nick Vannett","LA, MIN","TE","5","2025","9","","","0.00","1","","","0.00","6","","","0.00","6","","","0.00","3","","","0.00"
"340","Zaire Mitchell-Paden","NO, BLT","TE","8","2025","9","0.33","1.89","0.41","3","0.33","","0.00","6","0.33","2.83","0.62","8","0.25","0.38","0.16","1","1.00","14.00","2.40"
"341","Jared Wiley","KC","TE","4","2025","9","0.11","0.44","0.16","3","0.33","1.33","0.47","6","","","0.00","5","0.20","0.80","0.28","4","","","0.00"
"342","Quentin Skinner","NYJ","WR","1","2025","8","0.13","1.25","0.50","1","","","0.00","7","0.14","1.43","0.29","3","0.33","3.33","0.67","5","","","0.00"
"343","Samori Toure","NO","WR","1","2025","8","0.38","0.38","0.16","3","0.67","1.00","0.43","5","0.20","","0.00","5","0.40","0.60","0.26","3","0.33","","0.00"
"344","Will Mallory","IND","TE","2","2025","7","0.14","2.29","0.37","0","","","0.00","7","0.14","2.29","0.37","5","0.20","3.20","0.52","2","","","0.00"
"345","Nikko Remigio","KC","WR","14","2025","7","0.14","3.00","0.60","3","","","0.00","4","0.25","5.25","0.78","5","0.20","4.20","0.62","2","","","0.00"
"346","Deven Thompkins","ATL","WR","7","2025","7","0.43","3.86","0.89","2","0.50","9.50","1.45","5","0.40","1.60","0.56","5","0.60","5.40","1.14","2","","","0.00"
"347","Carter Runyon","LV","TE","10","2025","7","0.14","0.43","0.19","0","","","0.00","6","0.17","0.50","0.22","3","0.33","1.00","0.43","4","","","0.00"
"348","Treyton Welch","NO","TE","3","2025","6","","","0.00","2","","","0.00","4","","","0.00","3","","","0.00","3","","","0.00"
"349","Giovanni Ricci","DET","TE","3","2025","6","0.17","","0.00","3","0.33","","0.00","3","","","0.00","0","","","0.00","6","0.17","","0.00"
"350","Teagan Quitoriano","ATL","TE","15","2025","5","","","0.00","0","","","0.00","4","","","0.00","0","","","0.00","5","","","0.00"
"351","Cam Grandy","CIN","TE","5","2025","5","0.40","1.40","0.54","1","","","0.00","3","0.67","2.33","0.90","1","1.00","1.00","1.10","4","0.25","1.50","0.40"
"352","Brayden Willis","SF","TE","6","2025","5","0.20","","0.00","1","","","0.00","3","0.33","","0.00","1","1.00","","0.00","4","","","0.00"
"353","Chris Blair","ATL","WR","3","2025","5","","","0.00","0","","","0.00","5","","","0.00","1","","","0.00","4","","","0.00"
"354","Malik Turner","SF","WR","3","2025","5","","","0.00","3","","","0.00","2","","","0.00","3","","","0.00","2","","","0.00"
"355","Dalevon Campbell","CAR","WR","2","2025","5","","","0.00","1","","","0.00","4","","","0.00","2","","","0.00","3","","","0.00"
"356","Dalen Cambre","NYG","WR","6","2025","4","","","0.00","2","","","0.00","2","","","0.00","4","","","0.00","0","","","0.00"
"357","Stephen Carlson","CHI","TE","2","2025","4","","","0.00","0","","","0.00","4","","","0.00","2","","","0.00","2","","","0.00"
"358","Travis Vokolek","ARZ","TE","3","2025","4","","","0.00","0","","","0.00","3","","","0.00","1","","","0.00","3","","","0.00"
"359","CJ Dippre","NE","TE","2","2025","3","","","0.00","1","","","0.00","2","","","0.00","2","","","0.00","1","","","0.00"
"360","Brandon Smith","NYJ","WR","1","2025","3","","","0.00","2","","","0.00","1","","","0.00","3","","","0.00","0","","","0.00"
"361","Steven Sims","ARZ","WR","3","2025","3","0.33","","0.00","0","","","0.00","3","0.33","","0.00","2","0.50","","0.00","1","","","0.00"
"362","Marcedes Lewis","DEN","TE","5","2025","3","","","0.00","0","","","0.00","3","","","0.00","1","","","0.00","2","","","0.00"
"363","Xavier Gipson","NYJ, PHI","WR","6","2025","3","0.67","2.00","0.87","2","0.50","1.50","0.65","1","1.00","3.00","1.30","2","0.50","1.50","0.65","1","1.00","3.00","1.30"
"364","Ja'Corey Brooks","WAS","WR","1","2025","2","","","0.00","1","","","0.00","1","","","0.00","2","","","0.00","0","","","0.00"
"365","Sean McKeon","IND","TE","1","2025","2","","","0.00","0","","","0.00","2","","","0.00","1","","","0.00","1","","","0.00"
"366","Jacoby Jones","WAS","WR","1","2025","2","0.50","12.50","1.75","1","1.00","25.00","3.50","1","","","0.00","1","1.00","25.00","3.50","1","","","0.00"
"367","Mecole Hardman","BUF","WR","2","2025","2","0.50","","0.00","0","","","0.00","2","0.50","","0.00","1","","","0.00","1","1.00","","0.00"
"368","Hayden Rucci","MIA","TE","4","2025","2","","","0.00","0","","","0.00","2","","","0.00","0","","","0.00","2","","","0.00"
"369","Zach Horton","DET","TE","2","2025","1","","","0.00","0","","","0.00","1","","","0.00","1","","","0.00","0","","","0.00"
"370","Maurice Alexander","CHI","WR","1","2025","1","","","0.00","0","","","0.00","1","","","0.00","1","","","0.00","0","","","0.00"
"371","Coleman Owen","IND","WR","2","2025","1","1.00","","0.00","1","1.00","","0.00","0","","","0.00","1","1.00","","0.00","0","","","0.00"
"372","Jalen Cropper","DAL","WR","3","2025","1","","","0.00","0","","","0.00","1","","","0.00","0","","","0.00","1","","","0.00"
"373","Myles Price","MIN","WR","16","2025","1","","","0.00","1","","","0.00","0","","","0.00","1","","","0.00","0","","","0.00"
"374","E.J. Jenkins","PHI","TE","2","2025","1","","","0.00","0","","","0.00","1","","","0.00","0","","","0.00","1","","","0.00"
"375","Ko Kieft","TB","TE","3","2025","1","","","0.00","0","","","0.00","1","","","0.00","0","","","0.00","1","","","0.00"
"376","Jimmy Holiday","KC","WR","1","2025","1","","","0.00","0","","","0.00","1","","","0.00","0","","","0.00","1","","","0.00"
