Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterContactTotal,DropsTotal,TargetedReadFirstTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterContact,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Javon Baker,NE,WR,5,No,Yes,No,5,No,Yes,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audric Estime,DEN,RB,1,No,Yes,No,1,No,No,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Washington,PIT,TE,26,No,Yes,No,18,No,No,0.2778,0.1667,,,17,,0.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Ertz,WAS,TE,29,No,Yes,Yes,29,No,No,0.7586,,2.6005,2.6005,17,,0.2414,2,1,0.5,0.069,1,0.5,37,29,20,10,,95.8,1.2759,18.5,10.3067,37,29,1,0.3333,3.7,4.7,4.2,4.7,5.2,4.7,4.2,4.7,4.7,4.7,4.2,5.2,4.7,20,,1,,20,,,,,,,,2,2
Davis Allen,LA,TE,4,No,Yes,No,2,No,No,0.5,,,,14,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DEN,RB,31,No,Yes,No,24,No,No,,0.0417,3.0862,3.0862,17,0.8333,0.125,2,1,0.5,0.0833,1,0.5,5,5,11,5.5,,56.3,0.2083,2.5,-4.0414,5,5,,0.1818,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,,,,1,,,,,,,,,
River Cracraft,MIA,WR,4,No,Yes,No,4,No,No,,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Akers,MIN,RB,13,Yes,Yes,No,9,No,No,0.1111,,,,16,0.8889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,41,No,Yes,No,40,No,No,0.15,0.85,1.7197,1.7197,17,,,1,1,1,0.025,1,1,15,,15,15,,118.8,0.375,15,4.5903,15,,1,0.0833,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,,,,,,1,1,,,,,,
JaMycal Hasty,NE,RB,4,Yes,Yes,No,2,No,No,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,12,No,Yes,No,10,No,No,,0.3,,,17,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,23,No,Yes,No,23,No,No,0.6087,0.3913,1.7902,1.7902,17,,,1,,,0.0435,,,,,27,27,1,39.6,,,-11.9133,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Jennings,NE,RB,2,No,Yes,No,2,No,Yes,,,2.9678,2.9678,2,1,,1,,,0.5,,,,,28,28,1,39.6,,,-8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Shavers,BUF,WR,1,No,Yes,Yes,1,No,No,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,43,No,Yes,Yes,42,No,No,0.5,0.5,3.3599,3.3599,16,,,2,1,0.5,0.0476,1,0.5,24,6,41,20.5,1,54.2,0.5714,12,1.4418,24,6,1,0.1176,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3,,,,3,,,,,,,,,
DJ Chark,LAC,WR,2,Yes,Yes,No,2,No,No,,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Thomas,CAR,TE,1,No,No,Yes,1,No,No,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,40,No,Yes,No,38,No,No,0.3421,0.6579,14.072,14.072,17,,,6,2,0.3333,0.1579,2,0.3333,52,4,136,22.6667,2,66,1.3684,8.6667,-3.2428,26,2,2,0.4286,5.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,6,,,,3,1,,,,2,,,2,1
Jahmyr Gibbs,DET,RB,10,Yes,Yes,No,7,No,No,0.1429,,1.6068,1.6068,17,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odell Beckham,MIA,WR,11,No,Yes,No,11,No,No,0.6364,0.3636,1.5287,1.5287,9,,,1,1,1,0.0909,1,1,11,1,10,10,,112.5,1,11,3.5,11,1,1,0.2,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,,,,,,,,,,
Cody White,SEA,WR,1,Yes,Yes,No,1,No,Yes,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Turner,LV,WR,13,No,No,No,13,No,No,0.8462,0.1538,1.7026,1.7026,12,,,1,1,1,0.0769,,,,,8,8,,39.6,,,-7.5106,,,,0.1667,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Dalton Kincaid,BUF,TE,15,No,Yes,Yes,15,No,No,0.8667,0.0667,,,13,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers,LV,WR,28,Yes,Yes,No,28,No,No,0.3214,0.6786,2.9044,2.9044,15,,,2,1,0.5,0.0714,1,0.5,21,,41,20.5,2,87.5,0.75,10.5,-0.5523,21,,1,0.1818,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,,,,,,,,1,,,,,
Hunter Henry,NE,TE,33,Yes,Yes,No,30,No,No,0.4667,0.1,4.9691,4.9691,16,,0.4333,1,1,1,0.0333,1,1,17,8,9,9,,118.8,0.5667,17,9.7404,17,8,1,0.2,1.7,2.7,2.2,2.7,3.2,2.7,2.2,2.7,2.7,2.7,2.2,3.2,2.7,,,,,,,,,,,,,,
Nelson Agholor,BLT,WR,23,No,Yes,No,21,No,No,0.5238,0.381,,,14,,0.0952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Reynolds,JAX,WR,13,No,Yes,Yes,13,No,No,0.0769,0.9231,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Gray,KC,TE,12,No,Yes,No,11,No,No,0.6364,0.0909,3.0089,3.0089,17,,0.2727,2,1,0.5,0.1818,1,0.5,10,6,9,4.5,,64.6,0.9091,5,-1.2734,10,6,1,0.6667,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,,,1,,,,,,,,,,,
Gabe Davis,JAX,WR,23,Yes,Yes,Yes,23,No,Yes,0.3913,0.6087,2.1,2.1,10,,,1,1,1,0.0435,1,1,21,,21,21,1,158.3,0.913,21,9.7607,21,,1,0.1667,8.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,,,,,,,,,,1,1,1,,
Brian Thomas,JAX,WR,42,No,Yes,Yes,42,No,No,0.2619,0.7381,7.1089,7.1089,17,,,3,3,1,0.0714,3,1,54,22,32,10.6667,,118.8,1.2857,18,9.5856,18,7.3333,2,0.2727,5.4,8.4,6.9,8.4,8.4,8.4,6.9,8.4,8.4,8.4,6.9,8.4,8.4,4,,1,,1.3333,,,,,,,,,
DeAndre Hopkins,KC,WR,21,No,Yes,No,21,No,Yes,0.2381,0.7619,3.4525,3.4525,16,,,1,,,0.0476,,,,,16,16,,39.6,,,-10.0952,,,,0.25,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,
Tim Patrick,DET,WR,10,Yes,Yes,No,10,No,No,0.3,0.7,3.8478,3.8478,16,,,2,1,0.5,0.2,1,0.5,27,18,63,31.5,1,56.3,2.7,13.5,2.2731,27,18,1,0.4,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,1,,1,,1,,,,,,,,,
Ezekiel Elliott,DAL,RB,3,No,No,No,1,No,No,,,1.3542,1.3542,15,1,,1,1,1,1,1,1,15,26,-11,-11,,118.8,15,15,10.4713,15,26,1,0.5,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,1,,,,1,,,,,,,,1,1
Stone Smartt,LAC,TE,6,Yes,Yes,No,5,No,No,0.6,0.2,2.8884,2.8884,14,,0.2,2,1,0.5,0.4,1,0.5,19,9,26,13,,83.3,3.8,9.5,0.5203,19,9,1,0.6667,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,1,,,,1,,,,,,,,,
T.J. Hockenson,MIN,TE,22,Yes,Yes,No,22,No,No,0.2727,0.1818,3.3525,3.3525,10,,0.5455,1,,,0.0455,,,,,21,21,1,,,,-12.9635,,,,0.1667,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
Simi Fehoko,LAC,WR,6,No,Yes,No,6,No,No,0.1667,0.8333,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,20,No,Yes,No,20,No,No,0.2,0.8,1.8968,1.8968,16,,,1,,,0.05,,,,,18,18,,39.6,,,-10.8991,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Oliver,TEN,WR,3,No,Yes,No,3,No,No,0.3333,0.6667,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,5,No,Yes,Yes,4,No,No,0.75,,,,17,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Culp,TB,TE,2,No,Yes,No,2,No,No,0.5,,1.572,1.572,5,,0.5,1,1,1,0.5,1,1,16,5,11,11,,118.8,8,16,7.2598,16,5,1,1,1.6,2.6,2.1,2.6,3.1,2.6,2.1,2.6,2.6,2.6,2.1,3.1,2.6,5,,,,5,,,,,,,,,
Tyrone Tracy,NYG,RB,15,No,No,No,13,No,No,0.2308,0.0769,3.8919,3.8919,17,0.6923,,1,1,1,0.0769,1,1,2,,11,11,,118.8,0.1538,2,-5.2558,2,,1,0.25,6.2,7.2,6.7,7.7,7.2,7.2,6.7,7.2,7.2,7.2,6.7,7.2,7.2,,,,,,1,,,1,1,1,1,,
Michael Mayer,LV,TE,13,Yes,Yes,No,13,No,No,0.3846,0.2308,,,11,,0.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,42,No,Yes,No,41,No,No,0.2683,0.7317,12.177,12.177,17,,,6,3,0.5,0.1463,2,0.3333,54,10,140,23.3333,4,27.8,1.3171,9,-1.2465,27,5,2,0.3529,5.4,7.4,6.4,7.4,7.4,7.4,6.4,7.4,7.4,7.4,6.4,7.4,7.4,6,1,2,0.1667,3,,,,,,,,,
Collin Johnson,CHI,WR,1,No,Yes,Yes,1,No,No,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,4,No,Yes,No,4,No,No,0.25,,1.6098,1.6098,15,0.75,,1,,,0.25,,,,,-2,-2,,39.6,,,-6.198,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,8,No,Yes,No,8,No,No,0.25,0.75,1.459,1.459,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Chandler,MIN,RB,5,No,Yes,Yes,4,No,No,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hooper,NE,TE,20,No,Yes,No,18,No,Yes,0.0556,0.2778,1.4885,1.4885,17,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britain Covey,PHI,WR,3,No,Yes,No,3,No,No,0.6667,0.3333,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Watson,KC,WR,25,No,Yes,No,24,No,No,0.4167,0.5833,4.6366,4.6366,17,,,2,2,1,0.0833,2,1,30,,30,15,,118.8,1.25,15,5.0457,15,,2,0.2857,3,5,4,5,5,5,4,5,5,5,4,5,5,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,6,No,Yes,No,4,No,No,,0.25,,,11,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,15,No,Yes,No,11,No,No,0.2727,,1.5036,1.5036,17,0.7273,,1,1,1,0.0909,1,1,8,4,4,4,,100,0.7273,8,1.3381,8,4,,0.2,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1,,,,1,,,,,,,,,
Mike Evans,TB,WR,21,No,Yes,No,21,No,No,0.4762,0.5238,5.4445,5.4445,14,,,2,1,0.5,0.0952,1,0.5,57,34,43,21.5,2,135.4,2.7143,28.5,17.9587,57,34,1,0.4,11.7,12.7,12.2,12.7,12.7,12.7,12.2,12.7,12.7,12.7,12.2,12.7,12.7,,,,,,1,,,,1,1,,,
Jordan Addison,MIN,WR,34,Yes,Yes,No,34,No,No,0.2647,0.7353,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lockett,SEA,WR,16,No,Yes,No,16,No,No,0.375,0.625,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keon Coleman,BUF,WR,14,No,Yes,No,14,No,Yes,0.1429,0.8571,3.7758,3.7758,13,,,2,1,0.5,0.1429,1,0.5,25,,58,29,2,95.8,1.7857,12.5,0.5219,25,,1,0.4,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,1,,,,1,,,,,,,,1,1
Lil'Jordan Humphrey,DEN,WR,16,No,Yes,No,16,No,No,0.625,0.375,3.1301,3.1301,17,,,1,1,1,0.0625,,,,,10,10,,39.6,,,-7.5,,,,0.25,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,
Xavier Gipson,NYJ,WR,2,No,Yes,No,2,No,No,,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedrick Wilson,NO,WR,7,No,Yes,No,7,No,No,0.2857,0.7143,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Bigsby,JAX,RB,11,No,Yes,Yes,9,No,No,,,1.0944,1.0944,16,1,,1,1,1,0.1111,,,,,-6,-6,,39.6,,,-5.0893,,,,0.3333,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Mike Woods,CLV,WR,13,No,Yes,No,11,No,No,0.2727,0.6364,,,5,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Fortson,KC,TE,1,No,No,Yes,1,No,Yes,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Tucker,TB,RB,3,No,Yes,No,3,No,No,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramel Keyton,LV,WR,1,Yes,Yes,No,1,No,No,,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,1,No,Yes,Yes,1,No,No,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecole Hardman,KC,WR,2,No,No,No,2,No,No,0.5,0.5,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Stoll,MIA,TE,4,No,Yes,No,3,No,No,,0.3333,,,9,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,3,No,Yes,Yes,2,No,No,0.5,,,,17,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Adkins,DEN,TE,10,No,Yes,No,6,No,No,,0.3333,,,17,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Taylor,SF,WR,1,No,Yes,No,1,No,No,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaelon Darden,SEA,WR,3,No,Yes,No,3,No,No,,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyy Moore,KC,WR,1,No,No,Yes,1,No,No,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Conley,SF,WR,8,No,Yes,No,8,No,No,0.25,0.75,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Homer,CHI,RB,5,No,Yes,No,2,No,Yes,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,MIN,RB,27,Yes,Yes,No,23,No,No,0.0435,0.0435,3.1265,3.1265,17,0.8696,0.0435,2,2,1,0.087,1,0.5,5,,3,1.5,,56.3,0.2174,2.5,-4.2155,5,,,0.25,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,1,,,,,,,,
Luke Farrell,JAX,TE,7,No,Yes,Yes,5,No,No,,,,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Musgrave,GB,TE,2,No,Yes,Yes,1,No,No,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,JAX,WR,18,No,No,No,18,No,No,0.8889,0.1111,6.0973,6.0973,8,,,2,2,1,0.1111,,,,,96,48,2,39.6,,,-14.375,,,,0.4,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
Puka Nacua,LA,WR,8,No,Yes,Yes,8,No,No,0.25,0.75,1.4517,1.4517,11,,,1,1,1,0.125,1,1,10,5,5,5,,108.3,1.25,10,3.6372,10,5,1,0.25,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,2,,,,2,,,,,,,,,
Joe Mixon,HST,RB,10,No,Yes,No,6,No,No,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristian Wilkerson,LV,WR,1,No,Yes,No,1,Yes,No,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Proche,CLV,WR,1,No,Yes,No,1,No,No,,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,10,Yes,Yes,No,10,No,No,0.5,0.5,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trenton Irwin,CIN,WR,2,No,Yes,No,2,No,No,0.5,0.5,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Ernest Johnson,JAX,RB,10,No,Yes,Yes,9,No,No,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Johnson,NYG,TE,17,No,Yes,No,15,No,No,0.5333,0.1333,2.9979,2.9979,12,,0.3333,2,1,0.5,0.1333,1,0.5,15,4,17,8.5,,75,1,7.5,-0.4166,15,4,1,0.5,1.5,2.5,2,2.5,3,2.5,2,2.5,2.5,2.5,2,3,2.5,,,,,,,,,,,,,,
Jahan Dotson,PHI,WR,38,No,No,No,37,No,No,0.4865,0.5135,2.8806,2.8806,17,,,2,1,0.5,0.0541,1,0.5,10,-1,13,6.5,,64.6,0.2703,5,-1.8248,10,-1,1,0.1667,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,41,No,No,No,41,No,No,0.5366,0.4634,6.7056,6.7056,13,,,4,4,1,0.0976,4,1,74,18,56,14,,118.8,1.8049,18.5,9.0145,18.5,4.5,4,0.25,7.4,11.4,9.4,11.4,11.4,11.4,9.4,11.4,11.4,11.4,9.4,11.4,11.4,6,,,,1.5,,1,1,,,,,1,0.25
Jalen McMillan,TB,WR,25,No,Yes,No,25,No,No,0.28,0.72,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.J. Jenkins,PHI,TE,1,No,No,No,1,No,No,,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud,ATL,WR,13,No,Yes,No,12,No,Yes,0.5,0.5,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Saubert,SF,TE,8,No,Yes,No,4,No,No,0.25,,,,17,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Collier,LV,RB,1,Yes,Yes,No,1,No,No,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justyn Ross,KC,WR,1,No,Yes,Yes,1,No,No,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Fisk,LAC,TE,3,Yes,Yes,No,3,No,No,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson,WAS,RB,15,No,Yes,Yes,9,No,No,0.1111,0.1111,,,14,0.7778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,8,No,Yes,No,5,No,No,,,1.4364,1.4364,14,1,,1,,,0.2,,,,,3,3,,39.6,,,-6.5094,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Shampklin,PIT,RB,3,Yes,Yes,No,2,No,No,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,2,Yes,Yes,No,1,No,No,,,1.5154,1.5154,8,,1,1,1,1,1,1,1,14,8,6,6,,118.8,14,14,6.907,14,8,1,1,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,3,,,,3,,,,,,,,,
Gus Edwards,LAC,RB,3,No,No,No,2,No,No,0.5,,,,11,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,24,No,No,No,24,No,No,0.125,0.875,3.1886,3.1886,15,,,2,2,1,0.0833,1,0.5,17,,37,18.5,1,79.2,0.7083,8.5,-2.7653,17,,1,0.2857,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,,1,,,,2,1,,,,,,
Raheem Blackshear,CAR,RB,3,No,Yes,No,3,No,Yes,0.3333,0.3333,,,16,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,31,No,Yes,No,29,No,Yes,0.8966,0.1034,7.07,7.07,17,,,1,1,1,0.0345,1,1,3,,6,6,,118.8,0.1034,3,-3.9491,3,,1,0.25,6.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,,,,,,1,,,,1,1,1,,
Alexander Mattison,LV,RB,12,Yes,Yes,No,12,No,No,0.0833,0.0833,4.707,4.707,14,0.8333,,2,,,0.1667,,,,,23,11.5,,39.6,,,-9.0154,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Otton,TB,TE,24,No,Yes,No,24,No,No,0.5833,0.2083,1.3128,1.3128,14,,0.2083,1,1,1,0.0417,1,1,9,3,6,6,,104.2,0.375,9,1.907,9,3,,0.1667,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,12,No,Yes,No,9,No,No,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Sherfield,MIN,WR,3,Yes,Yes,No,3,No,No,0.3333,0.6667,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyquan Thornton,NE,WR,4,No,Yes,No,4,No,Yes,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Dell,HST,WR,27,No,Yes,No,27,No,No,0.2593,0.7407,4.627,4.627,14,,,2,1,0.5,0.0741,1,0.5,14,,31,15.5,,72.9,0.5185,7,-3.7393,14,,1,0.2857,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,,,,,1,1,1,,,,,,
Jha'Quan Jackson,TEN,WR,1,No,Yes,No,1,No,No,1,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Weaver,ARZ,WR,3,No,Yes,No,3,No,No,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakim Jarrett,TB,WR,5,No,Yes,No,5,No,No,0.4,0.6,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
