Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Julian Hill,MIA,TE,7,Yes,Yes,Yes,4,,Yes,Yes,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.75,,,,,,,,,,,,,,
Rakim Jarrett,TB,WR,5,No,No,No,5,1,No,Yes,1,1,0.2,1,1,11,1,,10,,1,,10,,112.5,2.2,11,3.5,11,1,,1,1.4248,1.4248,0.3333,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,10,,,,,,,,,,,,,,,
Tyquan Thornton,NE,WR,1,Yes,No,Yes,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Trent Sherfield,MIN,WR,5,Yes,Yes,No,4,,No,No,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.25,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,17,Yes,Yes,Yes,5,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,
MyCole Pruitt,PIT,TE,10,No,No,No,8,2,No,No,1,0.5,0.25,1,0.5,-1,2,1,,,,,,,16.7,-0.125,-0.5,-6.5935,-1,2,1,,2.7425,2.7425,0.2222,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,12,0.875,0.125,,,,,,,,,,,,,
DK Metcalf,SEA,WR,16,No,No,Yes,15,6,No,No,4,0.6667,0.4,3,0.5,42,1,,82,,1,5,13.6667,2,72.9,2.8,7,-1.97,14,0.3333,,1,13.267,13.267,0.4,4.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,15,,,1,,,,,,,1,1,,,,1
Mark Andrews,BLT,TE,19,No,No,Yes,15,4,No,Yes,4,1,0.2667,4,1,58,8,3,50,0.3333,0.2667,3,12.5,1,158.3,3.8667,14.5,5.9753,14.5,2,0.75,3,7.298,7.298,0.2222,11.8,15.8,13.8,15.8,17.8,15.8,13.8,15.8,15.8,15.8,13.8,17.8,15.8,17,0.4,,1,1,1,,,,,1,1,1,,,
Parker Washington,JAX,WR,10,No,Yes,Yes,9,1,No,No,1,1,0.1111,,,,,,30,0.2222,0.7778,1,30,1,39.6,,,-9.194,,,,,2.0946,2.0946,0.1429,,,,,,,,,,,,,,17,,,,,,,,,,,,,1,1,
Allen Robinson,DET,WR,2,Yes,No,No,2,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Erick All,CIN,TE,5,Yes,No,No,4,,No,No,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.5,0.25,,,,,,,,,,,,,
Diontae Johnson,HST,WR,7,No,No,No,7,1,No,No,1,1,0.1429,,,,,,19,0.1429,0.8571,1,19,,39.6,,,-11.9321,,,,,2.3312,2.3312,0.2,,,,,,,,,,,,,,12,,,1,,,,,,,,,,,,
Kendre Miller,NO,RB,4,No,Yes,No,1,1,No,No,1,1,1,1,1,-5,1,,-6,,,,-6,,79.2,-5,-5,-10.0893,-5,1,,,1.756,1.756,0.3333,-0.5,0.5,,1,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,6,,1,,,,,,,,,,,,,
Harrison Bryant,LV,TE,11,Yes,No,No,6,1,No,Yes,1,1,0.1667,1,1,14,13,2,1,0.1667,,1,1,,118.8,2.3333,14,8.2246,14,13,2,1,1.3012,1.3012,0.1,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,13,0.8333,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,8,No,No,Yes,7,,No,Yes,,,,,,,,,,0.5714,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,5,Yes,Yes,Yes,5,3,Yes,Yes,3,1,0.6,2,0.6667,-1,4,-1,-1,,0.2,3,-0.3333,,70.1,-0.2,-0.3333,-5.9277,-0.5,2,-0.5,,4.423,4.423,0.6,-1.1,0.9,-0.1,0.9,1.9,0.9,-1.1,-0.1,-0.1,-0.1,-1.1,1.9,-0.1,17,0.4,0.4,,,,,,,,,,,,,
Adam Thielen,CAR,WR,10,Yes,Yes,No,10,2,No,No,2,1,0.2,2,1,17,7,,10,0.5,0.5,2,5,,102.1,1.7,8.5,1.7307,8.5,3.5,,1,2.8555,2.8555,0.2857,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,10,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,18,Yes,No,Yes,18,3,No,Yes,3,1,0.1667,3,1,47,14,2,33,,0.0556,3,11,,118.8,2.6111,15.6667,6.9258,15.6667,4.6667,0.6667,2,4.8824,4.8824,0.2,4.7,7.7,6.2,7.7,9.2,7.7,6.2,7.7,7.7,7.7,6.2,9.2,7.7,17,0.9444,,,,,1,0.3333,,,,,,,,
Braelon Allen,NYJ,RB,9,Yes,Yes,Yes,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,
Josiah Deguara,JAX,TE,4,No,Yes,Yes,2,1,No,No,1,1,0.5,1,1,2,5,2,-3,,,1,-3,,79.2,1,2,-3.8652,2,5,2,,2.7,2.7,0.5,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,13,1,,,,,,,,,1,,,,,
Amon-Ra St. Brown,DET,WR,36,Yes,Yes,No,31,4,No,No,4,1,0.129,4,1,54,17,2,37,0.2581,0.7419,3,9.25,,118.8,1.7419,13.5,5.6115,13.5,4.25,0.5,3,6.1949,6.1949,0.16,9.68,13.68,11.68,13.68,13.68,13.68,11.68,13.68,13.68,13.68,11.68,13.75,13.75,17,,,,,,1,0.25,,,,,,,,
David Moore,CAR,WR,16,Yes,Yes,No,15,3,No,No,1,0.3333,0.2,1,0.3333,9,4,2,14,0.0667,0.9333,3,4.6667,,42.4,0.6,3,-3.6184,9,4,2,,7.037,7.037,0.2143,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,17,,,,,,,,,,1,1,,,,
Tutu Atwell,LA,WR,17,No,No,Yes,16,4,No,No,4,1,0.25,3,0.75,40,7,1,72,0.125,0.875,4,18,1,106.3,2.5,10,-0.669,13.3333,2.3333,0.3333,2,6.7042,6.7042,0.2667,4,7,5.5,7,7,7,5.5,7,7,7,5.5,7,7,17,,,1,,,,,,,,,,1,0.25,
Josh Palmer,LAC,WR,10,Yes,No,No,10,2,No,Yes,2,1,0.2,1,0.5,26,3,1,40,0.4,0.6,2,20,1,95.8,2.6,13,2.0587,26,3,1,1,4.3118,4.3118,0.2857,2.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,15,,,1,,,,,,,,,,,,
Charlie Woerner,ATL,TE,3,Yes,Yes,No,3,1,No,No,1,1,0.3333,1,1,5,2,,3,,,,3,,87.5,1.6667,5,-1.3218,5,2,,1,1.4508,1.4508,0.3333,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,16,1,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,8,Yes,No,No,8,,No,Yes,,,,,,,,,,0.125,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,25,Yes,Yes,Yes,25,4,Yes,Yes,3,0.75,0.16,2,0.5,59,15,,72,0.12,0.88,4,18,2,95.8,2.36,14.75,5.0724,29.5,7.5,,2,9.2978,9.2978,0.1818,5.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,17,,,,,,,,,,1,1,,1,0.25,
Blake Whiteheart,CLV,TE,4,No,No,Yes,2,1,No,Yes,1,1,0.5,1,1,1,1,1,,,,1,,,79.2,0.5,1,-4.289,1,1,1,,1.2433,1.2433,0.3333,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,11,1,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,19,Yes,Yes,No,6,1,Yes,Yes,,,0.1667,,,,,,5,,,,5,,39.6,,,-6.48,,,,,1.6494,1.6494,0.0625,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,
Johnny Wilson,PHI,WR,13,Yes,Yes,No,11,,Yes,Yes,,,,,,,,,,0.3636,0.5455,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,0.0909,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,3,Yes,No,No,3,2,No,Yes,2,1,0.6667,1,0.5,2,,,-1,,,1,-0.5,,56.3,0.6667,1,-5.2569,2,,,1,3.8474,3.8474,0.6667,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,1,1,,,,,1,0.5,1,,,,,
Quentin Johnston,LAC,WR,11,Yes,No,No,11,3,No,Yes,3,1,0.2727,2,0.6667,34,8,2,59,0.1818,0.8182,2,19.6667,2,144.4,3.0909,11.3333,2.443,17,4,1,1,5.7559,5.7559,0.3333,9.4,11.4,10.4,11.4,11.4,11.4,10.4,11.4,11.4,11.4,10.4,11.4,11.4,15,,,1,,1,,,,,,1,1,,,
Xavier Worthy,KC,WR,32,Yes,No,No,32,11,No,Yes,11,1,0.3438,10,0.9091,140,48,8,100,0.3438,0.5938,10,9.0909,1,158.3,4.375,12.7273,5.1933,14,4.8,0.8,6,19.4421,19.4421,0.3667,26,36,31,36,36,39,34,36,36,36,31,36,36,17,,0.0625,1,1,2,2,0.2,1,0.0909,2,1,1,1,0.0909,
Rachaad White,TB,RB,10,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,
Cam Grandy,CIN,TE,4,No,No,No,4,2,No,No,2,1,0.5,2,1,16,10,6,6,,,2,3,,100,4,8,1.8723,8,5,3,1,2.9739,2.9739,0.6667,1.6,3.6,2.6,3.6,4.6,3.6,2.6,3.6,3.6,3.6,2.6,4.6,3.6,8,1,,,,,,,,,1,,,,,
Malachi Corley,NYJ,WR,2,No,No,No,2,1,Yes,Yes,,,0.5,,,,,,11,0.5,0.5,,11,,39.6,,,-8.3152,,,,,4.3427,4.3427,0.5,,,,,,,,,,,,,,7,,,,,,,,,,1,1,,,,
Elijah Moore,CLV,WR,10,No,No,Yes,9,3,No,Yes,3,1,0.3333,3,1,6,2,,4,0.4444,0.4444,3,1.3333,,79.2,0.6667,2,-4.1623,2,0.6667,,,4.7801,4.7801,0.3333,0.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,17,,0.1111,,,,,,,,1,,,,,
AJ Barner,SEA,TE,12,No,No,Yes,8,5,No,No,5,1,0.625,5,1,48,53,15,-5,0.375,,4,-1,,146.3,6,9.6,3.3978,9.6,10.6,3,3,8.6687,8.6687,0.4167,10.8,15.8,13.3,15.8,18.3,15.8,13.3,15.8,15.8,15.8,13.3,18.3,15.8,17,0.625,,,,1,2,0.4,1,0.2,2,,,,,
Zach Charbonnet,SEA,RB,13,No,No,Yes,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,22,Yes,No,No,15,3,No,Yes,2,0.6667,0.2,2,0.6667,7,5,,2,,,1,0.6667,,70.1,0.4667,2.3333,-3.4286,3.5,2.5,,1,4.0026,4.0026,0.1765,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,15,,1,,,,,,,,,,,,,
Derrick Henry,BLT,RB,22,No,No,Yes,11,4,No,Yes,3,0.75,0.3636,3,0.75,33,40,12,1,,,3,0.25,,138.5,3,8.25,2.0761,11,13.3333,4,2,6.9296,6.9296,0.1905,9.3,12.3,10.8,13.8,12.3,12.3,10.8,12.3,12.3,12.3,10.8,12.3,12.3,17,,1,1,1,1,1,0.3333,1,0.25,2,,,,,
Jared Wayne,HST,WR,2,No,No,No,2,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Brandon Powell,MIN,WR,4,Yes,Yes,No,3,,No,No,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,22,No,No,No,10,1,No,Yes,1,1,0.1,1,1,3,10,2,-7,,,1,-7,,79.2,0.3,3,-1.5287,3,10,2,,1.5571,1.5571,0.05,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,13,,1,,,,,,1,1,,,,,,
Ty Johnson,BUF,RB,2,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,
Van Jefferson,PIT,WR,19,No,No,No,15,2,No,No,1,0.5,0.1333,1,0.5,10,1,,16,0.2,0.8,,8,,104.2,0.6667,5,-2.2592,10,1,,1,5.8205,5.8205,0.1333,7,8,7.5,8,8,8,7.5,8,8,8,7.5,8,8,17,,,,,1,,,,,1,,,,,
Jalen Virgil,BUF,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Geoff Swaim,CLV,TE,6,Yes,No,No,2,,No,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.5,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,5,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,1.1714,1.1714,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,9,Yes,No,No,7,2,No,Yes,2,1,0.2857,2,1,10,11,2,-1,,,1,-0.5,,87.5,1.4286,5,-0.823,5,5.5,1,,2.5948,2.5948,0.25,1,3,2,4,3,3,2,3,3,3,2,3,3,16,,1,,,,,,,,,,,,,
Calvin Austin,PIT,WR,14,No,No,No,14,1,No,No,1,1,0.0714,1,1,12,7,2,5,0.3571,0.6429,1,5,,116.7,0.8571,12,5.6372,12,7,2,1,1.4109,1.4109,0.1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,17,,,,,,,,,,,,,,,
Ronnie Bell,SF,WR,2,Yes,No,Yes,2,,No,No,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,8,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,18,No,No,No,14,4,No,No,4,1,0.2857,4,1,17,12,6,5,,0.2143,3,1.25,,84.4,1.2143,4.25,-1.5675,4.25,3,1.5,,7.3529,7.3529,0.4,1.7,5.7,3.7,5.7,7.7,5.7,3.7,5.7,5.7,5.7,3.7,7.7,5.7,17,0.7143,0.0714,,,,,,,,1,,,,,
Stefon Diggs,HST,WR,11,Yes,No,No,9,,No,Yes,,,,,,,,,,0.3333,0.5556,,,,,,,,,,,,1.2087,,,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,8,,0.1111,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,19,Yes,No,No,12,,No,Yes,,,,,,,,,,0.4167,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3333,0.0833,,,,,,,,,,,,,
Zay Jones,ARZ,WR,8,Yes,No,Yes,8,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Irv Smith,HST,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,7,No,No,No,7,,No,No,,,,,,,,,,0.4286,0.5714,,,,,,,,,,,,3.0137,3.0137,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Brandon Aiyuk,SF,WR,5,No,No,No,5,1,No,Yes,,,0.2,,,,,,17,,1,1,17,,39.6,,,-11.6653,,,,,1.6074,1.6074,0.3333,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Allen Lazard,NYJ,WR,8,Yes,Yes,Yes,7,,Yes,Yes,,,,,,,,,,0.4286,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,9,Yes,No,No,8,1,No,Yes,1,1,0.125,1,1,15,6,2,9,,1,,9,,118.8,1.875,15,7.5461,15,6,2,1,1.8887,1.8887,0.1429,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,16,,,,,,1,1,,,,,,,,
Jeremy Ruckert,NYJ,TE,18,Yes,Yes,Yes,13,5,Yes,Yes,3,0.6,0.3846,2,0.4,15,14,6,17,,0.0769,2,3.4,,47.9,1.1538,3,-3.4528,7.5,7,3,1,7.573,7.573,0.3333,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,17,0.7692,0.1538,1,,,,,,,1,,,1,0.2,
Kalif Raymond,DET,WR,8,Yes,Yes,No,8,2,No,No,2,1,0.25,2,1,28,21,9,7,0.375,0.625,2,3.5,,118.8,3.5,14,7.9649,14,10.5,4.5,1,2.77,2.77,0.4,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,12,,,,,,1,0.5,,,,,,,,
Curtis Samuel,BUF,WR,5,Yes,Yes,No,4,1,No,Yes,1,1,0.25,1,1,1,,,1,0.25,0.75,1,1,,79.2,0.25,1,-4.1211,1,,,,3.4365,3.4365,0.3333,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,14,,,1,1,,,,,,1,,,,,1
Tanner Hudson,CIN,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,
Najee Harris,PIT,RB,20,No,No,No,13,1,No,No,1,1,0.0769,1,1,5,10,3,-5,,,1,-5,,87.5,0.3846,5,-0.8711,5,10,3,,1.0389,1.0389,0.0625,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,17,,1,,,,,,1,1,1,,,,,
Chase Brown,CIN,RB,10,Yes,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,13,Yes,Yes,No,10,4,Yes,Yes,4,1,0.4,4,1,38,14,4,24,0.2,0.1,2,6,,106.3,3.8,9.5,2.045,9.5,3.5,1,3,5.5339,5.5339,0.4,3.8,7.8,5.8,7.8,9.8,7.8,5.8,7.8,7.8,7.8,5.8,9.8,7.8,17,0.6,0.1,1,1,,,,,,,,,,,
Drew Sample,CIN,TE,12,No,No,No,7,1,No,No,1,1,0.1429,1,1,8,9,2,-1,,,1,-1,,100,1.1429,8,3.0986,8,9,2,,1.5188,1.5188,0.1111,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,17,0.8571,0.1429,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,9,Yes,No,No,6,3,No,Yes,3,1,0.5,3,1,55,56,6,-1,0.1667,,2,-0.3333,,118.8,9.1667,18.3333,12.474,18.3333,18.6667,2,3,4.1556,4.1556,0.5,5.5,8.5,7,10,8.5,8.5,7,8.5,8.5,8.5,7,8.5,8.5,12,,0.8333,,,,1,0.3333,,,,,,,,
Jaheim Bell,NE,TE,2,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.5,0.5,,,,,,,,,,,,,
Devontez Walker,BLT,WR,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Marcedes Lewis,CHI,TE,7,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,22,Yes,No,No,21,3,No,No,3,1,0.1429,3,1,30,11,3,19,,,3,6.3333,,108.3,1.4286,10,2.7327,10,3.6667,1,1,6.0338,6.0338,0.1875,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,16,1,,,,,,,,,,,,,,1
Noah Brown,WAS,WR,14,No,No,No,13,4,No,No,3,0.75,0.3077,3,0.75,45,7,3,60,0.2308,0.7692,3,15,2,111.5,3.4615,11.25,1.981,15,2.3333,1,2,8.2141,8.2141,0.3333,4.5,7.5,6,7.5,7.5,7.5,6,7.5,7.5,7.5,6,7.5,7.5,11,,,,,,,,,,1,,,,,
Dontayvion Wicks,GB,WR,3,Yes,No,No,3,1,No,Yes,1,1,0.3333,,,,,,12,0.3333,0.6667,,12,,39.6,,,-9.0461,,,,,2.902,2.902,0.5,,,,,,,,,,,,,,17,,,,,,,,,,1,1,,1,1,
Carson Steele,KC,RB,8,Yes,No,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,
Trey McBride,ARZ,TE,35,Yes,No,Yes,35,14,No,Yes,12,0.8571,0.4,10,0.7143,120,66,11,101,0.1429,0.0286,12,7.2143,1,97.3,3.4286,8.5714,1.366,12,6.6,1.1,8,29.2074,29.2074,0.4828,12,22,17,22,27,25,20,22,22,22,17,27,22,16,0.8286,,1,,,1,0.1,,,2,2,,,,1
John Bates,WAS,TE,28,Yes,No,No,14,5,No,Yes,4,0.8,0.3571,3,0.6,43,32,6,40,0.1429,,3,8,1,87.9,3.0714,8.6,0.8931,14.3333,10.6667,2,2,8.4012,8.4012,0.2778,4.3,7.3,5.8,7.3,8.8,7.3,5.8,7.3,7.3,7.3,5.8,8.8,7.3,17,0.8571,,1,,,,,,,1,,,,,
Jalen Reagor,LAC,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Trey Palmer,TB,WR,11,No,No,No,11,1,No,Yes,1,1,0.0909,1,1,16,1,,15,0.0909,0.9091,1,15,,118.8,1.4545,16,5.5903,16,1,,1,1.6798,1.6798,0.125,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,15,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,31,Yes,No,No,11,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,,,,,,,,,,,,,
Tucker Kraft,GB,TE,11,Yes,No,No,10,3,No,Yes,3,1,0.3,2,0.6667,11,12,2,2,,,2,0.6667,,112.5,1.1,3.6667,-1.9828,5.5,6,1,1,7.4748,7.4748,0.3,7.1,9.1,8.1,9.1,10.1,9.1,8.1,9.1,9.1,9.1,8.1,10.1,9.1,17,0.9,0.1,,,1,,,1,0.3333,2,,,1,0.3333,
Payne Durham,TB,TE,8,No,No,No,4,,No,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,7,Yes,Yes,No,6,1,No,No,1,1,0.1667,1,1,8,5,3,3,0.3333,0.6667,1,3,,100,1.3333,8,2.5501,8,5,3,1,1.5685,1.5685,0.1429,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,11,,,,,,,,,,1,,,,,
Dallas Goedert,PHI,TE,15,Yes,Yes,No,14,8,Yes,Yes,6,0.75,0.5714,5,0.625,45,18,13,45,0.1429,0.2143,6,5.625,,77.6,3.2143,5.625,-1.2771,9,3.6,2.6,3,14.5438,14.5438,0.6667,4.5,9.5,7,9.5,12,9.5,7,9.5,9.5,9.5,7,12,9.5,10,0.6429,,,,,,,,,,,,1,0.125,
Roschon Johnson,CHI,RB,2,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,4,Yes,Yes,No,4,1,No,No,1,1,0.25,1,1,2,8,1,-6,,1,,-6,,79.2,0.5,2,-1.7419,2,8,1,,1.3675,1.3675,0.25,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,11,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,15,Yes,No,No,14,3,No,Yes,2,0.6667,0.2143,2,0.6667,62,9,6,110,0.3571,0.4286,2,36.6667,2,149.3,4.4286,20.6667,8.8885,31,4.5,3,2,7.5689,7.5689,0.2,12.2,14.2,13.2,14.2,14.2,14.2,13.2,14.2,14.2,14.2,13.2,14.2,14.2,17,0.1429,0.0714,,,1,,,,,,1,1,,,
Calvin Ridley,TEN,WR,17,No,No,No,15,3,No,No,1,0.3333,0.2,1,0.3333,2,1,,9,0.2,0.8,2,3,,42.4,0.1333,0.6667,-4.9779,2,1,,,8.2672,8.2672,0.3,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,,,,,,,,,2,1,,,,
