"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Zach Wilson","Dolphins","11","0.85","0.077","-0.86","-0.078","-2.44","36.4%","-0.1","-0.0","9.1%","18.2%"
"[object Object]","2025","Tyson Bagent","Bears","4","0.77","0.192","0.39","0.098","0.68","50.0%","0.7","0.0","50.0%","25.0%"
"[object Object]","2025","Breece Hall","Jets","1","0.36","0.357","0.34","0.335","0.80","100.0%","0.4","0.0","0.0%","0.0%"
"[object Object]","2025","Derrick Henry","Ravens","1","0.31","0.307","0.28","0.279","-0.44","0.0%","0.4","0.0","0.0%","0.0%"
"[object Object]","2025","Christian McCaffrey","49ers","1","0.31","0.306","0.28","0.283","-1.13","0.0%","0.4","0.0","0.0%","100.0%"
"[object Object]","2025","Drew Lock","Seahawks","3","0.27","0.091","-0.15","-0.049","-1.20","33.3%","0.1","0.0","33.3%","33.3%"
"[object Object]","2025","Tyler Warren","Colts","1","0.21","0.210","0.18","0.183","-0.51","0.0%","0.3","0.0","0.0%","0.0%"
"[object Object]","2025","DJ Moore","Bears","1","0.06","0.058","0.04","0.038","2.76","100.0%","0.1","0.0","100.0%","0.0%"
"[object Object]","2025","Matt Haack","Cardinals","1","0.00","0.000","0.00","0.000","4.82","100.0%","0.0","0.0","100.0%","0.0%"
"[object Object]","2025","Rigoberto Sanchez","Colts","1","0.00","0.000","0.00","0.000","3.59","100.0%","0.0","0.0","100.0%","0.0%"
"[object Object]","2025","Austin McNamara","Jets","1","0.00","0.000","0.00","0.000","2.55","100.0%","0.0","0.0","100.0%","0.0%"
"[object Object]","2025","Corey Bojorquez","Browns","1","0.00","0.000","0.00","0.000","-1.01","0.0%","0.0","0.0","0.0%","100.0%"
"[object Object]","2025","Shane Buechele","Chiefs","14","-0.01","-0.000","-2.32","-0.122","-4.97","26.3%","-1.0","-0.0","10.5%","21.1%"
"[object Object]","2025","Kedon Slovis","Cardinals","2","-0.14","-0.068","-0.34","-0.169","-1.62","0.0%","-0.2","-0.0","0.0%","50.0%"
"[object Object]","2025","Cole Kmet","Bears","1","-0.15","-0.151","-0.25","-0.250","-0.69","0.0%","-0.2","-0.0","0.0%","0.0%"
"[object Object]","2025","Jameis Winston","Giants","66","-0.24","-0.003","-7.36","-0.107","11.27","47.8%","-2.6","-0.1","34.8%","18.8%"
"[object Object]","2025","Isaiah Williams","Jets","1","-0.43","-0.427","-0.45","-0.453","-1.10","0.0%","-0.4","-0.0","0.0%","100.0%"
"[object Object]","2025","David Montgomery","Lions","2","-0.60","-0.200","-0.87","-0.290","-1.97","33.3%","-0.6","-0.0","0.0%","33.3%"
"[object Object]","2025","RJ Harvey","Broncos","1","-0.65","-0.649","-0.67","-0.674","-0.57","0.0%","-0.6","-0.0","0.0%","0.0%"
"[object Object]","2025","Brandon Allen","Titans","30","-1.28","-0.041","-5.69","-0.184","-23.40","19.4%","-3.6","-0.1","12.9%","32.3%"
"[object Object]","2025","Chris Olave","Saints","1","-1.82","-1.816","-1.84","-1.839","-2.40","0.0%","-1.8","-0.1","0.0%","100.0%"
"[object Object]","2025","Andy Dalton","Panthers","37","-1.87","-0.042","-7.39","-0.164","-7.53","46.7%","-4.3","-0.1","26.7%","28.9%"
"[object Object]","2025","Jake Browning","Bengals","125","-2.04","-0.015","-20.45","-0.153","-61.40","35.1%","-11.4","-0.4","14.9%","26.1%"
"[object Object]","2025","Aidan O'Connell","Raiders","22","-2.82","-0.122","-5.66","-0.246","-6.50","26.1%","-4.1","-0.1","21.7%","26.1%"
"[object Object]","2025","Teddy Bridgewater","Buccaneers","15","-3.25","-0.191","-5.16","-0.304","-9.03","23.5%","-4.0","-0.1","11.8%","29.4%"
"[object Object]","2025","Cooper Kupp","Seahawks","1","-4.22","-4.223","-4.25","-4.246","-4.83","0.0%","-4.2","-0.1","0.0%","100.0%"
"[object Object]","2025","Chris Oladokun","Chiefs","55","-7.56","-0.120","-17.45","-0.277","-34.38","30.2%","-13.2","-0.4","9.5%","28.6%"
"[object Object]","2025","J.J. McCarthy","Vikings","243","-8.32","-0.031","-45.65","-0.169","-55.47","43.3%","-27.1","-0.8","23.0%","24.8%"
"[object Object]","2025","Clayton Tune","Packers","15","-9.77","-0.488","-12.89","-0.644","-23.04","20.0%","-11.5","-0.4","0.0%","45.0%"
"[object Object]","2025","Max Brosmer","Vikings","71","-10.45","-0.123","-22.62","-0.266","-50.86","34.1%","-16.8","-0.5","15.3%","32.9%"
"[object Object]","2025","Trey Lance","Chargers","57","-12.07","-0.192","-19.07","-0.303","-34.40","28.6%","-15.0","-0.5","15.9%","31.7%"
"[object Object]","2025","Geno Smith","Raiders","448","-13.04","-0.026","-79.13","-0.157","-71.31","45.7%","-44.7","-1.4","25.2%","22.1%"
"[object Object]","2025","Kenny Pickett","Raiders","45","-13.25","-0.250","-21.98","-0.415","-38.61","32.1%","-18.4","-0.6","9.4%","34.0%"
"[object Object]","2025","Quinn Ewers","Dolphins","83","-15.99","-0.176","-28.27","-0.311","-6.13","42.9%","-22.0","-0.7","24.2%","22.0%"
"[object Object]","2025","Dillon Gabriel","Browns","185","-20.10","-0.099","-44.14","-0.216","-45.78","36.8%","-30.2","-0.9","20.6%","27.5%"
"[object Object]","2025","Shedeur Sanders","Browns","212","-25.03","-0.106","-56.30","-0.240","-82.41","35.3%","-40.2","-1.2","19.1%","30.2%"
"[object Object]","2025","Brady Cook","Jets","153","-26.37","-0.153","-48.12","-0.280","-59.59","33.7%","-36.3","-1.1","15.7%","26.7%"
