Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsTotal,ReceptionsHero,DeepTargetTargetsTotal
Harrison Bryant,HST,TE,6,No,Yes,No,4,1,No,Yes,0.25,-2,0.75,0.25,-2,39.6,-4.8511,1.5667,1.5667,0.1667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,10,Yes,No,No,10,,No,Yes,,,,0.4,,,,,,,14,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,32,Yes,No,No,28,5,No,Yes,0.1786,9,0.4286,0.5,1.8,82.5,-1.9443,7.3363,7.3363,0.1562,17,0.0714,5,1,4,0.8,19,10,1,1,1,0.25,0.6786,3.8,0.2,4.75,2.5,0.25,1,1.9,5.9,3.9,5.9,7.9,5.9,3.9,5.9,5.9,5.9,3.9,7.9,5.9,,,,,,,,
Elijah Higgins,ARZ,TE,31,No,Yes,No,29,5,Yes,Yes,0.1724,-9,0.4138,0.4828,-1.8,93.3,0.7819,7.2413,7.2413,0.1613,17,0.069,5,1,5,1,32,41,21,,5,1,1.1034,6.4,,6.4,8.2,4.2,1,3.2,8.2,5.7,8.2,10.7,8.2,5.7,8.2,8.2,8.2,5.7,10.7,8.2,0.0345,,,,,,,
Adam Thielen,PIT,WR,22,Yes,No,No,22,,No,Yes,,,,0.6364,,,,,,,16,0.3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josiah Deguara,ARZ,TE,9,No,Yes,No,9,,Yes,Yes,,,0.5556,0.3333,,,,,,,12,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,2,No,No,No,1,1,No,Yes,1,5,,,5,87.5,-2.233,2.255,2.255,0.5,4,,1,1,1,1,5,,,,,,5,5,,5,,,,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,1,,,,,,
David Moore,CAR,WR,2,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Dippre,NE,TE,1,No,No,Yes,1,,No,Yes,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,30,No,Yes,No,30,,No,No,,,,0.4667,,,,,,,17,0.5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Williams,NYJ,WR,6,No,Yes,Yes,6,1,No,No,0.1667,-3,,0.8333,-3,79.2,-3.9408,1.858,1.858,0.1667,15,0.1667,1,1,1,1,1,4,2,,,,0.1667,1,,1,4,2,,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,
Chris Moore,WAS,WR,11,Yes,No,Yes,11,,No,Yes,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,7,No,Yes,No,7,,Yes,Yes,,,,0.1429,,,,,,,10,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Palmer,BUF,WR,14,No,Yes,Yes,14,,No,No,,,,0.2857,,,,,,,12,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Gibson,NE,RB,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Mason Kinsey,TEN,WR,8,No,Yes,No,8,,No,Yes,,,,0.25,,,,,,,10,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,18,No,No,Yes,18,15,No,Yes,0.8333,9,0.0556,,0.6,88.3,-0.927,23.3822,23.3822,0.8333,9,,15,1,15,1,78,69,34,,1,0.0667,4.3333,5.2,,5.2,4.6,2.2667,1,7.8,22.8,15.3,30.3,22.8,22.8,15.3,22.8,22.8,22.8,15.3,22.8,22.8,0.9444,,3,3,,,,
Charlie Woerner,ATL,TE,16,No,No,No,7,3,No,Yes,0.4286,-6,0.7143,,-2,79.2,-5.3449,3.9961,3.9961,0.1875,17,,3,1,3,1,2,8,8,,1,0.3333,0.2857,0.6667,,0.6667,2.6667,2.6667,,0.2,3.2,1.7,3.2,4.7,3.2,1.7,3.2,3.2,3.2,1.7,4.7,3.2,0.2857,,2,2,,,,
Kameron Johnson,TB,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Kiner,ARZ,RB,2,No,Yes,No,2,2,Yes,Yes,1,6,,,3,56.3,-4.5283,3.2265,3.2265,1,4,,2,1,1,0.5,4,,,1,,,2,2,0.5,4,,,,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1,1,1,1,,,,
Dyami Brown,JAX,WR,9,No,Yes,No,9,,No,Yes,,,,0.2222,,,,,,,14,0.7778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden,CHI,WR,13,No,Yes,No,13,,No,No,,,,0.3077,,,,,,,15,0.6923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,18,No,No,No,18,,No,Yes,,,,0.3889,,,,,,,7,0.6111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,17,No,No,No,13,1,No,Yes,0.0769,,0.4615,0.2308,,79.2,-5.289,1.5682,1.5682,0.0588,16,0.2308,1,1,1,1,,,,,,,,,,,,,,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,0.0769,,,,,,,
Cameron Latu,PHI,TE,2,Yes,No,Yes,1,,No,Yes,,,,1,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Corey Brooks,WAS,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,20,Yes,No,Yes,19,2,Yes,Yes,0.1053,-3,0.4211,0.3158,-1.5,79.2,-3.5848,2.6766,2.6766,0.1,13,0.2632,2,1,2,1,5,8,2,,,,0.2632,2.5,,2.5,4,1,,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,,,,,,,,
Emanuel Wilson,GB,RB,12,Yes,No,Yes,11,7,No,Yes,0.6364,-18,,,-2.5714,92.9,0.4517,11.4977,11.4977,0.5833,17,,7,1,7,1,44,62,34,,5,0.7143,4,6.2857,,6.2857,8.8571,4.8571,3,4.4,11.4,7.9,14.9,11.4,11.4,7.9,11.4,11.4,11.4,7.9,11.4,11.4,1,1,,,,,,
Xavier Worthy,KC,WR,18,Yes,No,No,18,,No,Yes,,,,0.1667,,,,,,,14,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,25,No,No,Yes,25,,No,Yes,,,,0.16,,,,,,,14,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Grandy,CIN,TE,1,Yes,No,No,1,,No,Yes,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Moore,BUF,WR,9,No,No,No,9,,No,Yes,,,,0.2222,,,,,,,9,0.7778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Corley,CLV,WR,7,No,No,No,7,1,No,Yes,0.1429,-4,,0.7143,-4,79.2,-3.4851,1.576,1.576,0.1429,13,0.2857,1,1,1,1,1,5,1,,1,1,0.1429,1,,1,5,1,,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,1,,,,,,
Rachaad White,TB,RB,15,No,No,No,13,12,No,Yes,0.9231,-27,,,-2.25,93.4,0.6084,20.4392,20.4392,0.8,17,,12,1,12,1,77,104,23,,1,0.0833,5.9231,6.4167,,6.4167,8.6667,1.9167,3,7.7,19.7,13.7,25.7,19.7,19.7,13.7,19.7,19.7,19.7,13.7,19.7,19.7,1,2,,,,,,
AJ Barner,SEA,TE,28,No,No,No,23,5,No,Yes,0.2174,9,0.7826,0.1304,1.8,96.7,1.3543,6.9897,6.9897,0.1786,17,0.0435,4,0.8,4,0.8,36,31,13,,1,0.25,1.5652,7.2,,9,7.75,3.25,2,3.6,7.6,5.6,7.6,9.6,7.6,5.6,7.6,7.6,7.6,5.6,9.6,7.6,0.0435,,,,,,,
Zach Charbonnet,SEA,RB,17,No,No,No,16,11,No,Yes,0.6875,21,0.0625,,1.9091,96.6,0.8273,15.7631,15.7631,0.6471,16,,9,0.8182,9,0.8182,79,62,23,,2,0.2222,4.9375,7.1818,,8.7778,6.8889,2.5556,3,7.9,16.9,12.4,21.4,16.9,16.9,12.4,16.9,16.9,16.9,12.4,16.9,16.9,0.9375,1,1,1,,,,
Chuba Hubbard,CAR,RB,15,No,No,No,12,12,No,Yes,1,-21,,,-1.75,74.3,-1.7157,21.0483,21.0483,0.8,15,,11,0.9167,8,0.6667,48,58,17,3,4,0.5,4,4,0.25,6,7.25,2.125,2,4.8,12.8,8.8,16.8,12.8,12.8,8.8,12.8,12.8,12.8,8.8,12.8,12.8,1,3,,,,,,
Jared Wayne,HST,WR,1,No,Yes,No,1,,Yes,Yes,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean McKeon,IND,TE,2,No,Yes,No,1,,No,Yes,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,12,Yes,No,No,12,9,No,Yes,0.75,10,,,1.1111,37,-1.5848,12.1655,12.1655,0.75,17,,6,0.6667,6,0.6667,41,34,17,,2,0.3333,3.4167,4.5556,,6.8333,5.6667,2.8333,1,4.1,10.1,7.1,13.1,10.1,10.1,7.1,10.1,10.1,10.1,7.1,10.1,10.1,1,1,,,,,,
Robert Tonyan,KC,TE,5,Yes,No,No,2,,No,Yes,,,0.5,0.5,,,,1.3432,1.3432,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,14,Yes,No,No,13,8,No,Yes,0.6154,1,,0.0769,0.125,85.9,-0.8818,11.5262,11.5262,0.5714,17,,6,0.75,6,0.75,41,39,10,,1,0.1667,3.1538,5.125,,6.8333,6.5,1.6667,1,4.1,10.1,7.1,13.1,10.1,10.1,7.1,10.1,10.1,10.1,7.1,10.1,10.1,0.9231,1,,,,,,
Ty Johnson,BUF,RB,14,No,Yes,Yes,12,8,No,No,0.6667,-15,,0.1667,-1.875,87.5,-0.2169,12.1206,12.1206,0.5714,17,,7,0.875,6,0.75,44,56,25,1,2,0.3333,3.6667,5.5,0.125,7.3333,9.3333,4.1667,3,4.4,10.4,7.4,13.4,10.4,10.4,7.4,10.4,10.4,10.4,7.4,10.4,10.4,0.8333,,,,,,,
Van Jefferson,TEN,WR,41,No,Yes,No,41,1,No,Yes,0.0244,1,,0.0488,1,100,2.8789,1.5754,1.5754,0.0244,16,0.9512,1,1,1,1,8,7,1,,,,0.1951,8,,8,7,1,,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,
Andre Baccellia,ARZ,WR,6,No,Yes,No,6,,No,Yes,,,,0.1667,,,,,,,5,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elic Ayomanor,TEN,WR,39,No,Yes,No,39,,No,Yes,,,,0.0769,,,,,,,16,0.9231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeQuint Allen,JAX,RB,12,No,Yes,No,10,7,No,Yes,0.7,-15,,0.2,-2.1429,85.7,-1.2411,10.3512,10.3512,0.5833,17,,6,0.8571,6,0.8571,32,39,20,,,,3.2,4.5714,,5.3333,6.5,3.3333,,3.2,9.2,6.2,12.2,9.2,9.2,6.2,9.2,9.2,9.2,6.2,9.2,9.2,0.8,1,,,,,,
Colston Loveland,CHI,TE,29,No,Yes,No,29,1,No,No,0.0345,2,0.3793,0.3448,2,79.2,-4.3701,2.1273,2.1273,0.0345,16,0.2759,1,1,1,1,2,,,,,,0.069,2,,2,,,,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,1,1,1,,,,
Bijan Robinson,ATL,RB,27,No,No,No,25,17,No,Yes,0.68,-30,,0.12,-1.7647,102.9,2.7525,25.2323,25.2323,0.6296,17,0.08,15,0.8824,14,0.8235,148,169,44,1,9,0.6429,5.92,8.7059,0.0588,10.5714,12.0714,3.1429,4,14.8,28.8,21.8,35.8,28.8,31.8,24.8,28.8,28.8,28.8,21.8,28.8,28.8,0.8,,2,2,,,,
Jaleel McLaughlin,DEN,RB,3,No,Yes,No,3,2,No,No,0.6667,-11,,,-5.5,91.7,0.5198,2.6999,2.6999,0.6667,8,,2,1,2,1,12,23,15,,2,1,4,6,,6,11.5,7.5,1,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,1,,,,,,,
Calvin Austin,PIT,WR,26,Yes,No,No,26,,No,Yes,,,,0.4231,,,,,,,14,0.5769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Bell,NO,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,10,Yes,No,No,10,9,No,Yes,0.9,-24,,,-2.6667,70.1,-3.6724,15.0896,15.0896,0.9,13,,9,1,6,0.6667,20,36,11,3,,,2,2.2222,0.3333,3.3333,6,1.8333,2,2,8,5,11,8,8,5,8,8,8,5,8,8,1,,,,,,,
Pat Freiermuth,PIT,TE,33,Yes,No,No,32,4,No,Yes,0.125,-7,0.3438,0.5312,-1.75,95.8,1.9828,5.4499,5.4499,0.1212,17,0.125,3,0.75,3,0.75,30,37,14,,1,0.3333,0.9375,7.5,,10,12.3333,4.6667,2,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,,,,,,,,
Darren Waller,MIA,TE,13,No,No,No,13,,No,Yes,,,0.0769,0.4615,,,,,,,9,0.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,NE,WR,25,No,No,Yes,24,,No,Yes,,,,0.5417,,,,,,,17,0.4583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaydon Blue,DAL,RB,3,No,Yes,Yes,3,1,No,Yes,0.3333,-5,,,-5,87.5,-0.8711,1.3667,1.3667,0.3333,5,,1,1,1,1,5,10,1,,,,1.6667,5,,5,10,1,,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,,,,,,,
Kyle Monangai,CHI,RB,17,No,Yes,No,15,15,No,No,1,24,,,1.6,74,-1.1569,22.9574,22.9574,0.8824,17,,14,0.9333,9,0.6,79,73,22,4,4,0.4444,5.2667,5.2667,0.2667,8.7778,8.1111,2.4444,3,7.9,16.9,12.4,21.4,16.9,16.9,12.4,16.9,16.9,16.9,12.4,16.9,16.9,1,1,1,,,,,
Ashton Jeanty,LV,RB,34,Yes,No,No,31,27,No,Yes,0.871,-60,,,-2.2222,70.1,-3.6043,40.1952,40.1952,0.7941,17,,21,0.7778,18,0.6667,60,138,25,2,5,0.2778,1.9355,2.2222,0.0741,3.3333,7.6667,1.3889,1,6,24,15,33,24,24,15,24,24,24,15,24,24,1,1,2,1,,,,
Ben Sinnott,WAS,TE,8,Yes,No,Yes,8,1,No,Yes,0.125,,0.625,0.25,,100,2.711,1.4438,1.4438,0.125,16,0.125,1,1,1,1,8,8,5,,,,1,8,,8,8,5,,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,,,,,,
Zay Jones,ARZ,WR,21,No,No,No,21,,No,Yes,,,,0.0952,,,,,,,8,0.9048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylin Noel,HST,WR,16,No,Yes,No,16,1,No,Yes,0.0625,-9,,0.75,-9,79.2,-4.5405,1.3069,1.3069,0.0625,17,0.25,1,1,1,1,-2,7,2,,,,-0.125,-2,,-2,7,2,,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,,,,,,,
Andrei Iosivas,CIN,WR,64,No,No,No,63,1,No,Yes,0.0159,-2,,0.6825,-2,39.6,-5.4991,1.7404,1.7404,0.0156,17,0.3175,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Renfrow,CAR,WR,6,No,No,No,6,,No,Yes,,,,0.8333,,,,,,,6,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac TeSlaa,DET,WR,13,No,Yes,No,13,,No,No,,,,0.2308,,,,,,,17,0.7692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Lazard,NYJ,WR,9,No,No,No,9,,No,Yes,,,,0.4444,,,,,,,10,0.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,32,No,No,No,32,,No,Yes,,,,0.25,,,,,,,15,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,19,No,Yes,Yes,14,1,No,No,0.0714,4,0.7857,0.0714,4,83.3,-2.0667,1.3265,1.3265,0.0526,17,0.1429,1,1,1,1,4,,,,,,0.2857,4,,4,,,,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,,,,,,,
Kalif Raymond,DET,WR,13,No,Yes,No,13,1,No,No,0.0769,-4,,0.3077,-4,79.2,-2.4851,1.7054,1.7054,0.0769,15,0.6923,1,1,1,1,2,6,1,,,,0.1538,2,,2,6,1,,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,
Tanner Hudson,CIN,TE,11,No,No,No,11,2,No,Yes,0.1818,-1,0.2727,0.1818,-0.5,100,2.9048,2.9527,2.9527,0.1818,13,0.4545,2,1,2,1,16,17,4,,,,1.4545,8,,8,8.5,2,1,1.6,3.6,2.6,3.6,4.6,3.6,2.6,3.6,3.6,3.6,2.6,4.6,3.6,0.0909,,,,,,,
Curtis Samuel,BUF,WR,7,No,Yes,Yes,6,,No,No,,,,0.3333,,,,,,,6,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,57,No,No,No,55,45,No,Yes,0.8182,-32,,0.0909,-0.7111,73.1,-2.2279,72.7464,72.7464,0.7895,17,,41,0.9111,36,0.8,170,210,57,3,11,0.3056,3.0909,3.7778,0.0667,4.7222,5.8333,1.5833,4,17,53,35,71,53,56,38,53,53,53,35,53,53,0.9091,1,6,4,1,,,
Najee Harris,LAC,RB,1,Yes,Yes,No,1,1,Yes,Yes,1,5,,,5,87.5,-2.233,1.4465,1.4465,1,3,,1,1,1,1,5,,,,,,5,5,,5,,,,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,,,,,,,
Daniel Bellinger,NYG,TE,17,No,Yes,Yes,17,2,No,Yes,0.1176,9,0.4706,0.2941,4.5,56.3,-3.7074,2.8173,2.8173,0.1176,16,0.1176,1,0.5,1,0.5,6,,,,,,0.3529,3,,6,,,,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,0.1176,,,,,,,
Drew Sample,CIN,TE,42,No,No,No,31,9,No,Yes,0.2903,-10,0.8387,,-1.1111,116.2,-2.5335,15.0171,15.0171,0.2143,17,,8,0.8889,7,0.7778,23,32,7,,,,0.7419,2.5556,,3.2857,4.5714,1,2,8.3,15.3,11.8,15.3,18.8,15.3,11.8,15.3,15.3,15.3,11.8,18.8,15.3,0.1613,1,1,,,1,,
Dylan Drummond,ATL,WR,6,No,No,No,6,,No,Yes,,,,0.3333,,,,,,,9,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devontez Walker,BLT,WR,3,Yes,No,No,3,,No,Yes,,,,0.3333,,,,,,,11,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,5,No,No,No,5,5,No,Yes,1,-4,,,-0.8,85.8,-1.4613,8.3345,8.3345,1,2,,4,0.8,4,0.8,23,27,8,,,,4.6,4.6,,5.75,6.75,2,1,2.3,6.3,4.3,8.3,6.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,1,,,,,,,
Dawson Knox,BUF,TE,28,No,Yes,Yes,27,3,No,No,0.1111,9,0.5926,0.2593,3,90.3,-0.3029,4.0385,4.0385,0.1071,17,0.1481,3,1,3,1,17,8,5,,,,0.6296,5.6667,,5.6667,2.6667,1.6667,1,1.7,4.7,3.2,4.7,6.2,4.7,3.2,4.7,4.7,4.7,3.2,6.2,4.7,,,1,1,,,,
Noah Brown,WAS,WR,4,No,Yes,No,4,,No,Yes,,,,0.25,,,,,,,4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,32,No,No,No,32,,No,Yes,,,,0.375,,,,,,,17,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Davis,DAL,RB,8,No,Yes,No,5,4,No,Yes,0.8,12,,,3,39.6,-4.0189,5.7179,5.7179,0.5,10,,2,0.5,1,0.25,10,6,1,1,,,2,2.5,0.25,10,6,1,,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,1,,1,,,,,
Dontayvion Wicks,GB,WR,22,No,Yes,No,22,,No,Yes,,,0.0455,0.4545,,,,,,,14,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,71,No,Yes,No,70,3,Yes,Yes,0.0429,3,0.3,0.5714,1,72.9,-1.8356,4.1294,4.1294,0.0423,17,0.1286,2,0.6667,2,0.6667,11,3,3,,1,0.5,0.1571,3.6667,,5.5,1.5,1.5,,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,,,,,,,,
John Bates,WAS,TE,6,Yes,No,Yes,4,1,No,Yes,0.25,4,1,,4,39.6,-6.0667,1.367,1.367,0.1667,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dont'e Thornton,LV,WR,14,Yes,No,No,14,,No,Yes,,,,0.3571,,,,1.4573,1.4573,,15,0.6429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Skattebo,NYG,RB,10,No,No,No,10,10,No,Yes,1,2,,,0.2,84.2,-0.4039,14.4124,14.4124,1,8,,8,0.8,7,0.7,57,54,22,1,2,0.2857,5.7,5.7,0.1,8.1429,7.7143,3.1429,3,5.7,12.7,9.2,16.2,12.7,12.7,9.2,12.7,12.7,12.7,9.2,12.7,12.7,1,1,,,,,,
Will Shipley,PHI,RB,7,Yes,No,Yes,7,5,No,Yes,0.7143,-2,,0.1429,-0.4,90,-0.3643,7.5123,7.5123,0.7143,15,0.1429,5,1,4,0.8,28,33,3,1,,,4,5.6,0.2,7,8.25,0.75,,2.8,6.8,4.8,8.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,0.7143,1,,,,,,
Kyren Williams,LA,RB,36,No,Yes,No,32,26,Yes,Yes,0.8125,54,,,2.0769,82.4,-1.7978,38.03,38.03,0.7222,17,,20,0.7692,19,0.7308,121,75,27,1,1,0.0526,3.7812,4.6538,0.0385,6.3684,3.9474,1.4211,4,12.1,31.1,21.6,40.6,31.1,34.1,24.6,31.1,31.1,31.1,21.6,31.1,31.1,1,2,3,3,,,,
Payne Durham,TB,TE,7,No,No,No,2,,No,Yes,,,0.5,0.5,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,24,No,No,Yes,22,1,No,Yes,0.0455,2,0.5455,0.4091,2,39.6,-6.3701,1.3829,1.3829,0.0417,8,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,27,No,No,No,27,1,No,Yes,0.037,-2,,0.5185,-2,100,2.5009,1.5483,1.5483,0.037,11,0.4815,1,1,1,1,8,10,2,,1,1,0.2963,8,,8,10,2,1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,
Raheem Mostert,LV,RB,9,No,No,No,9,8,No,Yes,0.8889,-11,,0.1111,-1.375,92.2,0.1056,12.5367,12.5367,0.8889,12,,8,1,8,1,49,60,9,,,,5.4444,6.125,,6.125,7.5,1.125,3,4.9,12.9,8.9,16.9,12.9,12.9,8.9,12.9,12.9,12.9,8.9,12.9,12.9,0.8889,1,,,,,,
Arian Smith,NYJ,WR,19,No,Yes,Yes,19,1,No,No,0.0526,-8,,0.5263,-8,87.5,2.4595,2.6666,2.6666,0.0526,16,0.4737,1,1,1,1,5,13,1,,,,0.2632,5,,5,13,1,,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,
Marvin Mims,DEN,WR,28,No,Yes,No,27,3,No,No,0.1111,-13,,0.0741,-4.3333,81.9,-0.7226,3.8598,3.8598,0.1071,15,0.8148,3,1,3,1,11,24,1,,2,0.6667,0.4074,3.6667,,3.6667,8,0.3333,1,1.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,0.1111,,,,,,,
