Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,InterceptionsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,TouchdownsTotal,IncompletionsThrownAway,IncompletionsBatted
Davis Mills,HST,QB,3,3,3,0.6667,2,0.6667,0.6667,-0.2731,3,27,9,1.1852,9,-9,No,No,0.5304,-0.1768,No,0.3333,1,0.3333,1.6,-3,95.1,No,No,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,4,,,,,,0.3333,,,1,,,
Malik Willis,GB,QB,15,15,15,0.8667,12,0.8,0.8667,-0.0705,15,63,4.2,1.8095,6.8667,-63,No,No,2.9453,-0.1963,No,0.1333,1,0.4667,1.7133,-4.2,123.8,No,Yes,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,11.15,11.15,7,-2,0.0667,,,,0.1333,,,2,2,,
Jalen Hurts,PHI,QB,27,27,27,0.9259,25,0.9259,0.9259,-0.009,27,103,3.8148,1.7282,3.8148,-84,No,No,4.5149,-0.1302,No,0.5185,1,0.7407,1.5444,-3.1111,82.6,No,No,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,5.15,5.15,15,,,,1,0.037,0.0741,,2.3,5,,,
Cooper Rush,DAL,QB,34,34,34,0.9706,29,0.8529,0.9706,0.0361,34,235,6.9118,1.366,6.9118,-103,No,No,3.924,-0.1154,No,0.2353,1,0.7353,1.2441,-3.0294,95.5,No,Yes,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,11.75,11.75,12,-13,0.1176,,,,0.0294,,,13,,,
Will Levis,TEN,QB,36,36,36,0.9444,32,0.8889,0.9429,0.0075,36,159,4.4167,1.7547,4.4167,-128,No,No,7.8828,-0.1912,No,0.2222,0.9722,0.75,1.8444,-3.6571,85.1,No,Yes,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,7.95,7.95,12,-6,0.0278,,1,0.0278,0.0278,,2.4,7,,1,
Desmond Ridder,LV,QB,3,3,3,1,2,0.6667,1,0.0722,3,,,,,-4,No,No,0.3751,-0.125,No,0.6667,1,0.6667,1.3,-1.3333,70.1,No,No,,,,,,,,,,,,,,5,-1,0.3333,,,,,,,,,,
Trey Lance,DAL,QB,5,5,5,1,5,1,1,0.0775,5,16,3.2,1.75,3.2,-12,No,No,1.0565,-0.0113,No,,1,0.8,1.8,-2.4,80,No,Yes,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,4,,,,1,0.2,,,1.8,1,,,
Kyle Trask,TB,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,No,No,0.0388,-0.0388,No,,1,1,0.8,-3,87.5,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,,,,,,,,
Kenny Pickett,PHI,QB,1,1,1,1,1,1,1,0.0576,1,5,5,1.8,5,-4,No,No,0.125,-0.125,Yes,,1,1,1.3,-4,87.5,No,Yes,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,5,,,,,,,,,,,,
Mike White,BUF,QB,2,1,1,1,1,1,1,0.0576,1,14,14,1.2857,14,-4,No,No,0.0733,-0.0733,No,,1,1,1,-4,118.8,No,Yes,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.7,0.7,1,,,,,,,,,,,,
Dorian Thompson-Robinson,CLV,QB,13,13,13,1,11,0.8462,1,0.0643,13,77,5.9231,1.4416,5.9231,-41,No,No,1.9189,-0.1476,No,0.2308,1,0.7692,1.4308,-3.1538,91.3,No,No,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.85,3.85,7,-7,0.1538,,,,,,,2,,,
Lamar Jackson,BLT,QB,56,56,56,0.9464,51,0.9107,0.9464,0.01,56,448,8,1.4308,8.3571,-205,No,No,9.5903,-0.1713,No,0.2143,1,0.75,1.5679,-3.6607,106,No,No,21.92,21.92,21.92,21.92,21.92,24.92,24.92,21.92,21.92,21.92,21.92,26.4,26.4,17,-5,0.0357,,,,0.0357,,,17,1,,
Jayden Daniels,WAS,QB,75,75,75,0.96,70,0.9333,0.96,0.0254,75,404,5.3867,1.599,4.7867,-262,Yes,No,11.1728,-0.1356,No,0.28,1,0.76,1.4387,-3.4933,83.6,No,Yes,15.16,15.16,15.16,15.16,15.16,18.16,18.16,14.16,14.16,14.16,14.16,19.2,18.2,17,-9,0.0267,1,1,0.0133,0.04,,2.6,17,,,
Brandon Allen,SF,QB,2,2,2,1,2,1,1,0.0576,2,44,22,1.1818,22,-8,No,No,0.6814,-0.3407,No,,1,1,2.55,-4,118.8,No,No,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.2,2.2,3,,,,,,,,,1,,,
Andy Dalton,CAR,QB,9,9,9,0.6667,6,0.6667,0.6667,-0.1647,9,30,3.3333,1.6333,-1.6667,-36,No,No,1.7465,-0.1941,Yes,0.2222,1,0.5556,1.7,-4,31.9,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.8,-0.8,-0.8,-0.8,0.5,-0.5,6,,,1,,,0.3333,0.2222,,2,,,
Sam Darnold,MIN,QB,58,57,57,1,57,1,1,0.0639,57,311,5.4561,1.7331,5.807,-228,No,No,11.3369,-0.1287,No,0.2982,1,0.8421,1.7281,-4,95.2,No,Yes,16.44,16.44,16.44,16.44,16.44,19.44,19.44,16.44,16.44,16.44,16.44,19.55,19.55,17,,,,4,0.0702,,,1.925,12,1,,
Trevor Lawrence,JAX,QB,31,31,31,0.9677,28,0.9032,0.9677,0.0329,31,172,5.5484,1.5233,5.5484,-100,No,No,4.3423,-0.1401,No,0.2258,1,0.7419,1.3871,-3.2258,89.8,No,Yes,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,8.6,8.6,10,-6,0.0645,,,,0.0323,,,7,,,
Bo Nix,DEN,QB,81,81,81,0.9753,76,0.9383,0.9753,0.04,81,473,5.8395,1.7209,6.8272,-366,No,No,12.337,-0.1523,No,0.284,1,0.8025,1.458,-4.5185,107.5,No,Yes,34.92,34.92,34.92,34.92,34.92,37.92,37.92,34.92,34.92,34.92,34.92,39.65,39.65,17,-10,0.037,,,,0.0247,0.0123,,18,4,,
Russell Wilson,PIT,QB,30,30,30,0.8667,25,0.8333,0.8667,-0.0658,30,176,5.8667,1.517,6.5333,-114,No,No,5.6145,-0.1538,No,0.1333,1,0.6667,1.66,-3.8,102.2,No,No,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,12.8,12.8,11,-6,0.0333,,1,0.0333,0.1333,,1.5,7,1,,
Anthony Richardson,IND,QB,25,25,25,0.96,24,0.96,0.96,0.0266,25,206,8.24,1.3301,9.04,-72,Yes,No,3.8637,-0.1545,No,0.28,1,0.84,1.468,-2.88,114.3,No,Yes,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,14.3,14.3,11,,,,,,0.04,,,7,1,,
Bailey Zappe,CLV,QB,4,4,4,1,4,1,1,0.0645,4,48,12,1.1875,12,-9,No,No,0.6554,-0.1639,Yes,0.5,1,1,1.525,-2.25,116.7,No,Yes,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,2.4,2.4,1,,,,,,,,,2,,,
Joe Burrow,CIN,QB,39,39,39,0.9744,36,0.9231,0.9487,0.0206,39,260,6.6667,1.4115,6.5385,-117,Yes,No,5.6704,-0.1198,No,0.0769,1,0.7692,1.4179,-3,100.9,No,Yes,17.4,17.4,17.4,17.4,17.4,17.4,17.4,16.4,16.4,16.4,16.4,20,19,17,-2,0.0256,1,1,0.0256,0.0256,0.0256,2.4,12,2,,
Kirk Cousins,ATL,QB,45,45,45,0.9778,42,0.9333,0.9778,0.046,45,210,4.6667,1.7381,4.6667,-163,No,No,6.6795,-0.1262,No,0.1778,1,0.8222,1.4356,-3.6222,86.1,No,No,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,10.5,10.5,14,-4,0.0444,,1,0.0222,0.0222,,2.4,9,,,
Mac Jones,JAX,QB,27,27,27,0.9259,25,0.9259,0.9259,-0.007,27,151,5.5926,1.4834,5.5926,-79,Yes,No,4.8728,-0.1434,No,0.1852,1,0.8148,1.6185,-2.9259,90,No,No,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,7.55,7.55,10,,,,1,0.037,0.0741,0.037,2,7,,,
Joshua Dobbs,SF,QB,4,4,4,0.75,3,0.75,0.75,-0.1858,4,9,2.25,1.8889,2.25,-10,No,No,0.3967,-0.0992,No,0.25,1,0.5,1.15,-2.5,77.1,No,Yes,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,2,,,,,,0.25,,,,,,
Jimmy Garoppolo,LA,QB,7,7,7,0.8571,6,0.8571,0.8571,-0.0818,7,58,8.2857,1.4655,8.2857,-31,Yes,No,1.7896,0.0301,No,0.4286,1,0.5714,2.0571,-4.4286,101.2,No,Yes,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.9,2.9,1,,,,2,0.2857,0.1429,,1.9,3,,,
C.J. Stroud,HST,QB,62,61,61,0.9344,55,0.9016,0.95,0.028,61,317,5.1967,1.6372,5.1967,-217,No,No,10.8538,-0.1615,No,0.1803,0.9836,0.7377,1.6066,-3.6167,88.3,No,Yes,12.68,12.68,12.68,12.68,12.68,15.68,15.68,12.68,12.68,12.68,12.68,15.85,15.85,17,-9,0.0328,,1,0.0164,0.0492,,2.6,12,,1,
Jacoby Brissett,NE,QB,18,18,18,0.9444,16,0.8889,0.9444,0.0068,18,83,4.6111,1.6988,4.6111,-66,Yes,No,4.0621,-0.1701,Yes,0.1111,1,0.7778,1.8833,-3.6667,85.9,No,Yes,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.15,4.15,8,-6,0.0556,,1,0.0556,0.0556,,2.1,2,,,
Daniel Jones,NYG,QB,33,33,33,0.9394,28,0.8485,0.9394,0.002,33,220,6.6667,1.5682,5.303,-146,Yes,No,7.0031,-0.1213,Yes,0.1515,1,0.697,1.803,-4.4242,81.8,No,Yes,7.8,7.8,7.8,7.8,7.8,7.8,7.8,6.8,6.8,6.8,6.8,10,9,10,-12,0.0909,1,3,0.0909,0.0606,0.0303,2.0333,10,,,
Joe Flacco,IND,QB,19,18,18,0.8333,14,0.7778,0.7778,-0.1546,18,48,2.6667,2.0833,0.1667,-68,No,No,2.7684,-0.1538,No,0.1667,1,0.6111,1.4667,-3.7778,56,No,No,0.92,0.92,0.92,0.92,0.92,0.92,0.92,-0.08,-0.08,-0.08,-0.08,1.4,0.4,8,,,1,,,0.1667,0.0556,,3,,,
Kyler Murray,ARZ,QB,53,53,53,0.9623,47,0.8868,0.9434,0.0108,53,449,8.4717,1.3073,9.6038,-151,No,No,10.7849,-0.1658,No,0.1509,1,0.717,1.7547,-2.8491,120.8,No,Yes,29.96,29.96,29.96,29.96,29.96,32.96,32.96,29.96,29.96,29.96,29.96,34.45,34.45,17,-4,0.0566,,2,0.0377,0.0189,,2.2,17,3,,
Jared Goff,DET,QB,66,66,66,0.9394,62,0.9394,0.9394,0.003,66,504,7.6364,1.5119,8.2424,-269,No,No,11.1513,-0.169,No,0.0909,1,0.8333,1.5545,-4.0758,108.6,No,Yes,28.16,28.16,28.16,28.16,28.16,31.16,31.16,28.16,28.16,28.16,28.16,33.2,33.2,17,,,,,,0.0455,0.0152,,24,2,,
Tanner McKee,PHI,QB,1,1,1,1,1,1,1,0.0587,1,7,7,1.4286,7,-3,Yes,No,0.125,-0.125,No,,1,1,1.3,-3,95.8,No,Yes,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,2,,,,,,,,,,,,
Caleb Williams,CHI,QB,94,94,94,0.9574,88,0.9362,0.9574,0.027,94,630,6.7021,1.4143,7.1277,-280,No,No,14.0404,-0.1281,No,0.1702,1,0.7979,1.4372,-2.9787,101.7,No,Yes,33.2,33.2,33.2,33.2,33.2,36.2,36.2,33.2,33.2,33.2,33.2,39.5,39.5,17,-13,0.0213,,2,0.0213,0.0426,,2.3,24,2,,
Tua Tagovailoa,MIA,QB,76,76,76,0.9737,71,0.9342,0.9605,0.0248,76,485,6.3816,1.4557,7.4342,-238,No,No,12.1732,-0.1339,No,0.0395,1,0.7895,1.5026,-3.1316,110.8,No,Yes,35.4,35.4,35.4,35.4,35.4,38.4,38.4,35.4,35.4,35.4,35.4,40.25,40.25,11,-7,0.0263,,2,0.0263,0.0263,,2.15,20,4,,
Gardner Minshew,LV,QB,27,27,27,0.963,25,0.9259,0.9259,-0.0102,27,132,4.8889,1.5985,4.8889,-87,No,No,3.8939,-0.1072,Yes,0.2222,1,0.5185,1.4111,-3.2222,87,No,Yes,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,6.6,6.6,10,,,,1,0.037,0.037,,2.4,4,,,
Brock Purdy,SF,QB,39,39,39,0.9487,35,0.8974,0.9487,0.0172,39,270,6.9231,1.3704,7.9487,-110,No,No,7.2014,-0.1847,No,0.1026,1,0.8205,1.641,-2.8205,112.6,No,Yes,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,21.5,21.5,15,-3,0.0513,,,,0.0513,,,11,2,,
Justin Fields,PIT,QB,11,11,11,1,10,0.9091,0.9091,-0.0089,11,59,5.3636,1.6441,7.1818,-36,No,No,2.7555,-0.2505,No,0.1818,1,1,2.0273,-3.2727,119.3,No,No,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.95,6.95,10,,,,,,,,,4,1,,
Nick Mullens,MIN,QB,2,1,1,1,1,1,1,0.1261,1,14,14,0.8571,14,2,No,No,0.2975,-0.2975,No,,1,1,2.3,2,118.8,No,No,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.7,0.7,4,,,,,,,,,1,,,
Patrick Mahomes,KC,QB,80,80,80,0.9625,75,0.9375,0.962,0.0269,80,437,5.4625,1.5149,5.4625,-238,No,No,9.9221,-0.124,No,0.4,0.9875,0.8125,1.29,-3.0127,89.4,No,Yes,17.48,17.48,17.48,17.48,17.48,20.48,20.48,17.48,17.48,17.48,17.48,21.85,21.85,16,-5,0.0125,,,,0.025,0.0125,,24,,,1
Aidan O'Connell,LV,QB,15,15,15,1,14,0.9333,1,0.071,15,76,5.0667,1.5132,5.0667,-45,No,No,2.6692,-0.1779,No,0.3333,1,0.8,1.6067,-3,87.8,No,No,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.8,3.8,9,-6,0.0667,,,,,,,4,,,
Matthew Stafford,LA,QB,41,41,41,0.9512,37,0.9024,0.9512,0.043,41,255,6.2195,1.4353,7.1951,-139,No,No,6.4553,-0.1574,No,0.2195,1,0.6829,1.4878,-3.3902,108.8,No,Yes,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,20.75,20.75,16,-15,0.0488,,,,0.0488,,,12,2,,
Geno Smith,SEA,QB,68,68,68,0.9853,66,0.9706,0.9853,0.0595,68,458,6.7353,1.369,6.7353,-178,Yes,No,12.721,-0.1871,No,0.1471,1,0.75,1.6574,-2.6176,94.7,No,Yes,18.32,18.32,18.32,18.32,18.32,21.32,21.32,18.32,18.32,18.32,18.32,22.9,22.9,17,-1,0.0147,,,,0.0147,,,16,,,
Drake Maye,NE,QB,41,40,40,0.95,38,0.95,0.95,0.018,40,240,6,1.55,6,-141,No,No,7.8137,-0.1453,No,0.2,1,0.775,1.7075,-3.525,91.7,No,No,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,12,12,13,,,,2,0.05,0.05,,1.95,9,,,
Justin Herbert,LAC,QB,42,42,42,0.9286,38,0.9048,0.9512,0.0173,42,224,5.3333,1.5536,5.3333,-140,Yes,No,8.1113,-0.1455,Yes,0.119,0.9762,0.8571,1.6905,-3.4146,88.9,No,Yes,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,11.2,11.2,17,-8,0.0238,,2,0.0476,0.0476,,2.15,10,,,1
Tyson Bagent,CHI,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,Yes,No,0.1595,-0.1595,No,1,1,1,1.5,-3,87.5,No,Yes,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,,,,,,,,
Tyler Huntley,MIA,QB,17,17,17,1,16,0.9412,0.9412,0.0043,17,74,4.3529,1.9189,5.5294,-69,Yes,No,2.5571,-0.1504,No,0.0588,1,0.8235,1.4471,-4.0588,104.4,No,Yes,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,7.7,7.7,5,,,,,,,,,3,1,,
Hendon Hooker,DET,QB,1,1,1,1,1,1,1,0.0576,1,2,2,3,2,-4,No,No,0.125,-0.125,No,,1,1,1.3,-4,79.2,No,No,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,3,,,,,,,,,,,,
Marcus Mariota,WAS,QB,5,5,5,1,5,1,1,0.0625,5,16,3.2,2.125,3.2,-18,No,No,0.7632,-0.1527,No,,1,0.8,1.46,-3.6,80,No,Yes,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,3,,,,,,,,,,,,
Carson Wentz,KC,QB,1,1,1,1,1,1,1,0.0628,1,1,1,6,1,-5,Yes,No,0.3321,-0.3321,No,,1,1,2.5,-5,79.2,No,Yes,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,3,,,,,,,,,,,,
Deshaun Watson,CLV,QB,21,21,21,1,20,0.9524,1,0.0644,21,133,6.3333,1.5113,6.3333,-71,No,No,5.0238,-0.0964,No,,1,0.619,1.9619,-3.381,93.1,No,No,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,6.65,6.65,7,-3,0.0476,,3,0.1429,,,1.8,6,,,
Dak Prescott,DAL,QB,23,23,23,1,23,1,1,0.0624,23,139,6.0435,1.5324,6.913,-74,Yes,No,3.9629,-0.1723,No,0.1739,1,0.7826,1.5739,-3.2174,106.3,No,Yes,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,10.95,10.95,8,,,,,,,,,6,1,,
Aaron Rodgers,NYJ,QB,67,67,67,0.9254,58,0.8657,0.9104,-0.0189,67,267,3.9851,1.5918,4.8806,-181,Yes,No,11.7421,-0.1156,Yes,0.3284,1,0.7612,1.591,-2.7015,98.2,No,Yes,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,25.35,25.35,17,-8,0.0448,,4,0.0597,0.0746,,3.325,13,3,,
Baker Mayfield,TB,QB,92,91,91,0.967,84,0.9231,0.9451,0.0248,91,706,7.7582,1.432,9.0769,-332,No,No,16.119,-0.1661,No,0.0989,1,0.8242,1.6,-3.6484,121,No,Yes,52.24,52.24,52.24,52.24,52.24,55.24,55.24,52.24,52.24,52.24,52.24,59.3,59.3,17,-6,0.022,,1,0.011,0.033,,1.8,30,6,,
Spencer Rattler,NO,QB,17,17,17,0.8824,13,0.7647,0.8235,-0.116,17,85,5,1.5529,5,-60,No,No,2.8159,-0.1656,No,0.1176,1,0.5882,1.5353,-3.5294,86.6,No,Yes,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4.25,4.25,7,-2,0.0588,,,,0.1176,,,2,,,
Mason Rudolph,TEN,QB,16,16,16,0.9375,13,0.8125,0.9375,0.0046,16,71,4.4375,1.6479,4.4375,-60,Yes,No,4.226,-0.1391,No,0.3125,1,0.6875,2.1063,-3.75,85.2,No,Yes,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,3.55,3.55,8,-11,0.125,,2,0.125,0.0625,,2.1,3,,,
Tim Boyle,NYG,QB,8,8,8,1,8,1,1,0.0587,8,50,6.25,1.6,6.25,-30,Yes,No,0.3794,-0.0474,No,0.25,1,0.75,0.85,-3.75,92.7,No,Yes,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,3,,,,,,,,,1,,,
Bryce Young,CAR,QB,30,30,30,0.9,27,0.9,0.9,-0.0324,30,103,3.4333,2.0097,3.4333,-113,Yes,No,5.3385,-0.1779,No,0.1333,1,0.8667,1.6067,-3.7667,81,No,Yes,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,5.15,5.15,14,,,,,,0.1,,,4,,,
Derek Carr,NO,QB,32,32,32,0.9375,29,0.9062,0.9375,0.0032,32,249,7.7812,1.3775,8.4062,-100,No,No,5.1574,-0.1299,No,0.125,1,0.9062,1.5094,-3.125,109.5,No,Yes,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,16.45,16.45,10,-1,0.0312,,1,0.0312,0.0625,,1.5,7,1,,
