teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingRunPassOptionPercentage
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Open,Closed,Cover 1,9,12,12,0.5,3,5,0.4166666666666667,0.4166666666666667,0.009497022749999973,,,208,17.333333333333332,0.3798076923076923,20.666666666666668,324,2,No,No,6,0.5,0.055825000000000014,No,0.5,10,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,3.15,2.5166666666666666,27,128.5,No,Yes,5,True,,,,
29,San Francisco,49ers,SEA,NFC,NFC West,Closed,Closed,Cover 1,11,15,15,0.5333333333333333,3,6,0.4,0.4666666666666667,0.029312853933333383,21,0.06666666666666667,164,10.933333333333334,0.12195121951219512,12.266666666666667,372,1,No,No,,,-0.38955,Yes,0.4666666666666667,11,0.7333333333333333,0.3333333333333333,0.9333333333333333,0.26666666666666666,2.8333333333333335,,24.8,103.2,Yes,Yes,6,True,,,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Open,Open,Cover 0,9,19,19,0.631578947368421,5,8,0.42105263157894735,0.42105263157894735,-0.025052234578947397,,,250,13.157894736842104,0.192,6.842105263157895,558,3,No,No,5,0.2631578947368421,-0.08432631578947368,No,0.3157894736842105,14,0.7368421052631579,0.3157894736842105,0.7894736842105263,0.5263157894736842,2.5894736842105264,2.32,29.36842105263158,89.3,Yes,Yes,8,True,,4,0.10526315789473684,
1,Arizona,Cardinals,CIN,AFC,AFC North,Closed,Closed,Cover 1,13,13,13,0.6153846153846154,3,6,0.46153846153846156,0.5384615384615384,0.10335069338461539,44,0.07692307692307693,200,15.384615384615385,0.105,18.46153846153846,360,2,No,No,3,0.23076923076923078,-0.09066538461538463,No,0.38461538461538464,9,0.6923076923076923,0.6153846153846154,0.9230769230769231,0.46153846153846156,2.4384615384615382,2.566666666666667,27.692307692307693,132.2,No,Yes,6,,,,,0.15384615384615385
24,New York,Giants,DAL,NFC,NFC East,Open,Open,Cover 4,13,18,18,0.3333333333333333,6,3,0.16666666666666666,0.2777777777777778,-0.12633067955555555,56,0.1111111111111111,69,3.8333333333333335,0.014492753623188406,3.5555555555555554,534,2,No,Yes,6,0.3333333333333333,-0.09263333333333332,Yes,0.6111111111111112,15,0.8333333333333334,0.2777777777777778,0.8333333333333334,0.2777777777777778,3.0444444444444443,2.733333333333333,29.666666666666668,56.9,No,Yes,3,True,,1,0.05555555555555555,0.05555555555555555
5,Carolina,Panthers,SEA,NFC,NFC West,Open,Open,Cover 0,9,4,4,0.5,,1,0.25,0.25,-0.10334890775,,,62,15.5,0.3225806451612903,20.5,146,1,No,Yes,1,0.25,-0.07773750000000001,Yes,0.25,4,1,0.5,1,0.25,2.475,1.5,36.5,118.8,No,No,1,True,,,,
10,Denver,Broncos,LAC,AFC,AFC West,Closed,Closed,Red Zone,14,31,31,0.3225806451612903,3,5,0.16129032258064516,0.1935483870967742,-0.19890125274193549,18,0.03225806451612903,204,6.580645161290323,0.17647058823529413,6.419354838709677,1015,2,No,No,8,0.25806451612903225,-0.1357516129032258,No,0.6774193548387096,27,0.8709677419354839,0.22580645161290322,0.9032258064516129,0.25806451612903225,2.858064516129032,2.325,32.74193548387097,62.6,No,No,5,True,,1,0.03225806451612903,
6,Chicago,Bears,DET,NFC,NFC North,Closed,Closed,Cover 3,12,15,15,0.4666666666666667,4,6,0.4,0.4666666666666667,0.043974917066666674,11,0.06666666666666667,251,16.733333333333334,0.1593625498007968,16.4,432,2,Yes,No,6,0.4,0.04609999999999997,No,0.5333333333333333,12,0.8,0.4666666666666667,0.8666666666666667,0.3333333333333333,2.6266666666666665,2.533333333333333,28.8,99.3,Yes,Yes,6,True,,1,0.06666666666666667,0.06666666666666667
14,Indianapolis,Colts,SEA,NFC,NFC West,Open,Closed,Cover 3,11,19,19,0.42105263157894735,2,5,0.2631578947368421,0.2777777777777778,-0.1347500923888889,,,194,10.210526315789474,0.422680412371134,12.31578947368421,508,2,No,No,9,0.47368421052631576,0.11893684210526317,No,0.5263157894736842,17,0.8947368421052632,0.3157894736842105,0.8947368421052632,0.3684210526315789,2.6315789473684212,2.4555555555555557,28.210526315789473,104.7,No,No,5,,,,0.05263157894736842,
28,Seattle,Seahawks,SF,NFC,NFC West,Closed,Closed,Cover 1,13,16,16,0.3125,3,4,0.25,0.25,-0.20010586274999997,,,157,9.8125,0.14012738853503184,9.8125,405,,No,No,7,0.4375,0.06016874999999999,Yes,0.625,12,0.75,0.1875,0.875,0.25,2.7625,2.2857142857142856,25.3125,68,Yes,Yes,4,,,,,
17,Los Angeles,Rams,ATL,NFC,NFC South,Closed,Closed,Cover 1,12,11,11,0.36363636363636365,1,3,0.2727272727272727,0.2727272727272727,-0.14013477200000002,,,131,11.909090909090908,0.4732824427480916,9.636363636363637,311,1,No,No,4,0.36363636363636365,0.030018181818181822,Yes,0.5454545454545454,8,0.7272727272727273,0.2727272727272727,1,0.36363636363636365,2.5090909090909093,2.6,28.272727272727273,69.1,No,Yes,2,,,1,0.09090909090909091,
22,New England,Patriots,NYJ,AFC,AFC East,Closed,Closed,Cover 3,12,10,10,0.4,3,2,0.2,0.3,-0.10466342170000004,29,0.1,54,5.4,0.07407407407407407,-1.6,296,1,No,No,3,0.3,-0.11485000000000004,No,0.6,8,0.8,0.2,0.9,0.3,2.98,2.8666666666666667,29.6,43.3,No,Yes,2,,,2,0.2,
